STT,Mã CK▲,Tên công ty,Ngành,Sàn,Khối lượng NY/ĐKGD,CF_Q,CF_Y,VS_Q,VS_Y
96,BGE,CTCP BCG Energy,Dịch vụ tiện ích,UPCoM,730000000,False,False,False,False
97,BGW,CTCP Nước sạch Bắc Giang,Dịch vụ tiện ích,UPCoM,18149446,False,False,False,False
98,BHA,CTCP Thủy điện Bắc Hà,Dịch vụ tiện ích,UPCoM,66000000,False,False,False,False
99,BHC,CTCP Bê tông Biên Hòa,Nguyên vật liệu,UPCoM,4500000,False,False,False,False
100,BHG,CTCP Chè Biển Hồ,"Thực phẩm, đồ uống và thuốc lá",UPCoM,8935643,False,False,False,False
101,BHI,Tổng Công ty cổ phần Bảo hiểm Sài Gòn - Hà Nội,Bảo hiểm,UPCoM,100000000,False,False,False,False
102,BHK,CTCP Bia Hà Nội - Kim Bài,"Thực phẩm, đồ uống và thuốc lá",UPCoM,3986000,False,False,False,False
103,BHN,Tổng Công ty cổ phần Bia - Rượu - Nước giải khát Hà Nội,"Thực phẩm, đồ uống và thuốc lá",HOSE,231800000,False,False,False,False
104,BHP,CTCP Bia Hà Nội - Hải Phòng,"Thực phẩm, đồ uống và thuốc lá",UPCoM,9179290,False,False,False,False
105,BIC,Tổng Công ty cổ phần Bảo hiểm Ngân hàng Đầu tư và Phát triển Việt Nam,Bảo hiểm,HOSE,117276895,False,False,False,False
106,BID,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,Tổ chức tín dụng,HOSE,6897515268,False,False,False,False
107,BIG,CTCP Big Invest Group,Phân phối và bán lẻ hàng lâu bền,UPCoM,15084689,False,False,False,False
108,BII,CTCP Louis Land,Bán lẻ thực phẩm và nhu yếu phẩm,UPCoM,57680000,False,False,False,False
109,BIO,CTCP Vắc xin và Sinh phẩm Nha Trang,"Dược phẩm, Công nghệ sinh học và Khoa học thường thức",UPCoM,8562000,False,False,False,False
110,BKC,CTCP Khoáng sản Bắc Kạn,Nguyên vật liệu,HNX,11737728,False,False,False,False
111,BKG,CTCP Đầu tư BKG Việt Nam,Nguyên vật liệu,HOSE,71609020,False,False,False,False
112,BLF,CTCP Thủy sản Bạc Liêu,"Thực phẩm, đồ uống và thuốc lá",UPCoM,11500000,False,False,False,False
113,BLI,Tổng Công ty cổ phần Bảo hiểm Bảo Long,Bảo hiểm,UPCoM,60000000,False,False,False,False
114,BLN,CTCP Vận tải và Dịch vụ Liên Ninh,Vận tải,UPCoM,5000000,False,False,False,False
115,BLT,CTCP Lương thực Bình Định,"Thực phẩm, đồ uống và thuốc lá",UPCoM,4000000,False,False,False,False
116,BMC,CTCP Khoáng sản Bình Định,Nguyên vật liệu,HOSE,12392630,False,False,False,False
117,BMD,CTCP Môi trường và Dịch vụ Đô thị Bình Thuận,Dịch vụ tiện ích,UPCoM,2753280,False,False,False,False
118,BMF,CTCP Vật liệu Xây dựng và Chất đốt Đồng Nai,Phân phối và bán lẻ hàng lâu bền,UPCoM,15848063,False,False,False,False
119,BMG,CTCP May Bình Minh,Hàng tiêu dùng và trang trí,UPCoM,5292000,False,False,False,False
120,BMI,Tổng Công ty cổ phần Bảo Minh,Bảo hiểm,HOSE,132642818,False,False,False,False
121,BMJ,CTCP Khoáng sản Miền Đông AHP,Nguyên vật liệu,UPCoM,104999978,False,False,False,False
122,BMK,CTCP Kỹ thuật nhiệt Mèo Đen,Tư liệu sản xuất,UPCoM,6800000,False,False,False,False
123,BMN,CTCP 715,Tư liệu sản xuất,UPCoM,2750000,False,False,False,False
124,BMP,CTCP Nhựa Bình Minh,Tư liệu sản xuất,HOSE,81860938,False,False,False,False
125,BMS,CTCP Chứng khoán Bảo Minh,Dịch vụ tài chính,UPCoM,71111425,False,False,False,False
126,BMV,CTCP Bột mỳ Vinafood 1,"Thực phẩm, đồ uống và thuốc lá",UPCoM,24200000,False,False,False,False
127,BNA,CTCP Tập đoàn Đầu tư Bảo Ngọc,"Thực phẩm, đồ uống và thuốc lá",HNX,31249394,False,False,False,False
128,BNW,CTCP Nước sạch Bắc Ninh,Dịch vụ tiện ích,UPCoM,37549391,False,False,False,False
129,BOT,CTCP BOT Cầu Thái Hà,Tư liệu sản xuất,UPCoM,59246800,False,False,False,False
130,BPC,CTCP VICEM Bao bì Bỉm Sơn,Nguyên vật liệu,HNX,3800000,False,False,False,False
131,BQB,CTCP Bia Hà Nội - Quảng Bình,"Thực phẩm, đồ uống và thuốc lá",UPCoM,5800000,False,False,False,False
132,BRC,CTCP Cao su Bến Thành,Xe và linh kiện,HOSE,12374997,False,False,False,False
133,BRR,CTCP Cao su Bà Rịa,Nguyên vật liệu,UPCoM,112500000,False,False,False,False
134,BRS,CTCP Dịch vụ Đô thị Bà Rịa,Dịch vụ tiện ích,UPCoM,4541950,False,False,False,False
135,BSA,CTCP Thủy điện Buôn Đôn,Dịch vụ tiện ích,UPCoM,66850975,False,False,False,False
136,BSC,CTCP Dịch vụ Bến Thành,Dịch vụ chuyên biệt và thương mại,HNX,3150747,False,False,False,False
137,BSD,"CTCP Bia, Rượu Sài Gòn - Đồng Xuân","Thực phẩm, đồ uống và thuốc lá",UPCoM,3000000,False,False,False,False
138,BSG,CTCP Xe khách Sài Gòn,Vận tải,UPCoM,60000000,False,False,False,False
139,BSH,CTCP Bia Sài Gòn - Hà Nội,"Thực phẩm, đồ uống và thuốc lá",UPCoM,18000000,False,False,False,False
140,BSI,CTCP Chứng khoán BIDV,Dịch vụ tài chính,HOSE,223060701,False,False,False,False
141,BSL,CTCP Bia Sài Gòn - Sông Lam,"Thực phẩm, đồ uống và thuốc lá",UPCoM,45000000,False,False,False,False
142,BSP,CTCP Bia Sài Gòn - Phú Thọ,"Thực phẩm, đồ uống và thuốc lá",UPCoM,12500000,False,False,False,False
143,BSQ,CTCP Bia Sài Gòn - Quảng Ngãi,"Thực phẩm, đồ uống và thuốc lá",UPCoM,45000000,False,False,False,False
144,BSR,CTCP Lọc hóa Dầu Bình Sơn,Năng lượng,HOSE,3100499616,False,False,False,False
145,BST,CTCP Sách và Thiết bị Bình Thuận,Truyền thông và giải trí,HNX,1100000,False,False,False,False
146,BT1,CTCP Bảo vệ Thực vật 1 Trung Ương,Nguyên vật liệu,UPCoM,5669959,False,False,False,False
147,BT6,CTCP Beton 6,Nguyên vật liệu,UPCoM,32993550,False,False,False,False
148,BTB,CTCP Bia Hà Nội - Thái Bình,"Thực phẩm, đồ uống và thuốc lá",UPCoM,7691226,False,False,False,False
149,BTD,CTCP Bê tông Ly tâm Thủ Đức,Nguyên vật liệu,UPCoM,6414100,False,False,False,False
150,BTG,CTCP Bao bì Tiền Giang,Nguyên vật liệu,UPCoM,1190000,False,False,False,False
151,BTH,CTCP Chế tạo Biến thế và Vật liệu Điện Hà Nội,Tư liệu sản xuất,UPCoM,25000000,False,False,False,False
152,BTN,CTCP Đầu tư Bitco Bình Định,Nguyên vật liệu,UPCoM,4465570,False,False,False,False
153,BTP,CTCP Nhiệt điện Bà Rịa,Dịch vụ tiện ích,HOSE,60485600,False,False,False,False
154,BTS,CTCP Xi măng VICEM Bút Sơn,Nguyên vật liệu,HNX,123559858,False,False,False,False
155,BTT,CTCP Thương mại Dịch vụ Bến Thành,Phân phối và bán lẻ hàng lâu bền,HOSE,13500000,False,False,False,False
156,BTU,CTCP Công trình Đô thị Bến Tre,Dịch vụ chuyên biệt và thương mại,UPCoM,3600000,False,False,False,False
157,BTV,CTCP Dịch vụ Du lịch Bến Thành,Dịch vụ tiêu dùng,UPCoM,25000000,False,False,False,False
158,BTW,CTCP Cấp nước Bến Thành,Dịch vụ tiện ích,HNX,9360000,False,False,False,False
159,BVB,Ngân hàng TMCP Bản Việt,Tổ chức tín dụng,UPCoM,551846215,False,False,False,False
160,BVG,CTCP Group Bắc Việt,Nguyên vật liệu,UPCoM,9750948,False,False,False,False
161,BVH,Tập đoàn Bảo Việt,Bảo hiểm,HOSE,742322764,False,False,False,False
162,BVL,CTCP BV Land,Tư liệu sản xuất,UPCoM,82788300,False,False,False,False
163,BVN,CTCP Bông Việt Nam,Hàng tiêu dùng và trang trí,UPCoM,5000000,False,False,False,False
164,BVS,CTCP Chứng khoán Bảo Việt,Dịch vụ tài chính,HNX,72233937,False,False,False,False
165,BWA,CTCP Cấp thoát nước và Xây dựng Bảo Lộc,Dịch vụ tiện ích,UPCoM,2700000,False,False,False,False
166,BWE,CTCP - Tổng công ty nước - môi trường Bình Dương,Dịch vụ tiện ích,HOSE,219928644,False,False,False,False
167,BWS,CTCP Cấp nước Bà Rịa - Vũng Tàu,Dịch vụ tiện ích,UPCoM,100007569,False,False,False,False
168,BXH,CTCP VICEM Bao bì Hải Phòng,Nguyên vật liệu,HNX,3012040,False,False,False,False
169,C12,CTCP Cầu 12,Tư liệu sản xuất,UPCoM,4850000,False,False,False,False
170,C21,CTCP Thế Kỷ 21,Phát triển và quản lý bất động sản,UPCoM,19336371,False,False,False,False
171,C22,CTCP 22,"Thực phẩm, đồ uống và thuốc lá",UPCoM,3550000,False,False,False,False
172,C32,CTCP CIC39,Nguyên vật liệu,HOSE,15030145,False,False,False,False
173,C47,CTCP Xây dựng 47,Tư liệu sản xuất,HOSE,36342269,False,False,False,False
174,C4G,CTCP Tập đoàn CIENCO4,Tư liệu sản xuất,UPCoM,357300754,False,False,False,False
175,C69,CTCP Xây dựng 1369,Phân phối và bán lẻ hàng lâu bền,HNX,61799972,False,False,False,False
176,C92,CTCP Xây dựng và Đầu tư 492,Tư liệu sản xuất,UPCoM,5312920,False,False,False,False
177,CAD,CTCP Chế biến và Xuất nhập khẩu Thủy sản Cadovimex,"Thực phẩm, đồ uống và thuốc lá",UPCoM,8799927,False,False,False,False
178,CAG,CTCP Cảng An Giang,Vận tải,HNX,13800000,False,False,False,False
179,CAN,CTCP Đồ hộp Hạ Long,"Thực phẩm, đồ uống và thuốc lá",HNX,5000000,False,False,False,False
180,CAP,CTCP Lâm Nông sản Thực phẩm Yên Bái,Nguyên vật liệu,HNX,15269965,False,False,False,False
181,CAR,CTCP Tập đoàn Giáo dục Trí Việt,Dịch vụ tiêu dùng,HNX,5059098,False,False,False,False
182,CAT,CTCP Thủy sản Cà Mau,"Thực phẩm, đồ uống và thuốc lá",UPCoM,9748579,False,False,False,False
183,CBI,CTCP Gang thép Cao Bằng,Nguyên vật liệu,UPCoM,43006366,False,False,False,False
184,CBS,CTCP Mía Đường Cao Bằng,"Thực phẩm, đồ uống và thuốc lá",UPCoM,5291868,False,False,False,False
185,CC1,Tổng Công ty Xây dựng Số 1 - CTCP,Tư liệu sản xuất,UPCoM,358507825,False,False,False,False
186,CC4,CTCP Đầu tư và Xây dựng Số 4,Tư liệu sản xuất,UPCoM,64000000,False,False,False,False
187,CCA,CTCP Xuất nhập khẩu Thuỷ sản Cần Thơ,"Thực phẩm, đồ uống và thuốc lá",UPCoM,15092326,False,False,False,False
188,CCC,CTCP Xây dựng CDC,Tư liệu sản xuất,HOSE,40250000,False,False,False,False
189,CCI,CTCP Đầu tư Phát triển Công nghiệp Thương mại Củ Chi,Phân phối và bán lẻ hàng lâu bền,HOSE,17743865,False,False,False,False
190,CCL,CTCP Đầu tư và Phát triển Đô thị Dầu khí Cửu Long,Phát triển và quản lý bất động sản,HOSE,59581418,False,False,False,False
191,CCM,CTCP khoáng sản và Xi măng Cần Thơ,Nguyên vật liệu,UPCoM,6199900,False,False,False,False
192,CCP,CTCP Cảng Cửa Cấm Hải Phòng,Phân phối và bán lẻ hàng lâu bền,UPCoM,2400000,False,False,False,False
193,CCR,CTCP Cảng Cam Ranh,Vận tải,HNX,24501817,False,False,False,False
194,CCT,CTCP Cảng Cần Thơ,Vận tải,UPCoM,28480000,False,False,False,False
195,CCV,CTCP Tư vấn Xây dựng Công nghiệp và Đô thị Việt Nam,Dịch vụ chuyên biệt và thương mại,UPCoM,1800000,False,False,False,False
196,CDC,CTCP Chương Dương,Tư liệu sản xuất,HOSE,21988716,False,False,False,False
197,CDG,CTCP Cầu Đuống,Nguyên vật liệu,UPCoM,3464995,False,False,False,False
198,CDH,CTCP Công trình Công cộng và Dịch vụ Du lịch Hải Phòng,Dịch vụ tiện ích,UPCoM,2000000,False,False,False,False
199,CDN,CTCP Cảng Đà Nẵng,Vận tải,HNX,99000000,False,False,False,False
200,CDO,CTCP Tư vấn Thiết kế và Phát triển Đô thị,Tư liệu sản xuất,UPCoM,31504975,False,False,False,False
201,CDP,CTCP Dược phẩm Trung ương Codupha,Dịch vụ và thiết bị chăm sóc sức khỏe,UPCoM,18270000,False,False,False,False
202,CDR,CTCP Xây dựng Cao su Đồng Nai,Tư liệu sản xuất,UPCoM,2133271,False,False,False,False
203,CEN,CTCP CENCON Việt Nam,Phân phối và bán lẻ hàng lâu bền,UPCoM,21712440,False,False,False,False
204,CEO,CTCP Tập đoàn C.E.O,Phát triển và quản lý bất động sản,HNX,540406432,False,False,False,False
205,CET,CTCP HTC Holding,Hàng tiêu dùng và trang trí,HNX,6050000,False,False,False,False
206,CFM,CTCP Đầu tư CFM,Dịch vụ tiêu dùng,UPCoM,2000000,False,False,False,False
207,CFV,CTCP Cà phê Thắng Lợi,"Thực phẩm, đồ uống và thuốc lá",UPCoM,8096000,False,False,False,False
208,CGV,CTCP Vinaceglass,Hàng tiêu dùng và trang trí,UPCoM,9499956,False,False,False,False
209,CH5,CTCP Xây dựng Số 5 Hà Nội,Tư liệu sản xuất,UPCoM,3732450,False,False,False,False
210,CHC,CTCP Cẩm Hà,Nguyên vật liệu,UPCoM,6731596,False,False,False,False
211,CHP,CTCP Thủy điện Miền Trung,Dịch vụ tiện ích,HOSE,146912668,False,False,False,False
212,CHS,CTCP Chiếu sáng Công cộng Thành phố Hồ Chí Minh,Tư liệu sản xuất,UPCoM,28400000,False,False,False,False
213,CI5,CTCP Đầu Tư Xây dựng Số 5,Tư liệu sản xuất,UPCoM,2700000,False,False,False,False
214,CIA,CTCP Dịch vụ Sân bay Quốc tế Cam Ranh,Vận tải,HNX,19709904,False,False,False,False
215,CID,CTCP Xây dựng và Phát triển Cơ sở Hạ tầng,Phát triển và quản lý bất động sản,UPCoM,1082000,False,False,False,False
216,CIG,CTCP COMA 18,Tư liệu sản xuất,HOSE,51039947,False,False,False,False
217,CII,CTCP Đầu tư Hạ tầng Kỹ thuật Thành phố Hồ Chí Minh,Phát triển và quản lý bất động sản,HOSE,547976583,False,False,False,False
218,CIP,CTCP Xây lắp và Sản xuất Công nghiệp,Tư liệu sản xuất,UPCoM,4545000,False,False,False,False
219,CJC,CTCP Cơ điện Miền Trung,Tư liệu sản xuất,HNX,8000000,False,False,False,False
220,CK8,CTCP Cơ khí 120,Nguyên vật liệu,UPCoM,3000000,False,False,False,False
221,CKA,CTCP Cơ Khí An Giang,Tư liệu sản xuất,UPCoM,3286404,False,False,False,False
222,CKD,CTCP Cơ khí Đông Anh LICOGI,Nguyên vật liệu,UPCoM,31000000,False,False,False,False
223,CKG,CTCP Tập đoàn Tư vấn Đầu tư Xây dựng Kiên Giang,Phát triển và quản lý bất động sản,HOSE,95259361,False,False,False,False
224,CKV,CTCP COKYVINA,Dịch vụ viễn thông,HNX,4050000,False,False,False,False
225,CLC,CTCP Cát Lợi,"Thực phẩm, đồ uống và thuốc lá",HOSE,26207583,False,False,False,False
226,CLG,CTCP Đầu tư và Phát triển Nhà đất COTEC,Tư liệu sản xuất,UPCoM,21150000,False,False,False,False
227,CLH,CTCP Xi măng La Hiên VVMI,Nguyên vật liệu,HNX,12000000,False,False,False,False
228,CLL,CTCP Cảng Cát Lái,Vận tải,HOSE,34000000,False,False,False,False
229,CLM,CTCP Xuất nhập khẩu Than - Vinacomin,Năng lượng,HNX,11000000,False,False,False,False
230,CLW,CTCP Cấp nước Chợ Lớn,Dịch vụ tiện ích,HOSE,13000000,False,False,False,False
231,CLX,CTCP Xuất nhập khẩu và Đầu tư Chợ Lớn (CHOLIMEX),Bán lẻ thực phẩm và nhu yếu phẩm,UPCoM,86600000,False,False,False,False
232,CMC,CTCP Đầu tư CMC,Tư liệu sản xuất,HNX,4561050,False,False,False,False
233,CMD,CTCP Vật liệu Xây dựng và Trang trí nội thất Thành phố Hồ Chí Minh,Nguyên vật liệu,UPCoM,15000000,False,False,False,False
234,CMF,CTCP Thực phẩm Cholimex,"Thực phẩm, đồ uống và thuốc lá",UPCoM,8100000,False,False,False,False
235,CMG,CTCP Tập đoàn Công nghệ CMC,Phần mềm và dịch vụ,HOSE,211339607,False,False,False,False
236,CMI,CTCP CMISTONE Việt Nam,Nguyên vật liệu,UPCoM,15002500,False,False,False,False
237,CMK,CTCP Cơ khí Mạo Khê - Vinacomin,Tư liệu sản xuất,UPCoM,1432578,False,False,False,False
238,CMM,CTCP Camimex,"Thực phẩm, đồ uống và thuốc lá",UPCoM,91849998,False,False,False,False
239,CMN,CTCP Lương thực Thực phẩm Colusa - Miliket,"Thực phẩm, đồ uống và thuốc lá",UPCoM,4800000,False,False,False,False
240,CMP,CTCP Cảng Chân Mây,Vận tải,UPCoM,32405415,False,False,False,False
241,CMS,CTCP Tập Đoàn CMH Việt Nam,Tư liệu sản xuất,HNX,25452500,False,False,False,False
242,CMT,CTCP Công nghệ Mạng và Truyền thông,Phần mềm và dịch vụ,UPCoM,8000000,False,False,False,False
243,CMV,CTCP Thương nghiệp Cà Mau,Phân phối và bán lẻ hàng lâu bền,HOSE,18155868,False,False,False,False
244,CMW,CTCP Cấp nước Cà Mau,Dịch vụ tiện ích,UPCoM,15534900,False,False,False,False
245,CMX,CTCP Camimex Group,"Thực phẩm, đồ uống và thuốc lá",HOSE,101898990,False,False,False,False
246,CNA,CTCP Tổng Công ty Chè Nghệ An,"Thực phẩm, đồ uống và thuốc lá",UPCoM,1673622,False,False,False,False
247,CNC,CTCP Công nghệ Cao Traphaco,"Dược phẩm, Công nghệ sinh học và Khoa học thường thức",UPCoM,11364325,False,False,False,False
248,CNG,CTCP CNG Việt Nam,Dịch vụ tiện ích,HOSE,35099625,False,False,False,False
249,CNN,CTCP Tư vấn Công nghệ Thiết bị và Kiểm Định Xây dựng - Coninco,Dịch vụ chuyên biệt và thương mại,UPCoM,8800000,False,False,False,False
250,CNT,CTCP Tập đoàn CNT,Phát triển và quản lý bất động sản,UPCoM,50392785,False,False,False,False
251,COM,CTCP Vật tư Xăng Dầu,Phân phối và bán lẻ hàng lâu bền,HOSE,14120628,False,False,False,False
252,CPA,CTCP Cà phê Phước An,"Thực phẩm, đồ uống và thuốc lá",UPCoM,23627990,False,False,False,False
253,CPC,CTCP Thuốc sát trùng Cần Thơ,Nguyên vật liệu,HNX,4303050,False,False,False,False
254,CPH,CTCP Phục vụ Mai táng Hải Phòng,Dịch vụ tiêu dùng,UPCoM,4400000,False,False,False,False
255,CPI,CTCP Đầu tư Cảng Cái Lân,Vận tải,UPCoM,36505000,False,False,False,False
256,CQN,CTCP Cảng Quảng Ninh,Vận tải,UPCoM,75049936,False,False,False,False
257,CQT,CTCP Xi măng Quán Triều VVMI,Nguyên vật liệu,UPCoM,25000000,False,False,False,False
258,CRC,CTCP Create Capital Việt Nam,Nguyên vật liệu,HOSE,60000000,False,False,False,False
259,CRE,CTCP Bất động sản Thế Kỷ,Phát triển và quản lý bất động sản,HOSE,463678534,False,False,False,False
260,CSC,CTCP Tập đoàn COTANA,Phát triển và quản lý bất động sản,HNX,37408982,False,False,False,False
261,CSI,CTCP Chứng khoán Kiến thiết Việt Nam,Dịch vụ tài chính,UPCoM,16800000,False,False,False,False
262,CSM,CTCP Công nghiệp Cao su Miền Nam,Xe và linh kiện,HOSE,103626467,False,False,False,False
263,CST,CTCP Than Cao Sơn - TKV,Năng lượng,HNX,42846773,False,False,False,False
264,CSV,CTCP Hóa chất Cơ bản Miền Nam,Nguyên vật liệu,HOSE,110499910,False,False,False,False
265,CT3,CTCP Đầu tư và Xây dựng Công trình 3,Tư liệu sản xuất,UPCoM,8799849,False,False,False,False
266,CT6,CTCP Công trình 6,Tư liệu sản xuất,UPCoM,6108078,False,False,False,False
267,CTA,CTCP Vinavico,Nguyên vật liệu,UPCoM,8454381,False,False,False,False
268,CTB,CTCP Chế tạo Bơm Hải Dương,Tư liệu sản xuất,HNX,13680000,False,False,False,False
269,CTD,CTCP Xây dựng Coteccons,Tư liệu sản xuất,HOSE,103633261,False,False,False,False
270,CTF,CTCP City Auto,Phân phối và bán lẻ hàng lâu bền,HOSE,95653859,False,False,False,False
271,CTG,Ngân hàng TMCP Công Thương Việt Nam,Tổ chức tín dụng,HOSE,5369991748,False,False,False,False
272,CTI,CTCP Đầu tư Phát triển Cường Thuận IDICO,Tư liệu sản xuất,HOSE,62999997,False,False,False,False
273,CTN,CTCP Xây dựng Công trình ngầm,Tư liệu sản xuất,UPCoM,6958345,False,False,False,False
274,CTP,CTCP Hòa Bình Takara,"Thực phẩm, đồ uống và thuốc lá",HNX,12099992,False,False,False,False
275,CTR,Tổng Công ty cổ phần Công trình Viettel,Dịch vụ viễn thông,HOSE,114385879,False,False,False,False
