STT,Mã CK▲,Tên công ty,Ngành,Sàn,Khối lượng NY/ĐKGD,CF_Q,CF_Y,VS_Q,VS_Y
423,EMG,CTCP Thiết bị Phụ Tùng Cơ Điện,Tư liệu sản xuất,UPCoM,3000000,False,False,False,False
424,EMS,Tổng Công ty Chuyển phát nhanh Bưu Điện - CTCP,Vận tải,UPCoM,20999440,False,False,False,False
425,EPC,CTCP Cà phê Ea Pốk,"Thực phẩm, đồ uống và thuốc lá",UPCoM,9388500,False,False,False,False
426,EPH,CTCP Dịch vụ Xuất bản Giáo dục Hà Nội,Truyền thông và giải trí,UPCoM,2500000,False,False,False,False
427,EVE,CTCP Everpia,Hàng tiêu dùng và trang trí,HOSE,41979773,False,False,False,False
428,EVF,Công ty Tài chính Cổ phần Điện lực,Tổ chức tín dụng,HOSE,760565802,False,False,False,False
429,EVG,CTCP Tập đoàn EverLand,Phát triển và quản lý bất động sản,HOSE,215249836,False,False,False,False
430,EVS,CTCP Chứng khoán Everest,Dịch vụ tài chính,HNX,164800618,False,False,False,False
431,FBA,CTCP Tập đoàn Quốc tế FBA,Phân phối và bán lẻ hàng lâu bền,UPCoM,3414900,False,False,False,False
432,FBC,CTCP Cơ khí Phổ Yên,Xe và linh kiện,UPCoM,3700000,False,False,False,False
433,FCC,CTCP Liên hợp Thực phẩm,Phát triển và quản lý bất động sản,UPCoM,5997040,False,False,False,False
434,FCM,CTCP Khoáng sản FECON,Nguyên vật liệu,HOSE,46226626,False,False,False,False
435,FCN,CTCP FECON,Tư liệu sản xuất,HOSE,157439005,False,False,False,False
436,FCS,CTCP Lương thực Thành phố Hồ Chí Minh,"Thực phẩm, đồ uống và thuốc lá",UPCoM,29450000,False,False,False,False
437,FDC,CTCP Ngoại thương và Phát triển Đầu tư Thành phố Hồ Chí Minh,Phát triển và quản lý bất động sản,HOSE,38629988,False,False,False,False
438,FGL,CTCP Cà phê Gia Lai,"Thực phẩm, đồ uống và thuốc lá",UPCoM,14676300,False,False,False,False
439,FHN,CTCP Xuất nhập khẩu Lương thực Thực phẩm Hà Nội,"Thực phẩm, đồ uống và thuốc lá",UPCoM,3000000,False,False,False,False
440,FHS,CTCP Phát hành Sách Thành phố Hồ Chí Minh,Phân phối và bán lẻ hàng lâu bền,UPCoM,12751462,False,False,False,False
441,FIC,Tổng Công ty Vật liệu Xây dựng số 1 - CTCP,Nguyên vật liệu,UPCoM,127000000,False,False,False,False
442,FID,CTCP Đầu tư và Phát triển Doanh nghiệp Việt Nam,Phân phối và bán lẻ hàng lâu bền,HNX,24715958,False,False,False,False
443,FIR,CTCP Địa ốc First Real,Phát triển và quản lý bất động sản,HOSE,64245281,False,False,False,False
444,FIT,CTCP Tập đoàn F.I.T,"Dược phẩm, Công nghệ sinh học và Khoa học thường thức",HOSE,339933034,False,False,False,False
445,FLC,CTCP Tập đoàn FLC,Nguyên vật liệu,UPCoM,709997807,False,False,False,False
446,FMC,CTCP Thực phẩm Sao Ta,"Thực phẩm, đồ uống và thuốc lá",HOSE,65388889,False,False,False,False
447,FOC,CTCP Dịch vụ Trực tuyến FPT,Truyền thông và giải trí,UPCoM,18471275,False,False,False,False
448,FOX,CTCP Viễn thông FPT,Dịch vụ viễn thông,UPCoM,492509164,False,False,False,False
449,FPT,CTCP FPT,Phần mềm và dịch vụ,HOSE,1471069183,False,False,False,False
450,FRC,CTCP Lâm đặc sản Xuất khẩu Quảng Nam,Nguyên vật liệu,UPCoM,3000000,False,False,False,False
451,FRM,CTCP Lâm Nghiệp Sài Gòn,Nguyên vật liệu,UPCoM,11700000,False,False,False,False
452,FRT,CTCP Bán lẻ Kỹ thuật số FPT,Phân phối và bán lẻ hàng lâu bền,HOSE,136242389,False,False,False,False
453,FSO,CTCP Cơ khí đóng tàu Thủy sản Việt Nam,Nguyên vật liệu,UPCoM,5624966,False,False,False,False
454,FT1,CTCP Phụ tùng Máy số 1,Xe và linh kiện,UPCoM,7079853,False,False,False,False
455,FTI,CTCP Công nghiệp - Thương mại Hữu Nghị,Hàng tiêu dùng và trang trí,UPCoM,3943710,False,False,False,False
456,FTM,CTCP Đầu tư và Phát triển Đức Quân,Hàng tiêu dùng và trang trí,UPCoM,50000000,False,False,False,False
457,FTS,CTCP Chứng khoán FPT,Dịch vụ tài chính,HOSE,305919366,False,False,False,False
458,FUCTVGF3,Quỹ Đầu tư Tăng trưởng Thiên Việt 3,Dịch vụ tài chính,HOSE,19900800,False,False,False,False
459,FUCTVGF4,Quỹ Đầu tư Tăng trưởng Thiên Việt 4,Dịch vụ tài chính,HOSE,20060000,False,False,False,False
460,FUCTVGF5,Quỹ đầu tư tăng trưởng Thiên Việt 5,Dịch vụ tài chính,HOSE,17280000,False,False,False,False
461,FUCVREIT,Quỹ đầu tư Bất động sản Techcom Việt Nam,Dịch vụ tài chính,HOSE,5000000,False,False,False,False
462,FUEABVND,Chứng chỉ Quỹ ETF ABFVN DIAMOND,Dịch vụ tài chính,HOSE,8500000,False,False,False,False
463,FUEBFVND,Chứng chỉ Quỹ ETF BVFVN DIAMOND,Dịch vụ tài chính,HOSE,3800000,False,False,False,False
464,FUEDCMID,Chứng chỉ Quỹ ETF DCVFMVNMIDCAP,Dịch vụ tài chính,HOSE,28400000,False,False,False,False
465,FUEFCV50,Chứng chỉ Quỹ ETF FPT CAPITAL VNX50,Dịch vụ tài chính,HOSE,5600000,False,False,False,False
466,FUEIP100,Chứng chỉ Quỹ ETF IPAAM VN100,Dịch vụ tài chính,HOSE,5300000,False,False,False,False
467,FUEKIV30,Chứng chỉ Quỹ ETF KIM GROWTH VN30,Dịch vụ tài chính,HOSE,207700000,False,False,False,False
468,FUEKIVFS,Chứng chỉ Quỹ ETF Kim Growth VNFINSELECT,Dịch vụ tài chính,HOSE,21900000,False,False,False,False
469,FUEKIVND,Chứng chỉ Quỹ ETF KIM GROWTH VN DIAMOND,Dịch vụ tài chính,HOSE,7800000,False,False,False,False
470,FUEMAV30,Quỹ ETF MAFM VN30,Dịch vụ tài chính,HOSE,48700000,False,False,False,False
471,FUEMAVND,Chứng chỉ Quỹ ETF MAFM VNDIAMOND,Dịch vụ tài chính,HOSE,22500000,False,False,False,False
472,FUESSV30,Quỹ ETF SSIAM VN30,Dịch vụ tài chính,HOSE,9200000,False,False,False,False
473,FUESSV50,Quỹ ETF SSIAM VNX50,Dịch vụ tài chính,HOSE,6100000,False,False,False,False
474,FUESSVFL,Quỹ ETF SSIAM VNFIN LEAD,Dịch vụ tài chính,HOSE,19200000,False,False,False,False
475,FUETCC50,Chứng chỉ Quỹ ETF TECHCOM CAPITAL VNX50,Dịch vụ tài chính,HOSE,6300000,False,False,False,False
476,FUEVFVND,Quỹ ETF DCVFMVN DIAMOND,Dịch vụ tài chính,HOSE,340500000,False,False,False,False
477,FUEVN100,Quỹ ETF VINACAPITAL VN100,Dịch vụ tài chính,HOSE,29100000,False,False,False,False
478,G20,CTCP Đầu tư Dệt may Vĩnh Phúc,Hàng tiêu dùng và trang trí,UPCoM,14400000,False,False,False,False
479,G36,Tổng Công ty 36 - CTCP,Tư liệu sản xuất,UPCoM,103745067,False,False,False,False
480,GAB,CTCP Đầu tư Khai Khoáng và Quản lý Tài sản FLC,Nguyên vật liệu,UPCoM,14903987,False,False,False,False
481,GAS,Tổng Công ty Khí Việt Nam - CTCP,Dịch vụ tiện ích,HOSE,2342672919,False,False,False,False
482,GCB,CTCP Petec Bình Định,Nguyên vật liệu,UPCoM,4039147,False,False,False,False
483,GCF,CTCP Thực phẩm G.C,"Thực phẩm, đồ uống và thuốc lá",UPCoM,32179999,False,False,False,False
484,GDA,CTCP Tôn Đông Á,Nguyên vật liệu,UPCoM,114691510,False,False,False,False
485,GDT,CTCP Chế biến Gỗ Đức Thành,Hàng tiêu dùng và trang trí,HOSE,23883557,False,False,False,False
486,GDW,CTCP Cấp nước Gia Định,Dịch vụ tiện ích,HNX,9500000,False,False,False,False
487,GEE,CTCP Điện lực Gelex,Tư liệu sản xuất,HOSE,305000000,False,False,False,False
488,GEG,CTCP Điện Gia Lai,Dịch vụ tiện ích,HOSE,358308371,False,False,False,False
489,GER,CTCP Thể thao Ngôi sao Geru,Xe và linh kiện,UPCoM,2200000,False,False,False,False
490,GEX,CTCP Tập đoàn GELEX,Tư liệu sản xuất,HOSE,859429793,False,False,False,False
491,GGG,CTCP Ô tô Giải Phóng,Xe và linh kiện,UPCoM,29388589,False,False,False,False
492,GH3,CTCP Công trình Giao thông Hà Nội,Tư liệu sản xuất,UPCoM,11500000,False,False,False,False
493,GHC,CTCP Thủy điện Gia Lai,Dịch vụ tiện ích,UPCoM,47662500,False,False,False,False
494,GIC,CTCP VSC Green Logistics,Vận tải,HNX,12120000,False,False,False,False
495,GIL,CTCP Sản xuất Kinh doanh và Xuất nhập khẩu Bình Thạnh,Hàng tiêu dùng và trang trí,HOSE,101600066,False,False,False,False
496,GKM,CTCP GKM Holdings,Nguyên vật liệu,HNX,31434237,False,False,False,False
497,GLC,CTCP Vàng Lào Cai,Nguyên vật liệu,UPCoM,10500000,False,False,False,False
498,GLT,CTCP Kỹ thuật Điện Toàn cầu,Dịch vụ viễn thông,HNX,10456092,False,False,False,False
499,GLW,CTCP Cấp thoát nước Gia Lai,Dịch vụ tiện ích,UPCoM,18000000,False,False,False,False
500,GMA,CTCP G-Automobile,Phân phối và bán lẻ hàng lâu bền,HNX,19999999,False,False,False,False
501,GMC,CTCP Garmex Sài Gòn,Hàng tiêu dùng và trang trí,UPCoM,33000259,False,False,False,False
502,GMD,CTCP Gemadept,Vận tải,HOSE,420192309,False,False,False,False
503,GMH,CTCP Minh Hưng Quảng Trị,Nguyên vật liệu,HOSE,16500000,False,False,False,False
504,GMX,CTCP Gạch ngói Gốm Xây dựng Mỹ Xuân,Nguyên vật liệu,HNX,9040697,False,False,False,False
505,GND,CTCP Gạch ngói Đồng Nai,Nguyên vật liệu,UPCoM,9000000,False,False,False,False
506,GPC,CTCP Tập đoàn Green+,Phân phối và bán lẻ hàng lâu bền,UPCoM,54072143,False,False,False,False
507,GSM,CTCP Thủy điện Hương Sơn,Dịch vụ tiện ích,UPCoM,28562000,False,False,False,False
508,GSP,CTCP Vận tải Sản Phẩm Khí Quốc tế,Năng lượng,HOSE,61379265,False,False,False,False
509,GTA,CTCP Chế biến gỗ Thuận An,Nguyên vật liệu,HOSE,10400000,False,False,False,False
510,GTD,CTCP Giầy Thượng Đình,Hàng tiêu dùng và trang trí,UPCoM,9300000,False,False,False,False
511,GTS,CTCP Công trình Giao thông Sài Gòn,Tư liệu sản xuất,UPCoM,28499764,False,False,False,False
512,GTT,CTCP Thuận Thảo,Dịch vụ tiêu dùng,UPCoM,43503000,False,False,False,False
513,GVR,Tập đoàn Công nghiệp Cao su Việt Nam - CTCP,Nguyên vật liệu,HOSE,4000000000,False,False,False,False
514,GVT,CTCP Giấy Việt Trì,Nguyên vật liệu,UPCoM,11605100,False,False,False,False
515,H11,CTCP Xây dựng HUD101,Tư liệu sản xuất,UPCoM,1060000,False,False,False,False
516,HAC,CTCP Chứng khoán Hải Phòng,Dịch vụ tài chính,UPCoM,29181096,False,False,False,False
517,HAD,CTCP Bia Hà Nội - Hải Dương,"Thực phẩm, đồ uống và thuốc lá",HNX,4000000,False,False,False,False
518,HAF,CTCP Thực phẩm Hà Nội,"Thực phẩm, đồ uống và thuốc lá",UPCoM,14500000,False,False,False,False
519,HAG,CTCP Hoàng Anh Gia Lai,"Thực phẩm, đồ uống và thuốc lá",HOSE,1057467947,False,False,False,False
520,HAH,CTCP Vận tải và Xếp dỡ Hải An,Vận tải,HOSE,121343091,False,False,False,False
521,HAI,CTCP Nông dược H.A.I,Phân phối và bán lẻ hàng lâu bền,UPCoM,182682799,False,False,False,False
522,HAM,CTCP Vật tư Hậu Giang,Phân phối và bán lẻ hàng lâu bền,UPCoM,9638061,False,False,False,False
523,HAN,Tổng Công ty Xây dựng Hà Nội - CTCP,Tư liệu sản xuất,UPCoM,141048000,False,False,False,False
524,HAP,CTCP Tập đoàn Hapaco,Nguyên vật liệu,HOSE,111097772,False,False,False,False
525,HAR,CTCP Đầu tư Thương mại Bất động sản An Dương Thảo Điền,Phát triển và quản lý bất động sản,HOSE,101350100,False,False,False,False
526,HAS,CTCP Hacisco,Tư liệu sản xuất,HOSE,8000000,False,False,False,False
527,HAT,CTCP Thương mại Bia Hà Nội,"Thực phẩm, đồ uống và thuốc lá",HNX,3123000,False,False,False,False
528,HAV,CTCP Rượu Hapro,Phát triển và quản lý bất động sản,UPCoM,3297860,False,False,False,False
529,HAX,CTCP Dịch vụ Ô tô Hàng Xanh,Phân phối và bán lẻ hàng lâu bền,HOSE,107439681,False,False,False,False
530,HBC,CTCP Tập đoàn Xây dựng Hòa Bình,Tư liệu sản xuất,UPCoM,347213270,False,False,False,False
531,HBD,CTCP Bao Bì PP Bình Dương,Nguyên vật liệu,UPCoM,2011100,False,False,False,False
532,HBH,CTCP Habeco - Hải Phòng,"Thực phẩm, đồ uống và thuốc lá",UPCoM,16000000,False,False,False,False
533,HBS,CTCP Chứng khoán Hòa Bình,Dịch vụ tài chính,HNX,32999980,False,False,False,False
534,HC1,CTCP Xây dựng Số 1 Hà Nội,Tư liệu sản xuất,UPCoM,8000000,False,False,False,False
535,HC3,CTCP Xây dựng Số 3 Hải Phòng,Phát triển và quản lý bất động sản,UPCoM,20685717,False,False,False,False
536,HCB,CTCP Dệt may 29/3,Hàng tiêu dùng và trang trí,UPCoM,5199274,False,False,False,False
537,HCC,CTCP Bê tông Hòa Cầm - Intimex,Nguyên vật liệu,HNX,6518586,False,False,False,False
538,HCD,CTCP Đầu tư Sản xuất và Thương mại HCD,Tư liệu sản xuất,HOSE,36958816,False,False,False,False
539,HCI,CTCP Đầu tư Xây dựng Hà Nội,Phát triển và quản lý bất động sản,UPCoM,5232000,False,False,False,False
540,HCM,CTCP Chứng khoán Thành phố Hồ Chí Minh,Dịch vụ tài chính,HOSE,720811532,False,False,False,False
541,HCT,CTCP Thương mại Dịch vụ Vận tải Xi măng Hải Phòng,Vận tải,HNX,2016385,False,False,False,False
542,HD2,CTCP Đầu tư Phát triển Nhà HUD2,Hàng tiêu dùng và trang trí,UPCoM,8962353,False,False,False,False
543,HD6,CTCP Đầu tư và Phát triển Nhà Số 6 Hà Nội,Phát triển và quản lý bất động sản,UPCoM,15120000,False,False,False,False
544,HD8,CTCP Đầu tư Phát triển Nhà và Đô thị HUD8,Phát triển và quản lý bất động sản,UPCoM,10000000,False,False,False,False
545,HDA,CTCP Hãng sơn Đông Á,Nguyên vật liệu,HNX,27599967,False,False,False,False
546,HDB,Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh,Tổ chức tín dụng,HOSE,3510142254,False,False,False,False
547,HDC,CTCP Phát triển Nhà Bà Rịa - Vũng Tàu,Phát triển và quản lý bất động sản,HOSE,178354966,False,False,False,False
548,HDG,CTCP Tập đoàn Hà Đô,Dịch vụ tiện ích,HOSE,336331529,False,False,False,False
549,HDM,CTCP Dệt may Huế,Hàng tiêu dùng và trang trí,UPCoM,20096259,False,False,False,False
550,HDO,CTCP Hưng Đạo Container,Tư liệu sản xuất,UPCoM,16959879,False,False,False,False
551,HDP,CTCP Dược Hà Tĩnh,"Dược phẩm, Công nghệ sinh học và Khoa học thường thức",UPCoM,9934418,False,False,False,False
552,HDS,CTCP Giống cây trồng Hải Dương,"Thực phẩm, đồ uống và thuốc lá",UPCoM,5162924,False,False,False,False
553,HDW,CTCP Kinh doanh Nước sạch Hải Dương,Dịch vụ tiện ích,UPCoM,31882470,False,False,False,False
554,HEC,CTCP Tư vấn Xây dựng Thủy Lợi II,Tư liệu sản xuất,UPCoM,6000000,False,False,False,False
555,HEJ,Tổng Công ty Tư vấn Xây dựng Thủy lợi Việt Nam - CTCP,Dịch vụ chuyên biệt và thương mại,UPCoM,4400000,False,False,False,False
556,HEP,CTCP Môi trường và Công trình Đô thị Huế,Dịch vụ tiện ích,UPCoM,6000000,False,False,False,False
557,HES,CTCP Dịch vụ Giải trí Hà Nội,Dịch vụ tiêu dùng,UPCoM,9297450,False,False,False,False
558,HEV,CTCP Sách Đại học - Dạy nghề,Truyền thông và giải trí,HNX,1000000,False,False,False,False
559,HFB,CTCP Công trình Cầu phà Thành phố Hồ Chí Minh,Tư liệu sản xuất,UPCoM,9100000,False,False,False,False
560,HFC,CTCP Xăng dầu HFC,Phân phối và bán lẻ hàng lâu bền,UPCoM,10198105,False,False,False,False
561,HFX,CTCP Sản xuất - Xuất nhập khẩu Thanh Hà,Phân phối và bán lẻ hàng lâu bền,UPCoM,1270000,False,False,False,False
562,HGM,CTCP Cơ khí và Khoáng sản Hà Giang,Nguyên vật liệu,HNX,12600000,False,False,False,False
563,HGT,CTCP Du lịch Hương Giang,Dịch vụ tiêu dùng,UPCoM,20000000,False,False,False,False
564,HHC,CTCP Bánh kẹo Hải Hà,"Thực phẩm, đồ uống và thuốc lá",HNX,16425000,False,False,False,False
565,HHG,CTCP Hoàng Hà,Vận tải,UPCoM,34896354,False,False,False,False
566,HHN,CTCP Vận tải và Dịch vụ Hàng hóa Hà Nội,Dịch vụ chuyên biệt và thương mại,UPCoM,1440000,False,False,False,False
567,HHP,CTCP HHP Global,Nguyên vật liệu,HOSE,86554343,False,False,False,False
568,HHS,CTCP Đầu tư Dịch vụ Hoàng Huy,Phân phối và bán lẻ hàng lâu bền,HOSE,367985968,False,False,False,False
569,HHV,CTCP Đầu tư Hạ tầng Giao thông Đèo Cả,Tư liệu sản xuất,HOSE,432255528,False,False,False,False
570,HID,CTCP Halcom Việt Nam,Tư liệu sản xuất,HOSE,76765032,False,False,False,False
571,HIG,CTCP Tập đoàn HIPT,Phần mềm và dịch vụ,UPCoM,22559030,False,False,False,False
572,HII,CTCP An Tiến Industries,Nguyên vật liệu,HOSE,73663016,False,False,False,False
573,HIO,CTCP Helio Energy,Dịch vụ tiện ích,UPCoM,21000000,False,False,False,False
574,HJC,CTCP Hòa Việt,"Thực phẩm, đồ uống và thuốc lá",UPCoM,12853052,False,False,False,False
575,HJS,CTCP Thủy điện Nậm Mu,Dịch vụ tiện ích,HNX,20999900,False,False,False,False
576,HKB,CTCP Nông nghiệp và Thực phẩm Hà Nội - Kinh Bắc,"Thực phẩm, đồ uống và thuốc lá",UPCoM,51599999,False,False,False,False
577,HKT,CTCP Đầu tư QP Xanh,"Thực phẩm, đồ uống và thuốc lá",HNX,6135029,False,False,False,False
578,HLA,CTCP Hữu Liên Á Châu,Nguyên vật liệu,UPCoM,34459293,False,False,False,False
579,HLB,CTCP Bia và Nước giải khát Hạ Long,"Thực phẩm, đồ uống và thuốc lá",UPCoM,3000000,False,False,False,False
580,HLC,CTCP Than Hà Lầm - Vinacomin,Năng lượng,HNX,25415199,False,False,False,False
581,HLD,CTCP Đầu tư và Phát triển Bất động sản HUDLAND,Phát triển và quản lý bất động sản,HNX,31599961,False,False,False,False
582,HLO,CTCP Công nghệ Ha Lô,Tư liệu sản xuất,UPCoM,8000000,False,False,False,False
583,HLS,CTCP Sứ Kỹ thuật Hoàng Liên Sơn,Tư liệu sản xuất,UPCoM,11169125,False,False,False,False
584,HLT,CTCP Dệt may Hoàng Thị Loan,Hàng tiêu dùng và trang trí,UPCoM,5500000,False,False,False,False
585,HLY,CTCP Gốm Xây Dựng Yên Hưng,Nguyên vật liệu,UPCoM,1000000,False,False,False,False
586,HMC,CTCP Kim khí Thành phố Hồ Chí Minh - VNSTEEL,Nguyên vật liệu,HOSE,27299999,False,False,False,False
587,HMD,CTCP Hóa chất Minh Đức,Nguyên vật liệu,UPCoM,4974450,False,False,False,False
588,HMG,CTCP Kim khí Hà Nội - VNSTEEL,Nguyên vật liệu,UPCoM,9000000,False,False,False,False
589,HMH,CTCP Hải Minh,Vận tải,HNX,13199847,False,False,False,False
590,HMR,CTCP Đá Hoàng Mai,Nguyên vật liệu,HNX,5612444,False,False,False,False
591,HMS,CTCP Xây dựng Bảo tàng Hồ Chí Minh,Tư liệu sản xuất,UPCoM,10919846,False,False,False,False
592,HNA,CTCP Thủy điện Hủa Na,Dịch vụ tiện ích,HOSE,235232210,False,False,False,False
593,HNB,CTCP Bến xe Hà Nội,Vận tải,UPCoM,9500000,False,False,False,False
594,HND,CTCP Nhiệt điện Hải Phòng,Dịch vụ tiện ích,UPCoM,500000000,False,False,False,False
595,HNF,CTCP Thực phẩm Hữu Nghị,"Thực phẩm, đồ uống và thuốc lá",UPCoM,30000000,False,False,False,False
596,HNG,CTCP Nông nghiệp Quốc tế Hoàng Anh Gia Lai,"Thực phẩm, đồ uống và thuốc lá",UPCoM,1108553895,False,False,False,False
597,HNI,CTCP May Hữu Nghị,Hàng tiêu dùng và trang trí,UPCoM,23778900,False,False,False,False
598,HNM,CTCP Sữa Hà Nội,"Thực phẩm, đồ uống và thuốc lá",UPCoM,44400000,False,False,False,False
599,HNP,CTCP Hanel Xốp nhựa,Nguyên vật liệu,UPCoM,5000000,False,False,False,False
600,HNR,CTCP Rượu và Nước giải khát Hà Nội,"Thực phẩm, đồ uống và thuốc lá",UPCoM,20000000,False,False,False,False
601,HOM,CTCP Xi măng VICEM Hoàng Mai,Nguyên vật liệu,HNX,74769131,False,False,False,False
602,HOT,CTCP Du lịch Dịch vụ Hội An,Dịch vụ tiêu dùng,UPCoM,8000000,False,False,False,False
603,HPB,CTCP Bao bì PP,Nguyên vật liệu,UPCoM,3880000,False,False,False,False
604,HPD,CTCP Thủy điện ĐăK Đoa,Dịch vụ tiện ích,UPCoM,8306590,False,False,False,False
605,HPG,CTCP Tập đoàn Hòa Phát,Nguyên vật liệu,HOSE,6396250200,False,False,False,False
606,HPH,CTCP Hóa Chất Hưng Phát Hà Bắc,Đồ gia dụng và cá nhân,UPCoM,8400000,False,False,False,False
607,HPI,CTCP Khu công nghiệp Hiệp Phước,Phát triển và quản lý bất động sản,UPCoM,60000000,False,False,False,False
608,HPM,CTCP Xây dựng Thương mại và Khoáng Sản Hoàng Phúc,Nguyên vật liệu,UPCoM,3800000,False,False,False,False
609,HPP,CTCP Sơn Hải Phòng,Nguyên vật liệu,UPCoM,8007177,False,False,False,False
610,HPT,CTCP Dịch vụ Công nghệ Tin học HPT,Phần mềm và dịch vụ,UPCoM,10507382,False,False,False,False
611,HPW,CTCP Cấp nước Hải Phòng,Dịch vụ tiện ích,UPCoM,74206940,False,False,False,False
612,HPX,CTCP Đầu tư Hải Phát,Phát triển và quản lý bất động sản,HOSE,304168581,False,False,False,False
613,HQC,CTCP Tư vấn Thương mại Dịch vụ Địa Ốc Hoàng Quân,Phát triển và quản lý bất động sản,HOSE,576600000,False,False,False,False
614,HRB,CTCP Harec Đầu tư và Thương mại,Phát triển và quản lý bất động sản,UPCoM,6338400,False,False,False,False
615,HRC,CTCP Cao su Hòa Bình,Nguyên vật liệu,HOSE,30206622,False,False,False,False
616,HSA,CTCP Hestia,Dịch vụ chuyên biệt và thương mại,UPCoM,7872727,False,False,False,False
617,HSG,CTCP Tập đoàn Hoa Sen,Nguyên vật liệu,HOSE,620982309,False,False,False,False
618,HSI,CTCP Vật tư Tổng hợp và Phân bón Hóa Sinh,Nguyên vật liệu,UPCoM,10000000,False,False,False,False
619,HSL,CTCP Đầu tư Phát triển Thực phẩm Hồng Hà,"Thực phẩm, đồ uống và thuốc lá",HOSE,38567363,False,False,False,False
620,HSM,Tổng Công ty cổ phần Dệt may Hà Nội,Hàng tiêu dùng và trang trí,UPCoM,20500000,False,False,False,False
621,HSP,CTCP Sơn Tổng hợp Hà Nội,Nguyên vật liệu,UPCoM,12027086,False,False,False,False
622,HSV,CTCP Tập đoàn HSV Việt Nam,Phân phối và bán lẻ hàng lâu bền,UPCoM,15749994,False,False,False,False
623,HT1,CTCP Xi Măng Vicem Hà Tiên,Nguyên vật liệu,HOSE,381589911,False,False,False,False
624,HTC,CTCP Thương mại Hóc Môn,Phân phối và bán lẻ hàng lâu bền,HNX,16499993,False,False,False,False
625,HTE,CTCP Đầu tư Kinh doanh Điện lực Thành phố Hồ Chí Minh,Tư liệu sản xuất,UPCoM,23608165,False,False,False,False
626,HTG,Tổng Công ty cổ phần Dệt may Hòa Thọ,Hàng tiêu dùng và trang trí,HOSE,36002708,False,False,False,False
627,HTI,CTCP Đầu tư Phát triển Hạ tầng IDICO,Tư liệu sản xuất,HOSE,24949200,False,False,False,False
628,HTL,CTCP Kỹ thuật và Ô tô Trường Long,Phân phối và bán lẻ hàng lâu bền,HOSE,12000000,False,False,False,False
629,HTM,Tổng Công ty Thương mại Hà Nội - CTCP,Phân phối và bán lẻ hàng lâu bền,UPCoM,220000000,False,False,False,False
630,HTN,CTCP Hưng Thịnh Incons,Tư liệu sản xuất,HOSE,89116411,False,False,False,False
631,HTP,CTCP In Sách Giáo khoa Hòa Phát,Dịch vụ chuyên biệt và thương mại,UPCoM,91804980,False,False,False,False
632,HTT,CTCP Thương mại Hà Tây,Phát triển và quản lý bất động sản,UPCoM,20000000,False,False,False,False
633,HTV,CTCP Logistics Vicem,Vận tải,HOSE,13104000,False,False,False,False
634,HU1,CTCP Đầu tư và Xây dựng HUD1,Tư liệu sản xuất,HOSE,10000000,False,False,False,False
635,HU3,CTCP Đầu tư và Xây dựng HUD3,Tư liệu sản xuất,UPCoM,9999944,False,False,False,False
636,HU4,CTCP Đầu tư và Xây dựng HUD4,Phát triển và quản lý bất động sản,UPCoM,15000000,False,False,False,False
637,HU6,CTCP Đầu tư Phát triển Nhà và Đô thị HUD6,Phát triển và quản lý bất động sản,UPCoM,7500000,False,False,False,False
638,HUB,CTCP Xây lắp Thừa Thiên Huế,Nguyên vật liệu,HOSE,26298437,False,False,False,False
639,HUG,Tổng Công ty May Hưng Yên - CTCP,Hàng tiêu dùng và trang trí,UPCoM,19511389,False,False,False,False
640,HUT,CTCP Tasco,Phân phối và bán lẻ hàng lâu bền,HNX,892511965,False,False,False,False
641,HVA,CTCP Đầu tư HVA,Dịch vụ tài chính,UPCoM,13650000,False,False,False,False
642,HVG,CTCP Hùng Vương,"Thực phẩm, đồ uống và thuốc lá",UPCoM,227038291,False,False,False,False
643,HVH,CTCP Đầu tư và Công nghệ HVC,Tư liệu sản xuất,HOSE,40644830,False,False,False,False
644,HVN,Tổng Công ty Hàng không Việt Nam - CTCP,Vận tải,HOSE,2214394174,False,False,False,False
645,HVT,CTCP Hóa chất Việt Trì,Nguyên vật liệu,HNX,27470046,False,False,False,False
646,HVX,CTCP Xi măng VICEM Hải Vân,Nguyên vật liệu,HOSE,38525250,False,False,False,False
647,HWS,CTCP Cấp nước Huế,Dịch vụ tiện ích,UPCoM,87600000,False,False,False,False
648,IBC,CTCP Đầu tư Apax Holdings,Dịch vụ tiêu dùng,UPCoM,83150661,False,False,False,False
649,IBD,CTCP In Tổng hợp Bình Dương,Dịch vụ chuyên biệt và thương mại,UPCoM,9000000,False,False,False,False
650,ICC,CTCP Xây dựng Công nghiệp (ICC),Hàng tiêu dùng và trang trí,UPCoM,3800000,False,False,False,False
651,ICF,CTCP Đầu tư Thương mại Thủy sản,"Thực phẩm, đồ uống và thuốc lá",UPCoM,12807000,False,False,False,False
652,ICG,CTCP Xây dựng Sông Hồng,Tư liệu sản xuất,HNX,20000000,False,False,False,False
653,ICI,CTCP Đầu tư và Xây dựng Công nghiệp,Tư liệu sản xuất,UPCoM,4000000,False,False,False,False
654,ICN,CTCP Đầu tư Xây dựng Dầu khí IDICO,Tư liệu sản xuất,UPCoM,20399960,False,False,False,False
655,ICT,CTCP Viễn thông - Tin học Bưu điện,Dịch vụ viễn thông,HOSE,32185000,False,False,False,False
656,IDC,Tổng Công ty IDICO – CTCP,Phát triển và quản lý bất động sản,HNX,329999929,False,False,False,False
