Mã CK,FRM,FRT,FSO,FT1,FTI,FTM,G36,GAS,GCB,GCF,GDA,GDT,GDW,GEE,GEG,GER,GEX,GGG,GH3,GHC,GIC,GIL,GKM,GLC,GLT,GLW,GMA
Kỳ/năm,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024
Trạng thái hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Trạng thái kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Chưa kiểm toán,Kiểm toán,Kiểm toán
Công ty kiểm toán,AASCS,PWC,AFA,VAE,AASCS,AVA,AASC,PWC,AAC,UHY,EY,A&C,AFC,Deloitte,PWC,IAV,Deloitte,NVT,CPA VIETNAM,PWC,PWC,AASCS,IAV,IAV,,Grant Thornton,AASC
Ý kiến kiểm toán,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Từ chối - Không thể đưa ra ý kiến,Từ chối - Không thể đưa ra ý kiến,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận từng phần - Ngoại trừ,Chấp nhận toàn phần - Có đoạn ghi thêm ý kiến,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần - Có đoạn ghi thêm ý kiến,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận từng phần - Ngoại trừ,Từ chối - Không thể đưa ra ý kiến,,Chấp nhận toàn phần,Chấp nhận toàn phần
Ngày công bố báo cáo,18-03-2025,08-03-2025,04-03-2025,12-03-2025,24-03-2025,03-04-2025,01-04-2025,03-03-2025,18-04-2025,20-03-2025,02-04-2025,31-03-2025,02-04-2025,04-03-2025,31-03-2025,28-02-2025,03-03-2025,28-03-2025,25-03-2025,02-04-2025,25-02-2025,26-03-2025,11-04-2025,03-04-2025,05-05-2025,31-03-2025,02-04-2025
Ngày ký kiểm toán,12-03-2025,03-03-2025,03-03-2025,03-03-2025,20-03-2025,27-03-2025,28-03-2025,20-02-2025,14-04-2025,14-03-2025,26-03-2025,29-03-2025,31-03-2025,26-02-2025,26-03-2025,20-02-2025,28-02-2025,28-03-2025,15-03-2025,26-03-2025,18-02-2025,24-03-2025,09-04-2025,28-03-2025,,18-03-2025,28-03-2025
CÂN ĐỐI KẾ TOÁNMS,,,,,,,,,,,,,,,,,,,,,,,,,,,
TÀI SẢN,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Trả trước cho người bán ngắn hạn132,30000000,43997579646,,3367928130,91781085,219232159404,317395798132,375639323197,7804516110,132217288212,14341792110,2533855163,2460623933,657081917022,20528704499,225000000,1211916380704,46142130,8136826971,516770350,20600000,151041632828,42535759607,86000000,27411843483,579912210,1452584581
3. Phải thu nội bộ ngắn hạn133,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng134,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. Phải thu về cho vay ngắn hạn135,,,,,,,35206051444,,,,,33000000000,,371600000000,242320000000,,115075000000,,,224000000000,10000000000,,33457000000,,60000000,,9212286826
6. Phải thu ngắn hạn khác136,476953847,206546170984,1098432189,951097345,9900236367,55043819501,119259443638,4746916152558,7718005775,33640680089,47367616434,31175537380,5429711395,109772374121,146329251106,913665207,865367477127,276981259,8697485553,2801069481,149000000,46098347359,22538479996,,2166829102,1402075461,249994643338
7. Dự phòng phải thu ngắn hạn khó đòi137,-574228436,-9567339122,-1523638549,,-4049280489,-465690618216,-4661038940,-2768794271757,-2614299637,-35952057613,-30903586169,-507588254,-3386043061,-176976994686,-817708635,-6584804802,-490952604158,,-42445624004,,,,,-138716291,-3286929965,-241795037,-529300536
8. Tài sản thiếu chờ xử lý139,,,,76298454,,,,,,,,,,,,24439580,,,,,,,,,,,
IV. Hàng tồn kho140,1707783460,10234733890772,219799519,148999514006,,149990368362,1169095863702,4598950949593,8211486543,75199128581,4584590741297,73223354674,32346132399,3680150401796,118822621030,11521891860,8684599751876,12559271155,11607051017,3169524622,2449951323,1647039456155,14648345350,3864889951,23128518637,3821215435,288666011765
1. Hàng tồn kho141,1707783460,10291473307238,219799519,148999514006,930482934,149990368362,1169095863702,4732006717115,8211486543,75199128581,4835991887109,73223354674,32346132399,3747167515698,155571782030,11521891860,8879344974669,13894119689,11607051017,3169524622,2449951323,1647039456155,14648345350,3864889951,28651848103,3821215435,289808187166
2. Dự phòng giảm giá hàng tồn kho 149,,-56739416466,,,-930482934,,,-133055767522,,,-251401145812,,,-67017113902,-36749161000,,-194745222793,-1334848534,,,,,,,-5523329466,,-1142175401
V. Tài sản ngắn hạn khác150,3920377000,290510499090,11582743,582057043,31397793,953015882,76528335264,531112687800,626466932,12327327653,478806479000,7732140234,7464557223,156523048508,36475376027,1026964210,990223985031,444156437,,3480325979,289861464,87651081644,8349477733,3554548,35858498,198133968,13512586118
1. Chi phí trả trước ngắn hạn151,3824486592,252093295842,,582057043,,692217115,4295790286,46023323039,491085841,2133955256,32029733527,764828881,7050301039,24815192830,21465141796,1018074239,69011887537,,,3454871434,289861464,1737829670,22275597,,34308498,55309130,7830401602
2. Thuế GTGT còn được khấu trừ152,8016121,16870747637,,,,260798767,60104297989,447768536836,135381091,8609144127,446756758633,6245083075,414256184,119900696777,14876028582,,873267399664,444156437,,25454545,,84042600169,766028500,3554548,1550000,59540806,5443372958
3. Thuế và các khoản khác phải thu của nhà nước153,87874287,21546455611,11582743,,31397793,,12128246989,37320827925,,1584228270,19986840,722228278,,11807158901,134205649,8889971,47944697830,,,,,1870651805,7561173636,,,83284032,238811558
4. Giao dịch mua bán lại trái phiếu Chính phủ (TS)154,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. Tài sản ngắn hạn khác155,,,,,,,,,,,,,,,,,,,,,,,,,,,
