Mã CK,DFS
Kỳ/năm,Năm/2024
Trạng thái hợp nhất,Hợp nhất
Trạng thái kiểm toán,Kiểm toán
Công ty kiểm toán,AASC
Ý kiến kiểm toán,Chấp nhận toàn phần
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ20,38800519882
6. Doanh thu hoạt động tài chính21,9897326801
7. Chi phí tài chính 22,3366838080
Trong đó :Chi phí lãi vay23,1392572132
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết24",40519990
9. Chi phí bán hàng25,9932707740
10. Chi phí quản lý doanh nghiệp26,22991051894
11. Lợi nhuận thuần từ hoạt động kinh doanh30,12447768959
12. Thu nhập khác31,2200153717
13. Chi phí khác32,820270463
14. Lợi nhuận khác40,1379883254
"Phần lãi/lỗ trong công ty liên doanh, liên kết",
15. Tổng lợi nhuận kế toán trước thuế50,13827652213
16. Chi phí thuế TNDN hiện hành51,2263752767
17. Chi phí thuế TNDN hoãn lại52,
18. Lợi nhuận sau thuế thu nhập doanh nghiệp60,11563899446
Lợi ích của cổ đông thiểu số,4309499350
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,7254400096
19. Lãi cơ bản trên cổ phiếu,322
20. Lãi suy giảm trên cổ phiếu71,
LƯU CHUYỂN TIỀN TỆ GIÁN TIẾPMS,
I. Lưu chuyển tiền từ hoạt động kinh doanh,
1. Lợi nhuận trước thuế01,13827652213
2. Điều chỉnh cho các khoản,
Khấu hao TSCĐ và BĐSĐT02,6511946833
Các khoản dự phòng03,1003386660
"Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệchưa thực hiện04",109421050
"Lãi, lỗ từ hoạt động đầu tư05",-9448370077
Chi phí lãi vay06,1392572132
"Lãi, lỗ do thanh lý TSCĐ",
Thu nhập lãi vay và cổ tức,
Phân bổ lợi thế thương mại,
Điều chỉnh cho các khoản khác,
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động08,13396608811
"Tăng, giảm các khoản phải thu09",-19804350969
