Mã CK,COM,CPA,CPC,CPH,CPI,CQN,CQT,CRC,CRE,CSC,CSM,CST,CSV,CT6,CTB,CTD,CTF,CTI,CTP,CTR,CTT,CTW,CTX,CVN,CVT,CX8,CYC,D11,D2D,DAC,DAD,DAE,DAH,DAN,DAS,DAT,DBC,DBD,DBM,DBT,DC1,DC2,DC4
I. Tiền và các khoản tương đương tiền110,95564510972,4418262999,14439625166,65693443194,981905694,27984990271,6229672739,54684914736,31099676274,124640784308,473343496352,800433496,172611144046,5116805076,24353857461,2210413091737,69029863474,37060240572,7278245943,886977987638,7620885084,56810251812,92692513314,3482211096,312075289505,3110875588,274402833,16222990014,64622263772,407053004,68203733540,4947198085,2193463824,74551503101,9949206839,66280890265,439331953874,314198731825,11083657602,7862938945,1031376698,26909660225,127476123992
1. Tiền111,35564510972,4418262999,8439625166,2846467783,981905694,27984990271,6229672739,41685348013,31099676274,100421784308,473343496352,800433496,84611144046,5116805076,24353857461,875997691412,69029863474,22060240572,7278245943,786977987638,7620885084,22995885540,92692513314,3482211096,46075289505,3110875588,274402833,7027568466,8622263772,407053004,2203733540,4947198085,2193463824,6421503101,9949206839,66280890265,251855181586,56698731825,11083657602,7862938945,1031376698,26909660225,21334718196
2. Các khoản tương đương tiền112,60000000000,,6000000000,62846975411,,,,12999566723,,24219000000,,,88000000000,,,1334415400325,,15000000000,,100000000000,,33814366272,,,266000000000,,,9195421548,56000000000,,66000000000,,,68130000000,,,187476772288,257500000000,,,,,106141405796
II. Đầu tư tài chính ngắn hạn120,12450332850,,48000000000,,,185000000000,,3984609753,157424654795,23708912054,,,605000000000,1183793000,74940000000,1867911912713,,7476411762,,853500000000,,35877744978,131970051,39713,44250000000,,,32616690314,32500000000,,16083600000,14449004940,,,,483207095888,1370890520510,124421158600,36500000000,67397227412,,,4409865564
1. Chứng khoán kinh doanh121,19346704000,,,,,,,,,60428,,,,,,255421568164,,,,,,,2549370051,35799713,,,,33410627606,,,4237145000,5657785512,,,,,,1393300,,39493142987,,,
2. Dự phòng giảm giá chứng khoán kinh doanh122,-6896371150,,,,,,,,,-50028,,,,,,-2707921462,,,,,,,-2417400000,-35760000,,,,-793937292,,,-153545000,-1208780572,,,,,,,,,,,
3. Đầu tư nắm giữ đến ngày đáo hạn123,,,48000000000,,,185000000000,,3984609753,157424654795,23708901654,,,605000000000,1183793000,74940000000,1615198266011,,7476411762,,853500000000,,35877744978,,,44250000000,,,,32500000000,,12000000000,10000000000,,,,483207095888,1370890520510,124419765300,36500000000,27904084425,,,4409865564
III. Các khoản phải thu ngắn hạn130,24864548208,2258665398,25730575648,7689133457,8613742132,208858346656,53954770651,389893570417,3745916881150,414499675122,775736335831,891522070273,296327608785,112432239138,356096716212,12023581006529,2076658540820,91237290234,59750336241,2936966727722,363761526909,21426630796,296975135037,59397772693,1493048658427,64964129063,9000895289,176029994855,63671023218,142906277,32883078722,7115062951,6062976790,370586037274,27151324555,567906699566,402126060200,520222627983,24347401548,193036057088,50098473834,197659535745,1539647424021
1. Phải thu ngắn hạn của khách hàng131,60162608983,276521600,24236152837,753120000,7834791743,171232797526,58126038995,155999212568,547530263681,335399066866,758233560099,885278643471,266520811461,115047302789,351709752410,12245741404344,987474019852,33400816977,,1919969744514,371202411498,11428524302,180624017296,50547521279,224927355690,31887781815,29806289325,13780309847,39444747759,5211552051,31306147283,6984113279,1825026302,285800283743,21075683211,416622868985,197353843466,504877324434,24598102821,169390686344,51039568954,175832299388,400145507047
2. Trả trước cho người bán ngắn hạn132,,411805682,1583228400,3543752458,54315440,6535816902,425450400,134874786441,47036510820,13656056524,77170955211,1240969126,9809659213,2088055045,22949665011,940479091028,323928870820,17282636240,22691863638,247072981434,4343601914,6913140647,157831629461,5286254955,180676669932,40000000,1001315014,27725977082,3823428397,110000000,1430270604,34664000,3653786762,85313525015,2009841486,144148625825,104799300518,76498728383,208984792,5667531826,294278132,18059984361,876141075201
3. Phải thu nội bộ ngắn hạn133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng134,,,,,,,,,,,,,,,,6890183211,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. Phải thu về cho vay ngắn hạn135,,,,,,,,42000000000,165405700000,19233164712,,,,,,84140415000,,,37000000000,,,,,,,,,1600000000,,,,,,,,,,,,11000000000,,,
6. Phải thu ngắn hạn khác136,253415225,48987412570,8429053851,3338635494,2929174707,41127775260,1804458669,57102571563,3069744764626,58480122678,28091647283,5002457676,23014141971,3645070314,7319763924,178479476872,765143051437,57435592677,145972603,860686478796,22107324172,4842671170,123692084835,3563996459,1093850929686,33036347248,4337583487,138515078830,24124288218,635358869,1138239602,500167378,584163726,8710229512,6216799858,7324594806,99972916216,6918534026,305528458,8560048456,1365421181,4087387635,316523270080
7. Dự phòng phải thu ngắn hạn khó đòi137,-35551476000,-47417074454,-8517859440,,-2204539758,-10038043032,-6401177413,-83000155,-83800357977,-12268735658,-87759826762,,-3017003860,-8348189010,-25882465133,-1432149563926,,-17110481013,-87500000,-90762477022,-33891810675,-1757705323,-165191175755,,-6406296881,,-26144292537,-5591370904,-3721441156,-5814004643,-991578767,-403881706,,-9238000996,-2151000000,-189390050,,-68071958860,-765214523,-1582209538,-2600794433,-320135639,-53162428307
8. Tài sản thiếu chờ xử lý139,,,,53625505,,,,,,,,,,,,,112598711,228725353,,,,,18579200,,,,,,,,,,,,,,,,,,,,
IV. Hàng tồn kho140,70343097767,22403646610,15446508249,102699141269,1375104637,40471841294,31288715669,109650815258,354388867338,1641239473068,1220499639623,462357683840,340626271082,54682175364,122317087119,3126138704190,613979287300,340622780598,13319876621,610480085129,234227186860,51485998377,112963057359,12981355064,733992656925,10566277060,185010440429,43686450731,187304619254,9818667814,21697129493,18631605647,3491080856,82431552930,58409750758,97970447466,5516781758000,505380962218,24165384396,470128247197,70267327499,28424612927,349647054760
1. Hàng tồn kho141,70343097767,22403646610,16698796463,102699141269,1375104637,40471841294,31559898063,109650815258,354388867338,1641239473068,1220499639623,462357683840,340626271082,55674450028,122474554487,3198243987626,618922571855,340622780598,13319876621,629054145471,238557315315,52490517100,112963057359,12981355064,739441340513,10566277060,195025254699,43686450731,187304619254,10332658753,35279601212,19276438344,3491080856,85178338807,59114816258,97970447466,5516781758000,532336906627,24493822683,473356480205,70267327499,28424612927,350542739896
2. Dự phòng giảm giá hàng tồn kho 149,,,-1252288214,,,,-271182394,,,,,,,-992274664,-157467368,-72105283436,-4943284555,,,-18574060342,-4330128455,-1004518723,,,-5448683588,,-10014814270,,,-513990939,-13582471719,-644832697,,-2746785877,-705065500,,,-26955944409,-328438287,-3228233008,,,-895685136
V. Tài sản ngắn hạn khác150,2262136376,92252731,210496841,88373300,245573764,3191528432,1845704643,38933669360,9450898279,44638751149,438266794484,143823449697,49471559451,289462396,1286838695,1228160655154,20848696532,5320454388,4738209,133516549169,8879567582,2827894705,21910363017,751904686,5361067362,1159875706,4713568187,615954885,41895233468,,978684935,1042352739,7905665614,39614428439,4349074819,,109009660319,12057137151,72296656,3910484906,346576584,363903839,7232067222
1. Chi phí trả trước ngắn hạn151,,10158331,210496841,88373300,104998901,2064377512,1646541559,112634659,4741834062,27962312158,2169134754,82580464666,1881843426,76081815,1172092352,7374318898,11764494065,539977453,,133516549169,8876830298,2372723264,547432701,,4585401752,,1149708638,393288819,2204385535,,978684935,915067225,216569782,4096158216,2764787622,,41676598047,8653554344,57836780,2082048840,346576584,363903839,63841786
2. Thuế GTGT còn được khấu trừ152,2262136376,82094400,,,50786962,,,38773292282,1295201921,15651195143,421977256208,61242985031,44452166652,,113804343,1220770992012,8642482214,2970571739,,,2737284,434640278,19496532770,751904686,775155290,1159875706,3563859549,,38505954665,,,,7689095832,35518270223,1546075622,,46975126322,1895670328,,1828436066,,,6478421571
3. Thuế và các khoản khác phải thu của nhà nước153,,,,,89787901,1127150920,199163084,47742419,3413862296,1025243848,14120403522,,3137549373,213380581,942000,15344244,441720253,1809905196,4738209,,,20531163,1866397546,,510320,,,222666066,1184893268,,,127285514,,,38211575,,4213718248,1507912479,14459876,,,,689803865
4. Giao dịch mua bán lại trái phiếu Chính phủ (TS)154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. Tài sản ngắn hạn khác155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16144217702,,,,,,
B. TÀI SẢN DÀI HẠN200,279282264165,74257899214,19398923716,44486573593,31994792130,671691016832,419183726753,617777003729,2882428883955,60769042535,907410236970,1152867846680,394961473325,17318010162,130235951096,2412569367809,1137114950794,4079630360078,75003929550,1684816514010,122981997315,642436703236,1405817116214,400605382587,745825349727,3735371751,29753761355,95394908011,1126272851130,3030720411,23394182594,4585899989,1067986817320,1028947132194,52748686464,305770948103,6283415874694,787925914939,4503712938,251422135707,110636248633,69023770307,391635196624
I. Các khoản phải thu dài hạn210,1900000000,,,,3682400000,,,42450000000,2470221354651,302180000,988480286,191157836203,427352060,,5390459170,699217384607,368987370210,8515472372,,,,,11450141,,,,,,11051824770,,,327050000,155997000000,,,1898879835,38827323609,,,6341886389,48715151316,,4321631294
1. Phải thu dài hạn của khách hàng211,,,,,,,,,,,,,,,4943059170,,,,,,,,,,,,,,74540000,,,,,,,,,,,,,,
2. Trả trước cho người bán dài hạn212,,,,,,,,,,,,,,,,1975899091,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. Vốn kinh doanh ở các đơn vị trực thuộc213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. Phải thu nội bộ dài hạn214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. Phải thu về cho vay dài hạn215,,,,,,,,,,,,,,,,35826085000,,,,,,,,,,,,,,,,,155997000000,,,,,,,,,,
6. Phải thu dài hạn khác216,1900000000,,,,3682400000,,,42450000000,2493771354651,374480000,988480286,191157836203,427352060,,447400000,663391299607,368987370210,8515472372,,,,165071565,11450141,,,,,,17527903170,,,327050000,,,,1898879835,38827323609,,,6341886389,48715151316,,4321631294
7. Dự phòng phải thu dài hạn khó đòi219,,,,,,,,,-23550000000,-72300000,,,,,,-1975899091,,,,,,-165071565,,,,,,,-6550618400,,,,,,,,,,,,,,
II. Tài sản cố định220,230712282461,65882882391,16287687123,14511926660,1797391116,122968220769,384641983827,406693869338,185157833912,33536543594,823790323897,783261604834,62682180314,4463556911,117346875967,455736491742,214648332733,3066317192623,,190737253954,98024921056,576763014614,381658116251,8189620070,681056911597,436706870,28816956621,3565698014,82072807883,3030720411,16305939826,3653787379,690822726989,109735148960,49953800538,196336015479,4789772451065,337549679184,4003712938,130654376541,47709115874,51028814211,24578691817
1. Tài sản cố định hữu hình221,120564230704,65226002391,16283520443,14511926660,1669247472,122948304508,384641983827,402428987437,111069967878,30370493067,715977561613,781230106854,60926208933,3317016996,117249828023,352978460745,122408998134,220604691417,,173607215775,98024921056,576397348805,368934933528,5263620087,674817432987,436706870,28816956621,3565698014,58827172000,3030720411,8476775826,2153387379,684392985821,73558173316,37880415833,124623953764,4318221168927,280725745444,3479712387,96764399420,7609931846,12518609485,24318752375
- Nguyên giá222,238516180389,296104105466,58701079707,78911772940,11984045111,625663798373,1428336237067,527384424963,185804304021,85544451205,3281147147769,4922725553050,1125985726507,69813984032,258631906977,1193179556036,208645717461,554669470687,,734989608232,616390614552,1241168559685,531903499798,7157465579,2051349875496,2999406675,322998007400,6738295907,82147540329,61943142178,22202999597,6163066773,848974112628,372656925020,62501622846,348589467246,7815849050126,810661849768,19072724265,188505626039,37881602931,31543538309,103757552881
- Giá trị hao mòn lũy kế 223,-117951949685,-230878103075,-42417559264,-64399846280,-10314797639,-502715493865,-1043694253240,-124955437526,-74734336143,-55173958138,-2565169586156,-4141495446196,-1065059517574,-66496967036,-141382078954,-840201095291,-86236719327,-334064779270,,-561382392457,-518365693496,-664771210880,-162968566270,-1893845492,-1376532442509,-2562699805,-294181050779,-3172597893,-23320368329,-58912421767,-13726223771,-4009679394,-164581126807,-299098751704,-24621207013,-223965513482,-3497627881199,-529936104324,-15593011878,-91741226619,-30271671085,-19024928824,-79438800506
2. Tài sản cố định thuê tài chính224,,,,,,,,,,,26238097737,,,,,1244694846,5538442223,6436761924,,,,,,,3329728584,,,,,,,,,,,38869600509,471551282138,,,27042509468,,,
- Nguyên giá225,,,,,,,,,,,41127114908,,,,,2663034106,6137445000,7077396710,,,,,,,4354460741,,,,,,,,,,,62602397838,664005397885,,,31962863670,,,
- Giá trị hao mòn lũy kế 226,,,,,,,,,,,-14889017171,,,,,-1418339260,-599002777,-640634786,,,,,,,-1024732157,,,,,,,,,,,-23732797329,-192454115747,,,-4920354202,,,
3. Tài sản cố định vô hình227,110148051757,656880000,4166680,,128143644,19916261,,4264881901,74087866034,3166050527,81574664547,2031497980,1755971381,1146539915,97047944,101513336151,86700892376,2839275739282,,17130038179,,365665809,12723182723,2925999983,2909750026,,,,23245635883,,7829164000,1500400000,6429741168,36176975644,12073384705,32842461206,,56823933740,524000551,6847467653,40099184028,38510204726,259939442
- Nguyên giá228,139789025363,1285200000,984913300,,269996000,4230060000,,4851995501,234946762779,3520016989,117663238716,3381210391,6393560256,2104000000,9265371253,149274612568,90029136445,3950585014606,,53507223798,2228444170,1592515809,17950000000,6160000000,3390000000,,,,24974193142,,8164999000,1500400000,9621110018,48689386013,14251700814,41830908350,,76110993392,1514620235,8814433373,40154825028,38978285186,739172500
- Giá trị hao mòn lũy kế 229,-29640973606,-628320000,-980746620,,-141852356,-4210143739,,-587113600,-160858896745,-353966462,-36088574169,-1349712411,-4637588875,-957460085,-9168323309,-47761276417,-3328244069,-1111309275324,,-36377185619,-2228444170,-1226850000,-5226817277,-3234000017,-480249974,,,,-1728557259,,-335835000,,-3191368850,-12512410369,-2178316109,-8988447144,,-19287059652,-990619684,-1966965720,-55641000,-468080460,-479233058
III. Bất động sản đầu tư230,,6618620998,,,26354294715,,,52967671766,176588698677,,,,,,,330672171792,,,,1222723198930,,,39771457292,,,,,91829209997,343163809029,,,,,,,100881320109,109001808000,,,,10573629895,,
- Nguyên giá231,,7636870381,,,36430936788,,,52967671766,191651563604,,,,,,,368287669263,,,,1763395441689,,,69146276979,,,,,111384583921,650650596850,,,,,,,179693476502,109001808000,,,52826363,10573629895,,
- Giá trị hao mòn lũy kế232,,-1018249383,,,-10076642073,,,,-15062864927,,,,,,,-37615497471,,,,-540672242759,,,-29374819687,,,,,-19555373924,-307486787821,,,,,,,-78812156393,,,,-52826363,,,
IV. Tài sản dở dang dài hạn240,6930825988,1349910662,1024645455,544435000,,36860189825,370291592,72813413505,3705885116,,42315623946,27303197631,3115265154,11628751493,104977500,114539975347,37707555806,951253746682,,251630121242,,43678565113,976538005142,9462538343,36502875487,,,,17632255966,,,,347753115,895865756597,,4452987885,1083475270748,233459463621,,482500000,1258972503,15554186363,167920234427
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn241",,1349910662,,,,,,,,,,,,,,,,,,,,,127428201236,,,,,,,,,,,,,,,,,,,,166804955281
