Mã CK,KIP,KKC,KMR,KMT,KOS,KPF,KSB,KSD,KSF,KSH,KSQ,KST,KSV,KTC,KTL,KTS,KVC,KWA,L10,L12,L14,L18,L35,L40,L43,L45,L61,L62,L63,LAF,LAI,LAS,LAW,LBE,LBM,LCD,LCG,LCM,LDG,LDP,LDW,LG9,LGC,LGL
I. Tiền và các khoản tương đương tiền110,4739061543,822590706,19043041946,10275322494,41750550309,103961821,15826811638,15012788241,386043130794,12038307,561547342,44713438322,419450427902,42330752038,20438468675,1318106444,528012051,12099151648,327734379689,14114141364,99711911571,340646625779,3706398703,93680046443,449064794,1674248962,421945099,10749886546,14970749752,8917975143,5149166652,21620022703,5409452221,1794564217,59366160260,3815923335,359580486996,217284998,915577379,11451460827,38574107095,635952657,305454143139,5677043366
1. Tiền111,2739061543,822590706,19043041946,10275322494,41750550309,103961821,15826811638,15012788241,381043130794,12038307,561547342,14896878380,351363360292,42070752038,20438468675,1318106444,528012051,7949766055,327734379689,14114141364,43711911571,326300625779,3706398703,33674830170,449064794,1674248962,421945099,10749886546,14970749752,8917975143,2149166652,21620022703,5055494883,1794564217,44366160260,3815923335,265060486996,217284998,915577379,4451460827,38574107095,635952657,170031940127,5677043366
2. Các khoản tương đương tiền112,2000000000,,,,,,,,5000000000,,,29816559942,68087067610,260000000,,,,4149385593,,,56000000000,14346000000,,60005216273,,,,,,,3000000000,,353957338,,15000000000,,94520000000,,,7000000000,,,135422203012,
II. Đầu tư tài chính ngắn hạn120,6978941294,,,8346951202,22663230039,,8360000000,21207819133,2153208768193,,,,47080657534,56711262630,462500000,18000000000,,,44299470000,3064038356,117617780000,48273005346,311600000,,,,,,3031000000,57300202168,,815000000000,888123138,5137613668,,,10963391109,,,4692324000,13839258639,,624142948403,1425325
1. Chứng khoán kinh doanh121,,,,10000000000,,,,,1669563123810,,,,,,462500000,,,,,,69699658570,,,,,,,,,1050202168,,,,5363408852,,,,,,8132580000,,,,1425325
2. Dự phòng giảm giá chứng khoán kinh doanh122,,,,-3700000000,,,,,,,,,,,,,,,,,-18481878570,,,,,,,,,-1050000000,,,,-225795184,,,,,,-5440256000,,,,
3. Đầu tư nắm giữ đến ngày đáo hạn123,6978941294,,,2046951202,22663230039,,8360000000,21207819133,483645644383,,,,47080657534,56711262630,,18000000000,,,44299470000,3064038356,66400000000,48273005346,311600000,,,,,,3031000000,57300000000,,815000000000,888123138,,,,10963391109,,,2000000000,13839258639,,624142948403,
III. Các khoản phải thu ngắn hạn130,31650507764,59977030133,162966461787,658025947854,702406388621,50017319038,1945371437623,41386500188,9322885312942,525508462358,9651310642,153758346761,1123554133517,170049759168,169782363078,109579290989,77287919515,26253959554,417353046915,146369028431,83731405174,1445890890216,98796880304,58179164469,173711335664,166282027264,179058088342,136786047549,205146282206,52438615605,66498270332,95247805687,13088413825,9088362923,106039402074,58605976446,2120334636642,57204545572,2297748827865,89103640638,29838009793,269688330554,992482022522,275365156208
1. Phải thu ngắn hạn của khách hàng131,30061685905,15135230734,57182765325,651265865633,248878673061,,168658607431,37522487434,279655008067,58532578125,,118496783326,1019061436334,120590055261,168081026107,82519510250,77246988843,25751080076,379278561226,148518634615,32959687292,1159269803399,83500037770,41736837139,159391590833,90462749749,191238424123,90632694575,212296723362,37708381750,63067872738,117967224067,10557167157,1995467354,77662113321,57673141014,1587779483361,18502713000,463298018840,35456284741,5619374159,129833015530,34166256902,264970532489
2. Trả trước cho người bán ngắn hạn132,5999760920,1626061000,106885860573,18914760656,324282813348,,454928714943,5004088716,2711334683001,27083949000,1233730593,558980183,73166477380,39358734154,7690260638,26277383965,,,51729804746,2688508137,5541938636,362072311070,150953690,15187330915,14013486517,6420064174,1571873264,24757650426,3762169823,13991084061,74000000,2310443728,1442231823,6998847850,23723851259,697706111,389040799745,799964407,420129956030,51826302557,605216406,94775614676,30230098994,8102024060
3. Phải thu nội bộ ngắn hạn133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. Phải thu về cho vay ngắn hạn135,,43985000000,,,3849000000,206855000000,241461089890,,3821863783328,,,,,,,3140000000,,,,,,14024131112,,,,,,,,5000000000,,,,,,,35302418391,,,8000333300,,,592825170466,63303548211
6. Phải thu ngắn hạn khác136,328442872,518155315,423164402,6347285406,125395902212,166924473830,1162128964743,59924038,2518318956133,539633689138,8417580049,35175647698,39707567206,26005080230,2805000845,1290340447,40930672,502879478,8894178089,16626028173,46403140289,98267861979,26034645142,2197350467,3407207195,69399213341,32084560961,71898141163,17218624129,909559294,3707319275,471927190,1147481668,94047719,31800055019,3893467743,358493556207,37901868165,1885880560880,2359994427,27641994229,56213931106,449223327608,18505610487
7. Dự phòng phải thu ngắn hạn khó đòi137,-4739381933,-1287416916,-1525328513,-18501963841,,-323762154792,-81805939384,-1200000000,-8287117587,-99741753905,,-473064446,-8381347403,-15980957296,-8793924512,-3647943673,,,-22549497146,-21464142494,-1173361043,-187743217344,-10888756298,-942354052,-3100948881,,-45836770006,-50502438615,-28131235108,-5176968785,-350921681,-25501789298,-58466823,,-27146617525,-3658338422,-250281621062,,-471559707885,-8539274387,-4028575001,-11134230758,-113962831448,-79597586908
8. Tài sản thiếu chờ xử lý139,,,,,,,,,,,,,,76846819,,,,,,,,,,,,,,,,6559285,,,,,,,,,,,,,,81027869
IV. Hàng tồn kho140,155445441177,12066971706,470613917627,41308012954,2546906501180,,21466981472,6831223095,865694841782,,242857143,10440765267,2867631957445,625626192735,151280113354,150722239965,283085711398,6144763260,408747738465,112799155078,200728869366,2633025711327,69976279209,24115142050,167356481538,239364971989,441687134265,144056003174,126556550860,131914789892,914514852569,1335844035666,15701773864,19795015313,104708821718,39317114100,2055564927611,322350000,908437795758,48962000419,7636588074,93508519571,9498552800,385604016413
1. Hàng tồn kho141,156886973184,12066971706,470613917627,41418906866,2546906501180,,21466981472,6831223095,868191803255,,242857143,18010931404,2881933084164,625626192735,151280113354,152495492531,287855235487,6144763260,408747738465,112799155078,200728869366,2638636313731,69976279209,24115142050,167356481538,239364971989,441687134265,155721624004,126576452825,131914789892,914514852569,1335844035666,18743360249,20738264109,106259626587,39317114100,2055564927611,322350000,908437795758,48962000419,11108353507,93508519571,9498552800,386894726854
2. Dự phòng giảm giá hàng tồn kho 149,-1441532007,,,-110893912,,,,,-2496961473,,,-7570166137,-14301126719,,,-1773252566,-4769524089,,,,,-5610602404,,,,,,-11665620830,-19901965,,,,-3041586385,-943248796,-1550804869,,,,,,-3471765433,,,-1290710441
V. Tài sản ngắn hạn khác150,784100412,1309052377,4011875707,597753186,11740726232,41342355,22549396204,523863926,697444104728,119433951,26351737533,91835242,111972721853,18653025479,21170374413,65840125,696972143,29094119,8550572710,1759614966,81759831,71177648881,54000000,,4505093653,24000000,,11112208,9114345822,11810910400,2486677070,3598324298,2732179382,590470176,3135945499,4388988,60762845073,1660090437,206213036187,2523406938,,2381485975,11216402776,7345511301
1. Chi phí trả trước ngắn hạn151,784100412,,633359471,98130149,2724556078,,21836475081,12030872,615660304422,,1120304045,73645853,79859895753,2396091728,5547571878,65840125,64732135,15444874,,,41850631,1058646664,54000000,,,,,11112208,2172372546,1307447537,1462000000,3568358903,,375925139,261514558,,33537157,,117878759429,2075828721,,2381485975,548002803,15158330
2. Thuế GTGT còn được khấu trừ152,,,3378516236,484552170,6330721357,40517482,646640213,511833054,62704240128,119433951,25231433488,18189389,29963543012,13972036403,14573226276,,632240008,,8548591892,,39909200,70119002217,,,4505093653,,,,6941973276,10503462863,1024677070,,2725651382,214545037,2752439504,4388988,57848934766,1660090437,84152282168,,,,8721324709,6640509677
3. Thuế và các khoản khác phải thu của nhà nước153,,1309052377,,15070867,2685448797,824873,66280910,,19079560178,,,,2149283088,2284897348,1049576259,,,13649245,1980818,1759614966,,,,,,24000000,,,,,,29965395,6528000,,121991437,,2880373150,,4181994590,447578217,,,1947075264,689843294
4. Giao dịch mua bán lại trái phiếu Chính phủ (TS)154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. Tài sản ngắn hạn khác155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B. TÀI SẢN DÀI HẠN200,62229113606,4149745659,203938277417,74747372446,1525841719498,482116719628,2913738030059,37579552063,7133060641996,-29573099146,274158594656,8397621532,5044070479358,407769421154,504554855883,203387124221,194780904045,55870296000,172870489023,51426922424,121136364438,524957409265,8544535188,8208641264,9612273655,90167401994,34312282970,60174232264,256431706948,103638066189,337001369721,371438988753,304458703643,5290241615,540702290772,20703312436,1412659584797,110914384286,2743894129554,50424285919,1107938472950,64159783357,21520717677521,721559109604
I. Các khoản phải thu dài hạn210,239857121,,,82500000,40000000,,1067387085654,,1059064214021,,22601700000,,120487711437,,494850000,,,,,,906000000,32000000,,,,750000000,300000000,1170746044,3723502736,,,,,,3202601466,1391487039,73133989198,55300177000,1500973123864,162400000,,484395650,1470333097065,456738590250
1. Phải thu dài hạn của khách hàng211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Trả trước cho người bán dài hạn212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. Vốn kinh doanh ở các đơn vị trực thuộc213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. Phải thu nội bộ dài hạn214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. Phải thu về cho vay dài hạn215,,,,,,,,,19300000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55129000000,,,,,1194200000,
6. Phải thu dài hạn khác216,239857121,,,82500000,40000000,,1067387085654,,1039764214021,,22601700000,,120487711437,,494850000,,,,,,906000000,32000000,,,,750000000,300000000,1170746044,3723502736,,,,,,3202601466,1391487039,73133989198,171177000,1720256301779,162400000,,484395650,1469138897065,456738590250
7. Dự phòng phải thu dài hạn khó đòi219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-219283177915,,,,,
II. Tài sản cố định220,61713231444,3105869831,185785204249,48298576629,1062655318827,5488907,53933440767,33841409325,348167487643,,28337313,2990288306,4000595809936,278622265401,146907542729,179521565649,194780904045,54387866937,93268956492,51292400341,33244257230,342581351473,2193797229,8208641264,7955967654,6125786538,30299206891,54552977190,150050101774,83159542774,13403251662,329666900399,303154386760,4310674124,335083839226,18723820403,447185433687,1665175705,62368701,39773409103,436786389427,38928360176,15863940090936,987377159
