Mã CK,THG,THM,THN,THP,THS,THT,THU,THW,TID,TIE,TIG,TIP,TIS,TIX,TJC,TKA,TKU,TL4,TLD,TLG,TLH,TLI,TLP,TLT,TMB,TMC,TMG,TMP,TMS,TMT,TMW,TMX,TN1,TNA,TNB,TNC,TNG,TNH,TNI,TNP,TNS,TNT,TNV,TNW,TOP,TOS
I. Tiền và các khoản tương đương tiền110,298868464516,36178584126,45366481134,61956297904,5064537259,4279243584,24514481811,8400685103,536544589313,1021202315,287232418064,87130709626,177537847909,47437268487,2663741619,4471544738,323732814188,1777498317,24700237369,700074273053,102126933904,12030026251,1309974148970,73578629149,17767530131,47475568492,94613369527,107540697741,485654685668,283919204148,32755363270,30685236647,69585084462,8830785669,9822697210,15056562496,444562511913,55633228742,174304665627,2771176354,4221405547,137709560728,13469348268,19402037565,219582499,592765906403
1. Tiền111,122784137166,24778584126,2653134818,61956297904,5064537259,4279243584,5778481881,2400685103,279633871956,1021202315,86051811861,13930709626,177537847909,47437268487,2663741619,4471544738,118173814188,1777498317,24700237369,334874273053,23784592824,5030026251,646915148970,73578629149,17767530131,17475568492,54613369527,6260697741,419654685668,283919204148,30255363270,29685236647,69179465342,8730785669,9822697210,15056562496,250634962282,55633228742,7304665627,2771176354,4221405547,47709560728,13469348268,19402037565,219582499,489815906403
2. Các khoản tương đương tiền112,176084327350,11400000000,42713346316,,,,18735999930,6000000000,256910717357,,201180606203,73200000000,,,,,205559000000,,,365200000000,78342341080,7000000000,663059000000,,,30000000000,40000000000,101280000000,66000000000,,2500000000,1000000000,405619120,100000000,,,193927549631,,167000000000,,,90000000000,,,,102950000000
II. Đầu tư tài chính ngắn hạn120,54148597725,,,7364167388,14860001316,,994075905,55000000000,563306076601,57396767,247760899620,9300000000,8627790000,455032635550,121200000000,15000000000,,656702635,8785161191,360900000000,78935286448,8000000000,3298400000,5540000000,,745358144,,455000000000,716327686507,18310880446,,40000000000,901836025555,,,136100000000,260000000000,,9007169876,,,22400000,6500000000,,150000000,95478200663
1. Chứng khoán kinh doanh121,,,,2738174988,14860001316,,,,6616661800,1372624460,,,,8017244484,,,,,,,46706017750,,,,,851071996,,,228906429031,1073530,,,889510418450,,,,,,,,,37894500,,,150000000,
2. Dự phòng giảm giá chứng khoán kinh doanh122,,,,-374007600,,,,,,-1315227693,,,,-110795234,,,,,,,-5504386750,,,,,-105713852,,,-6664500,-484930,,,,,,,,,,,,-15494500,,,,
3. Đầu tư nắm giữ đến ngày đáo hạn123,54148597725,,,5000000000,,,994075905,55000000000,556689414801,,247760899620,9300000000,8627790000,447126186300,121200000000,15000000000,,656702635,8785161191,360900000000,37733655448,8000000000,3298400000,5540000000,,,,455000000000,487427921976,18310291846,,40000000000,12325607105,,,136100000000,260000000000,,9007169876,,,,6500000000,,,95478200663
III. Các khoản phải thu ngắn hạn130,319793954030,49249604744,27537099565,354311834406,27918351049,224519965144,123615422012,32059473007,3589887007733,33014354008,1027255145603,423841851411,662795432035,27146981346,2156399983,40834945165,72908255946,57216047033,224570537374,649050923753,594142013566,6502761427,1916513887891,18487382673,1031280515944,77786698850,8764130980,379061800107,632570842138,279429338600,54181257195,60012576121,887601675572,546530002680,197178698737,10808750998,740189454587,220548762758,219481406473,21081909634,13675750532,252306631277,14685523222,32990049378,3487331662,1672029995955
1. Phải thu ngắn hạn của khách hàng131,267138637206,1614660210,27680797147,328623114839,17481860439,216542265358,100067852309,28567570458,2550934547283,32469502011,536696230981,83288779789,911859637666,18066278460,1490088969,47714704333,68498086573,53953084208,144747726019,612821383076,726969991810,9362968930,1723383649096,29994484127,1012904834366,49215751171,5232017519,353036356857,314215336292,80290525392,30355181191,31016875617,409604504308,506294812368,196014555975,10053059164,690550073777,14236052402,226079208501,5645285273,4897703823,205332184791,20500227225,26968652625,,1263561795992
2. Trả trước cho người bán ngắn hạn132,17510505127,7406411900,582952000,5414969065,8009410823,7528980031,1413114720,170000000,762790423176,67657754063,73513933708,983946061,4608833686,1152875654,143275317,707220000,1009680818,47803029061,43825140521,14624171905,36475285964,37800000,16693258448,7160310206,7096894247,497843560,1222124699,511484963,14907961336,81803826717,25419967600,1850630384,4751533600,794905550,819523267,821481570,2842552033,204225246356,2017554719,15826824950,3276079788,13915472866,2033150049,3481508959,29000001,35996833197
