Mã CK,API,APL,APP,APT,ARM,ASG,ASM,ASP,AST,ATA,ATB,ATG,ATS,AVC,AVG,BAF,BAL,BAX,BBC,BBH,BBM,BBS,BBT,BCA,BCB,BCC,BCE,BCF,BCG,BCM,BCP,BCR,BCV,BDB,BDG,BDT,BDW,BED,BEL,BFC,BGE,BGW,BHA,BHC,BHG
I. Tiền và các khoản tương đương tiền110,119293475919,3771499947,4331669797,32749870027,26111721651,275925813537,2070302439363,189235485622,134540302448,15765007,2222625929,415493484,962442410,42094234813,25416539067,148911935224,5371392847,10096333730,673007696093,7225732719,5052469618,2503093254,35014114420,11912626013,327266766,150704730540,80831783794,93488227698,722226654595,2205138245025,7276894272,14594624147,5626978213,640979395,48862200008,11976412984,35790143562,3899327136,2527108768,626550473599,221563900097,56679997901,122043769533,48405122,7127848698
1. Tiền111,34293475919,3771499947,4331669797,32749870027,26111721651,149476813815,899822444310,129235485622,107662315271,15765007,2222625929,415493484,962442410,12094234813,25416539067,146361935224,2371392847,1096333730,385807242394,1225732719,1052469618,2503093254,31014114420,11912626013,327266766,150704730540,79831783794,24958227698,673585070634,2073038245025,6773062611,14594624147,5626978213,640979395,33862200008,11976412984,5290143562,3899327136,2527108768,195462117599,183549150657,5075531930,11543769533,48405122,7127848698
2. Các khoản tương đương tiền112,85000000000,,,,,126448999722,1170479995053,60000000000,26877987177,,,,,30000000000,,2550000000,3000000000,9000000000,287200453699,6000000000,4000000000,,4000000000,,,,1000000000,68530000000,48641583961,132100000000,503831661,,,,15000000000,,30500000000,,,431088356000,38014749440,51604465971,110500000000,,
II. Đầu tư tài chính ngắn hạn120,225584935971,,,18000000000,1750000000,917087577133,2064880437306,20200000000,297184838060,,,,,15000000000,7761625000,290692994520,9700000000,211400000000,177242566316,10500000000,10000000000,,,142766953487,,,5000000000,74920000000,619491294170,299912603095,,43269636015,,,265402054405,53705000000,,11500000000,52400000000,10500000000,38980002315,,,,
1. Chứng khoán kinh doanh121,6764115000,,,,,552203300732,6230107978,,,,,,,,7761625000,,,,4057811954,,,,,9766953487,,,,,5011655840,,,4560000000,,,,,,,,,,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh122,-5054591307,,,,,-4380961250,-754621703,,,,,,,,,,,,-951476829,,,,,,,,,,-456000000,,,-456000000,,,,,,,,,,,,,
3. Đầu tư nắm giữ đến ngày đáo hạn123,223875412278,,,18000000000,1750000000,369265237651,2059404951031,20200000000,297184838060,,,,,15000000000,,290692994520,9700000000,211400000000,174136231191,10500000000,10000000000,,,133000000000,,,5000000000,74920000000,614935638330,299912603095,,39165636015,,,265402054405,53705000000,,11500000000,52400000000,10500000000,38980002315,,,,
III. Các khoản phải thu ngắn hạn130,432911250520,71325962956,16846905617,19063633813,113224837179,518451172874,5031730928926,512293093307,62717781624,4486971960,90797265949,4239552023,4525017958,242766750863,123535907476,444109706085,1964176738,19392967462,153067810933,39819816064,200247496,174725579150,129128290686,573394328987,15657375904,61117412886,423783114011,108333241605,16548528646839,8063773609382,18887057231,1895014567179,2167495230,2778752104,283259843690,60495904743,14790591236,4323530770,3382140782,463775594905,7847337850355,21013640079,33851857294,310341719,49879786245
1. Phải thu ngắn hạn của khách hàng131,117919403567,69939075542,22545824977,86461869130,43641970424,370414975213,2183060421709,524959435850,30673923627,7709449279,29516319245,418330015,4460018000,247496835458,122815356916,188713231186,1595446216,2006515775,124125182038,41823682064,137847496,192724114055,37611340626,523600201616,252573048,50051128288,388867811578,64813821824,1776129800444,5351567655603,18543199881,145949712728,2067161508,2786800397,264878083754,30615737938,12480697764,3999051350,6507246863,499278076972,697453557178,1977019211,28314773938,24939417508,22964933857
2. Trả trước cho người bán ngắn hạn132,13043530636,1385545699,650016494,5650000000,11801751101,16462799631,2595626008791,11831984414,4286670769,469399343,19855739689,364868615,2739972300,1510778016,170000000,197401601586,2934000,404306360,1245201610,50000000,32400000,360323608,3644110472,118611895902,932000000,14025028571,2506699576,41493813724,5275110370049,860444112753,640352119,653811699296,1930,1984320,2854723972,31012734608,892918000,277415733,358297165,6432901104,1549551801497,18726962033,3011834892,475163370,4841802000
3. Phải thu nội bộ ngắn hạn133,,,,,,,,20925000000,,,41001000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. Phải thu về cho vay ngắn hạn135,103866500000,,,,,61621750000,,,1500000000,,25000000000,,,,,75000000,,,15000000000,,,,85434885472,,,,,,702546466902,4500000000,,120000000000,,,,,,,,,509202506902,,,,
6. Phải thu ngắn hạn khác136,202796722078,1341715,450531225,38062373990,58533660274,102020861271,320946430834,24265038419,26440163035,4043653997,24003150000,3456353393,10999958,595708987,550550560,62184888730,365796522,16982145327,32432806654,,30000000,,3872398239,14678786656,14472802856,8003245714,34834960410,4644818174,8850787485116,1976177099393,525150289,976653155155,232022792,37342299,15770829138,3260235746,1787502683,142060065,1502411877,14620732585,5091129984778,511905835,2525248464,4275841197,25730194823
7. Dự phòng phải thu ngắn hạn khó đòi137,-4714905761,,-6808323789,-111110609307,-752544620,-32069213241,-67901932408,-69699715604,-182975807,-7735530659,-48578942985,,-2685972300,-6836571598,,-4266008550,,,-19735379369,-2053866000,,-18358858513,-1434444123,-83496555187,,-10961989687,-2426357553,-2619212117,-56048625769,-128915258367,-850086614,-1400000000,-131691000,-47374912,-243793174,-4392803549,-370527211,-94996378,-4985815123,-56556115756,,-202247000,,-29380080356,-3657144435
8. Tài sản thiếu chờ xử lý139,,,8856710,,,,,11350228,,,,,,,,993133,,,,,,,,,,,,,3150097,,28441556,,,,,,,,,,,,,,
