Mã CK,POW,PPC,PPE,PPH,PPP,PPS,PPT,PPY,PQN,PRC,PRO,PRT,PSB,PSC,PSD,PSE,PSH,PSL,PSN,PSP,PSW,PTB,PTC,PTD,PTE,PTG,PTH,PTL,PTO,PTP,PTS,PTT,PTV,PTX,PV2,PVA,PVB,PVC,PVD,PVE,PVG,PVH,PVI,PVL,PVM
I. Tiền và các khoản tương đương tiền110,11564348565017,25465520493,3584764211,123279779901,8876231902,33909703026,52351155988,4284486018,150258928895,4260018339,929200612,354991394148,40812328907,6251593524,104184219922,18627788865,5226032420,7915447820,30893182479,10322347648,95399926105,470850849148,3065942977,25121030506,6357730062,121108811298,1152528774,15445880683,2625628219,11528223734,3809921091,12347202988,27624639641,11615270760,55885496160,643440905,11703240641,420927811897,2203268278194,12173864924,116629249711,2283939796,388792764696,2998553180,21075174063
1. Tiền111,445882067932,25465520493,2680896185,72679779901,4876231902,18539703026,52351155988,4284486018,150258928895,4260018339,929200612,134991394148,40812328907,6251593524,104184219922,18627788865,5226032420,7915447820,29463019979,8142347648,15399926105,287824071647,1365942977,21821030506,6357730062,25358811298,1152528774,11940772835,2625628219,11528223734,3809921091,12347202988,12941480776,11615270760,25995496160,643440905,11703240641,215858325986,1895198629149,12173864924,51629249711,2283939796,316238124190,2998553180,21075174063
2. Các khoản tương đương tiền112,11118466497085,,903868026,50600000000,4000000000,15370000000,,,,,,220000000000,,,,,,,1430162500,2180000000,80000000000,183026777501,1700000000,3300000000,,95750000000,,3505107848,,,,,14683158865,,29890000000,,,205069485911,308069649045,,65000000000,,72554640506,,
II. Đầu tư tài chính ngắn hạn120,4111871588588,,7303107526,546189593362,31108072981,32542986361,16200000000,,6400000000,,17800000000,622368825260,307000000000,,1271400000000,,10000000,41650000000,34906152000,21000000000,,26071482908,219910082509,,,141500000000,,,597375123,86438807834,,151969645044,72556733854,,56437502313,,210000000000,203430000000,770247363138,911107534,508000000000,27000000000,9959113535060,363061000,112095707177
1. Chứng khoán kinh doanh121,,,2316709328,,,,,,,,,,,,,,,,,,,27485125452,226715584281,,,,,,,,,,,,17889916627,,,,,,,,283029277324,715707125,
2. Dự phòng giảm giá chứng khoán kinh doanh122,,,-13601802,,,,,,,,,,,,,,,,,,,-1413642544,-6805501772,,,,,,,,,,,,-4002414314,,,,,,,,-37085880000,-352646125,
3. Đầu tư nắm giữ đến ngày đáo hạn123,4111871588588,,5000000000,546189593362,31108072981,32542986361,16200000000,,6400000000,,17800000000,622368825260,307000000000,,1271400000000,,10000000,41650000000,34906152000,21000000000,,,,,,141500000000,,,597375123,86438807834,,151969645044,72556733854,,42550000000,,210000000000,203430000000,770247363138,911107534,508000000000,27000000000,9713170137736,,112095707177
III. Các khoản phải thu ngắn hạn130,11873163177188,1837988295371,620348251,489715825856,13936937385,162630648834,88163882854,89099915844,377554162612,20006933947,282064705,442155349891,96308078909,18589480410,723054734073,87169661927,1273547610285,2651778951,408695800326,34679136547,115023551109,1221413666136,7566632938,69863358325,34116894927,64083781540,11044508652,440416446143,26143050819,14814906298,16047168513,22517450213,155239737212,13915329470,3774047052,376140859717,78386998011,843659719994,3469317637527,175457043796,395710162796,84867282908,15019145938281,24266240617,744277933272
1. Phải thu ngắn hạn của khách hàng131,11120910645480,1702305233816,,437727287214,11210699585,151590077253,74997297126,88850381770,342271729468,21360411839,364267228,37821872248,59297916430,17592910361,815241609205,86491193236,937499135364,157292835,340587749813,29453264325,114560288161,887789624296,639514498,84848711117,12563061658,36717805077,9978714815,232100930871,19714180314,12544467711,14509854001,18731464066,144753651570,9494004393,21099000000,133306192252,62106200087,786053371707,2723586217779,232155532581,455186134833,38529227444,15010359058562,2877094377,381300553451
2. Trả trước cho người bán ngắn hạn132,296909444148,1030993377,,21623063707,1959182981,7822082000,263834838,1002809655,21665611900,302106023,347420000,12792967683,8674631861,164719500,2894052077,662438691,151143114928,175101838,2835092153,15130923,262865689,121796069965,170444724,6707464896,13015091837,,487679949,41434848215,876666710,941000758,154980000,1129399225,21527343835,911374248,792436364,38433004852,17966353448,67122677283,125602867674,17223613818,981451422,3204664240,7152198964,23129219871,84916208971
3. Phải thu nội bộ ngắn hạn133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10618384771,,,,,,,,,
5. Phải thu về cho vay ngắn hạn135,,,620348251,,,,,,,,,107347102061,,,,,12156543323,,,,,100640000000,1400000000,,,,,10326510000,,,,,,,,26954619116,,,,,,,,10792220000,221469807685
6. Phải thu ngắn hạn khác136,950858469914,137673372698,,54837551162,883915393,3218489581,14240316599,510891139,17586737178,784955031,978982477,352266064814,41867449348,831850549,66834704323,16030000,201219267253,2671675713,93138105141,10668583315,200397259,177883362286,5865350828,1247198903,13394159221,27365976463,578113888,312510396760,5957078494,3594977542,1467402301,3528234167,2699792900,3776010953,43454809678,199968367083,3777984370,32131664966,691251654969,65900475798,12253597985,43133391224,220156522417,53654161524,236869494285
7. Dự phòng phải thu ngắn hạn khó đòi137,-495515382354,-3021304520,,-24486403454,-116860574,,-1337565709,-1264166720,-3969915934,-2440538946,-1408605000,-68072656915,-13531918730,,-161915631532,,-39233427654,-352291435,-27865146781,-5457842016,,-66695390411,-508677112,-22940016591,-5022516106,,,-155956239703,-404874699,-2265539713,-85067789,-1543465427,-13741051093,-266060124,-61572198990,-33139708357,-5463539894,-41647993962,-71123102895,-139822578401,-72711021444,,-218521841662,-66216455155,-180278131120
8. Tài sản thiếu chờ xử lý139,,,,14327227,,,,,,,,,,,,,10762977071,,,,,,,,167098317,,,,,,,671818182,,,,,,,,,,,,30000000,
IV. Hàng tồn kho140,1795106165854,682317977951,,601007721345,36898700847,18162796131,165677713073,78053976610,165639056594,1779157860,1973766778,497624435969,39695892095,5376661496,525687570967,116848411673,4681913235357,34773146487,27702990496,2599408431,22890441729,1454946134665,,35371344056,19524663031,4095403133,8539201794,208984106990,2578352949,10051260945,23627191268,12380819398,3903595495,17226206072,1218440000,57137585503,100686374908,416008652940,1215947183667,639616258321,20789704197,68247207050,3008969635,23042862339,78084125290
1. Hàng tồn kho141,1795106165854,747633233232,,607962909452,37477995497,18162796131,165677713073,78053976610,165639056594,1779157860,1973766778,536158286568,39695892095,5376661496,535245387406,116848411673,4681913235357,34773146487,27702990496,2599408431,23536154321,1454946134665,,35371344056,19524663031,4095403133,8539201794,209617655768,3327435669,11513144285,23627191268,12380819398,3903595495,17226206072,26168166326,57137585503,116317476063,470752456376,1351772262165,797579571644,20789704197,68247207050,3008969635,23042862339,78789190790
2. Dự phòng giảm giá hàng tồn kho 149,,-65315255281,,-6955188107,-579294650,,,,,,,-38533850599,,,-9557816439,,,,,,-645712592,,,,,,,-633548778,-749082720,-1461883340,,,,,-24949726326,,-15631101155,-54743803436,-135825078498,-157963313323,,,,,-705065500
V. Tài sản ngắn hạn khác150,636069223697,184720910611,18424694,6393166058,407712781,23379251,6683111101,285816906,10909983928,424168665,433357287,40496960842,2286393277,3907332375,100610514364,,3654132766,,589765718,6221368730,144227407,140439263649,305685178,26267831765,614233982,922166984,1565573791,30417416105,124809796,597964092,1289049952,4319291404,494034654,3629857553,562961426,125587224,13747274397,16866534918,123600892641,3528558899,110281709346,1225805325,817818905913,20481215614,5940816905
1. Chi phí trả trước ngắn hạn151,110171026406,1023477990,7700000,1467153797,387273318,23379251,301114427,177231765,2490029421,312892177,,5756822415,311264398,3812236080,1360489797,,221581390,,589765718,5165344770,144227407,26545767383,56907648,46656000,545768121,370465205,1565573791,290795974,,88103000,318948957,1928618308,493154104,3330915832,108022546,62937716,776255495,2856160221,16468121427,391622241,18290422088,38347957,812786418685,19700769,3135787142
2. Thuế GTGT còn được khấu trừ152,507796506263,160178312895,7930350,4718243246,7611281,,6381996674,108585141,8419954507,111276488,356736901,16041801337,1649271810,84498627,99150024567,,3324674677,,,,,113096007888,92044307,26221175765,68465861,551701779,,15917530829,,419379166,,2390673096,,298941721,173872941,62649508,,13084321733,102728668551,3054581843,91948793541,1126934659,244848370,13773381577,2174038806
