Mã CK,VCX,VDB,VDG,VDL,VDN,VDP,VDT,VE1,VE2,VE3,VE4,VE8,VE9,VEA,VEC,VEF,VES,VET,VFC,VFG,VFR,VGC,VGG,VGI,VGL,VGP,VGR,VGS,VGT,VGV,VHC,VHD,VHE,VHF,VHG,VHH,VHL,VHM,VIC,VID,VIE,VIF,VIH,VIM,VIN,VIP
I. Tiền và các khoản tương đương tiền110,302203738,1594487840,6305987680,4664321560,42108620611,123830952476,4193031219,10802256944,3073573220,23883493806,7807892715,5015906541,9110310,411763339601,101678180741,1209509000000,2310452840,6060373607,53515679711,800792811413,52799356319,2860122610379,802247263959,13376218513228,34666626223,106786723702,285292504619,135720622428,1004605536998,80185604902,570012125911,1306623695,686704641,9966980910,17575115,472019020,68167670442,28780123000000,42582366000000,59472354548,1957685943,163097129827,13427821556,2734431853,14610115581,65393616288
1. Tiền111,302203738,1594487840,6305987680,4664321560,42108620611,123830952476,4193031219,8110282429,1473573220,18428493806,2872661463,5015906541,9110310,262076518638,34118348682,1209509000000,2310452840,6060373607,53515679711,800792811413,17590534401,942600718030,444211897668,12468854037736,14666626223,97786723702,145672504619,20720622428,334076336998,42685604902,568912125911,1306623695,686704641,9966980910,17575115,472019020,20167670442,21633816000000,32332352000000,59472354548,1957685943,111849856525,12827821556,2734431853,6610115581,13893616288
2. Các khoản tương đương tiền112,,,,,,,,2691974515,1600000000,5455000000,4935231252,,,149686820963,67559832059,,,,,,35208821918,1917521892349,358035366291,907364475492,20000000000,9000000000,139620000000,115000000000,670529200000,37500000000,1100000000,,,,,,48000000000,7146307000000,10250014000000,,,51247273302,600000000,,8000000000,51500000000
II. Đầu tư tài chính ngắn hạn120,,,,70346165292,,192789930016,,9986660530,3150000000,1200000000,509428620,,,13098359931765,126507301286,,,,362811486722,83314956000,2000000000,433382669069,9558241096,23487420000000,,13700000000,282960000000,,2470361179586,265625290848,2340406525686,292000000,,176600000000,73260000,,30089870171,5391872000000,8718884000000,59800259341,,2112925996194,4369010755,,51000000000,795000000000
1. Chứng khoán kinh doanh121,,,,,,,,20689255014,,,2224358606,,,,287396250,,,,,,,,,,,,,,,,161593749801,,,,350000000,,,3628250000000,3628250000000,,,,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh122,,,,,,,,-10702594484,,,-1714929986,,,,-85094964,,,,,,,,,,,,,,,,-41752806201,,,,-276740000,,,,,,,,,,,
3. Đầu tư nắm giữ đến ngày đáo hạn123,,,,70346165292,,192789930016,,,3150000000,1200000000,,,,13098359931765,126305000000,,,,362811486722,83314956000,2000000000,433382669069,9558241096,23487420000000,,13700000000,282960000000,,2470361179586,265625290848,2220565582086,292000000,,176600000000,,,30089870171,1763622000000,5090634000000,59800259341,,2112925996194,4369010755,,51000000000,795000000000
III. Các khoản phải thu ngắn hạn130,118911498518,346642773,74096098537,7264693230,157787145302,256058796626,8799565352,4951195367,18523755577,105939528724,36258931100,48206774733,4078706473,3831834101297,187800932934,66836733000000,17500000,87991618142,322284237708,368791738799,182881077577,1080575112080,1582606813925,7912322436754,31953075624,4629868131734,111925499738,643909000987,2605636273056,325619995194,2200504540314,1830409315805,84291656988,54905673242,12110907738,32904147140,41958352471,168405984000000,190046565000000,232709612770,29214968521,296303643233,20288524076,13262190767,118916184371,74388152643
1. Phải thu ngắn hạn của khách hàng131,53314806474,109055138,68431098541,6479415707,152209710661,231427021609,8614488750,6819772032,21023795891,63037444981,32369912712,27616053880,36116752624,924710726837,139118816565,2560000000,,72244645912,277737931233,365301709561,10595152094,918046480694,1464213006089,6295953035306,31679648723,4282905067017,92881484884,569888993480,2275337763396,246367388441,1851065385738,46475350491,9101330623,75143732008,7006938546,26968026261,15843475931,19307872000000,29080916000000,265061518752,12425094702,229292078447,39089549271,15422106982,67948331141,87222040343
2. Trả trước cho người bán ngắn hạn132,78817974592,,5469999996,236142364,7368775668,8677434115,87003298,421712482,6328600515,24935051305,1921788204,16543818357,441937760,199911879299,37879934634,3189916000000,17500000,3858123828,12365649360,5416006740,2446426118,187562919086,109061747581,433524484613,239659100,611245609,14171974167,38226804338,210121976970,16559883988,314252842657,225059159354,14390326365,7746421406,10196081755,1129864711,10013796471,23593399000000,40937213000000,18547397777,8872930499,39854527021,9530436224,640191052,39900076353,5266331699
3. Phải thu nội bộ ngắn hạn133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. Phải thu về cho vay ngắn hạn135,,,,,,,,387651540,163572000,,,,,,12100000000,,,,17521750000,,139450000000,450000000,8000000000,12761017707327,,,,,4542860000,,,1038658175145,,,,4028678200,,8429883000000,1478525000000,,,1000000,,,,
6. Phải thu ngắn hạn khác136,2591062134,237587635,195000000,549135159,1438941573,16901128108,98073304,1398237039,9186904925,19276209281,3454644042,5727636705,3880392815,3342143271731,39202311107,63644257000000,,11888848402,40887114055,16364154364,31120794776,274318526262,4984470584,5770101576060,33767801,388979263767,4872040687,60562829319,438691971804,74629336525,42152978245,520315748553,60800000000,6687937953,12680526071,4856236197,40803082362,117395914000000,119255260000000,1267493866,9728138792,112341126873,8222180193,546870679,13247441985,20762194847
7. Dự phòng phải thu ngắn hạn khó đòi137,-15910536320,,,,-3230282600,-946787206,,-4076177726,-18371527260,-1309176843,-1487413858,-1680734209,-36360376726,-645022225505,-40649843823,,,,-26228206940,-18290131866,-731295411,-299802813962,-3652410329,-17348274366552,,-42627444659,,-24769626150,-323937380285,-11936613760,-6966666326,-99117738,,-34672418125,-17772638634,-4107857148,-24702002293,-321084000000,-705349000000,-52166797625,-1811195472,-85944876969,-36553641612,-3346977946,-2179665108,-38862414246
8. Tài sản thiếu chờ xử lý139,98191638,,,,,,,,192409506,,,,,10090448935,149714451,,,,,,,,,,,,,,879081171,,,,,,,29198919,,,,,,759787861,,,,
IV. Hàng tồn kho140,73035928667,939248470971,23471023474,48494479410,118265771159,346482278908,10411739097,2272730253,12984575537,51320310805,7492768021,35212381429,6482068837,1250893782055,86450771143,22157332000000,,413974671010,12434726429,945932893417,92590183,4375950687848,1494576526720,2793581942837,58690480362,2390653,27123453714,546239593389,3217895959803,235984879993,2914883330804,1635432099535,208885308977,76464909574,,503994277,278674003344,54696048000000,114090183000000,283714324814,6054457449,980694085865,126960655739,17294727380,3829415046,80915864621
1. Hàng tồn kho141,73035928667,939248470971,23471023474,48494479410,122272682102,346482278908,10411739097,2272730253,12984575537,51390371667,7492768021,35212381429,19110275265,1783217465405,95192503514,22157332000000,,413974671010,12718172176,952249038773,92590183,4500170570634,1513806966784,3023914444893,58957889858,2390653,27123453714,546239593389,3290341262584,236005951483,3159305888179,1636315861190,208885308977,77754814562,6748630214,503994277,296200185884,54753923000000,127068459000000,283714324814,6089371742,1010205638211,132335493015,17364340893,3829415046,80915864621
2. Dự phòng giảm giá hàng tồn kho 149,,,,,-4006910943,,,,,-70060862,,,-12628206428,-532323683350,-8741732371,,,,-283445747,-6316145356,,-124219882786,-19230440064,-230332502056,-267409496,,,,-72445302781,-21071490,-244422557375,-883761655,,-1289904988,-6748630214,,-17526182540,-57875000000,-12978276000000,,-34914293,-29511552346,-5374837276,-69613513,,
V. Tài sản ngắn hạn khác150,971279922,12741077141,917905642,2152852628,13282074450,3058314767,50306475,25170245,33884275,1082537991,75477292,156965100,745858360,129021560864,6366105420,977934000000,,1529814017,7435847353,8099820578,1005472308,714235954810,188157782249,1111080669005,8025611644,6420817030,9570059821,1095956111,253069590985,5711123474,212641068276,13199514615,498198907,3967674898,280775453,1845987360,3482544506,28204901000000,41041913000000,5154887722,4208391388,21803218664,9541863393,194618024,1822837027,4197623835
1. Chi phí trả trước ngắn hạn151,275024963,254130068,75324125,1391438406,1399981525,2416360285,,,5526793,161149634,75477292,,,22246209212,4883856410,977934000000,,29650936,6635276973,2370555933,431541101,29729029806,1424351868,323295344939,875605286,3776249248,8221627109,85883588,33510806237,2618130827,15863032771,263337,302824367,171441254,,648626259,320685167,1076963000000,4592399000000,214467058,11120698,2001832916,,3000000,899668792,4197623835
2. Thuế GTGT còn được khấu trừ152,,12064914161,,,11868916939,495114470,50306475,25170245,6297019,728410512,,62221899,697070993,105406635534,793482819,,,,800570380,5729264645,33808913,654866284569,186145375961,714871134248,7150006358,,1348432712,1010072523,206720345742,1861877876,196778035505,7758810237,195374540,2627472063,247537837,1195980647,2885469523,1230545000000,10199557000000,4877916255,4147158706,16356859464,9464266218,,648647346,
3. Thuế và các khoản khác phải thu của nhà nước153,696254959,422032912,842581517,761414222,13175986,146840012,,,22060463,192977845,,94743201,48787367,1368716118,688766191,,,1500163081,,,540122294,29640640435,588054420,72914189818,,2644567782,,,11656762056,1231114771,,5440441041,,1168761581,33237616,1380454,276389816,53619000000,312596000000,62504409,50111984,3444526284,77597175,191618024,274520889,
4. Giao dịch mua bán lại trái phiếu Chính phủ (TS)154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. Tài sản ngắn hạn khác155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1181676950,,,,,,,,,25843774000000,25937361000000,,,,,,,
B. TÀI SẢN DÀI HẠN200,398302669831,182596711574,19485189079,43632460238,138718654960,203609067081,7802522849,1223000075,16289114102,9788327555,9610766164,4261968905,8018476086,8821302441007,237278082177,13925569000000,16988264250,322414338775,298410096374,288845371852,136383177229,15363151893952,1214903537296,14758089879704,22397028810,30528038687,475935997388,1007130621446,9714281621524,242573088226,3995732630546,679470417101,199748722133,36588383456,135452535273,13169020390,306560494171,278730432000000,440123992000000,480898552360,67635395917,1883635328191,175890221264,12175795071,406138825867,371333043962
I. Các khoản phải thu dài hạn210,752007661,,,,2460493000,417433359,,,,,243359144,,,11397282463,18351192740,11507070000000,,2656187232,30573256960,1999800226,421060520,278782895058,72759061103,140209484619,,,,187300000,48299560798,409822000,1548813275,148079621056,,866661458,,,5808396152,107670320000000,82564248000000,554325000,,1547087699,3257288800,2977340850,720000000,2566448948
1. Phải thu dài hạn của khách hàng211,,,,,,,,,,,,,,,,,,,26100000000,,,4266810286,,70506213552,,,,,,,,76621056,,,,,2142749698,,1631637000000,,,,,,,205000000
2. Trả trước cho người bán dài hạn212,,,,,,,,,,,,,,,18215447540,,,,,,,,,129452418,,,,,,,,,,129239458,,,,,,,,,,,,
3. Vốn kinh doanh ở các đơn vị trực thuộc213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. Phải thu nội bộ dài hạn214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. Phải thu về cho vay dài hạn215,,,,,,382433359,,,,,,,,,,11507070000000,,,,,,,,,,,,,2342860000,,,3000000000,,,,,,10896805000000,23359127000000,,,,,,,
6. Phải thu dài hạn khác216,752007661,,,,2460493000,35000000,,,,,243359144,,,11397282463,135745200,,,2656187232,4473256960,1999800226,421060520,274516084772,72759061103,69573818649,,,,187300000,152066625594,409822000,1548813275,145003000000,,737422000,,,3665646454,96773515000000,57573484000000,554325000,,1547087699,3257288800,2977340850,720000000,4728448948
7. Dự phòng phải thu dài hạn khó đòi219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-106109924796,,,,,,,,,,,,,,,,,-2367000000
II. Tài sản cố định220,292396454913,163262199200,17954368082,40207992325,118862437386,194716269641,7331743040,1177692034,6896740641,5958111659,8702797770,4224191893,1377526713,1422994933713,113677950123,,,80508316019,201843137886,250192646762,29519212171,6020629770983,597405853567,11489559260465,22397028810,8950512640,217278510443,107541566692,5553947899230,116072900243,3415114149837,35180915081,199237776659,2948189116,,11030060140,263275932407,14622184000000,182943333000000,50627228637,1080296947,218911435205,160999380295,7415947897,28448298447,330670974426
1. Tài sản cố định hữu hình221,290382298712,163259845259,5434368082,40207992325,110233083173,155537345506,7331743040,502692034,3771490641,5958111659,8702797770,2966714893,356617622,1346573523069,78943369438,,,80508316019,164296284444,196548152050,22229123957,5643555734279,596688846016,8135391719251,21776299635,8950512640,217256010438,93180505801,5306725844505,112297496534,2944000097264,24236558219,32477334028,2670419714,,11030060140,257001270300,13573081000000,145305970000000,45987679001,579320605,196758844909,61614423160,7318004007,18771039455,297009811868
- Nguyên giá222,1160001923248,584426628860,7050355273,131715692861,280828914813,413975690090,46725165854,5876455164,12485531971,17854444979,18322649055,24665867171,4970907745,5490377771469,237468485755,5523000000,111924900,551112041470,606254523966,543311568740,93787480166,13272070291384,2033372046830,38018781543746,142355118122,46877224299,1172457383407,476981794043,14183089852907,280697264086,5359639698567,37191829047,71905590814,24416548159,,50747868244,1679918772598,15982471000000,196866872000000,125017849343,3103207642,1074063009229,415670140758,68500560173,45529555099,1815155916117
- Giá trị hao mòn lũy kế 223,-869619624536,-421166783601,-1615987191,-91507700536,-170595831640,-258438344584,-39393422814,-5373763130,-8714041330,-11896333320,-9619851285,-21699152278,-4614290123,-4143804248400,-158525116317,-5523000000,-111924900,-470603725451,-441958239522,-346763416690,-71558356209,-7628514557105,-1436683200814,-29883389824495,-120578818487,-37926711659,-955201372969,-383801288242,-8876364008402,-168399767552,-2415639601303,-12955270828,-39428256786,-21746128445,,-39717808104,-1422917502298,-2409390000000,-51560902000000,-79030170342,-2523887037,-877304164320,-354055717598,-61182556166,-26758515644,-1518146104249
2. Tài sản cố định thuê tài chính224,,,,,198860000,,,,,,,,,,,,,,3878656059,,,216580018705,,,,,,,154704015687,,,,,,,,,51621000000,226253000000,,,,99384957135,,,
- Nguyên giá225,,,,,2982284000,,,,,,,,,,,,,,7764642171,,,335589133907,,,,,,,176072027534,,,,,,,,,54034000000,386311000000,,,,126362397398,,,
- Giá trị hao mòn lũy kế 226,,,,,-2783424000,,,,,,,,,,,,,,-3885986112,,,-119009115202,,,,,,,-21368011847,,,,,,,,,-2413000000,-160058000000,,,,-26977440263,,,
3. Tài sản cố định vô hình227,2014156201,2353941,12520000000,,8430494213,39178924135,,675000000,3125250000,,,1257477000,1020909091,76421410644,34734580685,,,,33668197383,53644494712,7290088214,160494017999,717007551,3354167541214,620729175,,22500005,14361060891,92518039038,3775403709,471114052573,10944356862,166760442631,277769402,,,6274662107,997482000000,37411110000000,4639549636,500976342,22152590296,,97943890,9677258992,33661162558
- Nguyên giá228,7464337763,30833333,12520000000,314162500,10138440980,44249014506,,705000000,3125250000,,,1287477000,1075909091,126143312285,46104084706,35000000,,222818390,58282170648,72471884048,7561097914,224529293460,14306436663,6152276994328,1044241687,,2032375000,20526167088,151254837986,17332948520,555595802285,15592024335,167055346648,5786890000,675311099,30000000,8454450375,1387968000000,61376309000000,8178611916,1133217517,53432999278,167800000,1581835000,10018978000,34795452920
- Giá trị hao mòn lũy kế 229,-5450181562,-28479392,,-314162500,-1707946767,-5070090371,,-30000000,,,,-30000000,-55000000,-49721901641,-11369504021,-35000000,,-222818390,-24613973265,-18827389336,-271009700,-64035275461,-13589429112,-2798109453114,-423512512,,-2009874995,-6165106197,-58736798948,-13557544811,-84481749712,-4647667473,-294904017,-5509120598,-675311099,-30000000,-2179788268,-390486000000,-23965199000000,-3539062280,-632241175,-31280408982,-167800000,-1483891110,-341719008,-1134290362
III. Bất động sản đầu tư230,2941867130,,,,,,,,,3486000000,,,,,9616450537,,16985146460,,,14101438213,,1914237254178,,,,,,,264931476421,,,10301087307,,4331279674,,,,16916463000000,13033418000000,18751415355,,172079882354,,,,
- Nguyên giá231,8372818697,,,,,,1513318687,,,3486000000,,,,,41120042125,,20799204468,,,27647980011,,13123170380338,,,,,,,366591995896,,,18833581928,,31169032576,,,,19137718000000,16005296000000,18751415355,,321457250996,,,,
- Giá trị hao mòn lũy kế232,-5430951567,,,,,,-1513318687,,,,,,,,-31503591588,,-3814058008,,,-13546541798,,-11208933126160,,,,,,,-101660519475,,,-8532494621,,-26837752902,,,,-2221255000000,-2971878000000,,,-149377368642,,,,
IV. Tài sản dở dang dài hạn240,1701625651,2467659287,,,9878434406,108975340,,,357132000,,,,1005000000,84264630728,18477720942,1152566000000,,22296652641,6337653632,,388500000,6093932875606,8185374629,1473203771415,,21574666288,,763660335488,400958692169,40615000,109478057239,,182862306,6512265424,,1615471552,477712088,81990475000000,113358029000000,42100000,66377027813,28117991936,,,938900000,1450080000
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn241",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000000000,,,,
