Mã CK,NAV,NAW,NBB,NBC,NBE,NBP,NBT,NBW,NCG,NCS,NCT,ND2,NDC,NDN,NDP,NDT,NDW,NDX,NED,NEM,NET,NFC,NHA,NHC,NHH,NHT,NJC,NKG,NLG,NLS,NNC,NNT,NO1,NOS,NQB,NQN,NQT,NRC,NS2,NSC,NSG,NSH,NSL,NSS,NST,NT2
I. Tiền và các khoản tương đương tiền110,17632706116,111185050301,33130364876,6621963053,14994013636,24953699806,78282679032,25119312413,114424543373,13483353480,134153298000,47926990575,122214981353,97365245552,10431853996,29525501514,82896342372,4602445954,23363676911,35355406059,346842018387,89566413589,21633945852,8307354735,191950270642,12291520588,33515279071,391783760846,5443293611458,44018097820,96678014272,71100355958,105537221329,7005186365,22277273484,110904167594,19257017676,470453855,94645054512,278670806878,672490352,7457742138,19739785648,2034483922,5877816683,56958238240
1. Tiền111,2632706116,94994431639,4550364876,6621963053,14994013636,14953699806,76282679032,20119312413,103424543373,13483353480,24153298000,47926990575,22214981353,9365245552,5431853996,29525501514,14773410865,3602445954,18863676911,35355406059,25942018387,20066413589,18633945852,1007354735,141391023267,12291520588,7515279071,391783760846,1384366865816,44018097820,7073014272,15600355958,18491431627,7005186365,22277273484,70904167594,19257017676,470453855,81645054512,263170806878,672490352,7457742138,5839785648,2034483922,5877816683,6958238240
2. Các khoản tương đương tiền112,15000000000,16190618662,28580000000,,,10000000000,2000000000,5000000000,11000000000,,110000000000,,100000000000,88000000000,5000000000,,68122931507,1000000000,4500000000,,320900000000,69500000000,3000000000,7300000000,50559247375,,26000000000,,4058926745642,,89605000000,55500000000,87045789702,,,40000000000,,,13000000000,15500000000,,,13900000000,,,50000000000
II. Đầu tư tài chính ngắn hạn120,17000000000,25915925187,9000000000,,63220000,,,60000000000,14917058138,53000000000,306344740274,,85158000000,680091956127,120300000000,28532000438,,1035250,,,85100000000,,,3437100,760062000,,16000000000,247130402390,623477495773,10596062661,92273129989,169821000000,84076975267,,,,75230296862,,121465196780,2027221918,,,5000000000,144000000000,,2273490790416
1. Chứng khoán kinh doanh121,,,,,63220000,,,,470095,,,,,549446446457,,,,1758830,,,,,,26044046,,,,9353176,,,129989,,,,,,,,,,800000000,,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh122,,,,,,,,,,,,,,-49209437604,,,,-723580,,,,,,-22606946,,,,,,,,,,,,,,,,,-800000000,,,,,
3. Đầu tư nắm giữ đến ngày đáo hạn123,17000000000,25915925187,9000000000,,,,,60000000000,14916588043,53000000000,306344740274,,85158000000,179854947274,120300000000,28532000438,,,,,85100000000,,,,760062000,,16000000000,247121049214,623477495773,10596062661,92273000000,169821000000,84076975267,,,,75230296862,,121465196780,2027221918,,,5000000000,144000000000,,2273490790416
III. Các khoản phải thu ngắn hạn130,46612228986,24488718590,1344674990862,832116958051,79100066844,128374704299,2022302613,11676667775,1211726168659,78476084904,74778897409,51854902745,54149602478,129543846132,29769205928,163538971775,11294336173,125652773095,12742943881,3987100017,53404766484,59564369902,57367291774,6574339003,378616624372,76755933418,110415107191,1942938034495,2796944659429,16195088801,21514890115,22149093404,83309018552,104513471157,7438808218,14318264731,18416385203,387070487913,21566783418,444365279534,8235536943,177243540732,15326635802,1646999344,82525434456,2988656591746
1. Phải thu ngắn hạn của khách hàng131,27332664355,19895447935,309659600391,827512822794,86265581859,85937525187,989383616,12279720981,674945793131,74679735010,70236824200,38442946220,41077500328,108221707015,12908888452,160292552701,2247445206,63032020092,9478220195,13492930588,47836026902,59834995151,44716935347,6453539651,298853660085,73125561977,101865902362,1129072791514,1466565697259,12924884015,13070489948,6932818854,36420519244,63374006513,7059541172,2284845452,16253834610,5393055858,10726349730,273993260605,8449411829,171888287661,9400231779,180000000,77001867215,2933275806587
2. Trả trước cho người bán ngắn hạn132,15410560662,7049212810,352882254965,,807090580,51000000,857814887,446792180,173194622006,2840287621,1193037735,3893155047,2635517113,502999797,12276276186,2802716043,6899395574,35000000,416346500,36117246,4171323622,776813789,19373762557,10573458,25921034452,5757975081,3691447267,811919388493,492362165943,1767566346,61852038,39858894,20239682924,51758056045,512733767,9112238579,1624096364,34452000,8237223535,52899443034,2572421296,7810435778,4990726155,233674686,1656377482,
3. Phải thu nội bộ ngắn hạn133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. Phải thu về cho vay ngắn hạn135,,,348487685000,,,,,,641623858242,,,,,21600000000,,,,,,,,,,,50000000000,,,,94580964170,,2600000000,,,3213565959,,,,52894000000,,100000000000,,,,,,
6. Phải thu ngắn hạn khác136,3869003969,15276886449,404650751128,4604135257,,328931789,175104110,1344354541,230316347772,2159747226,3776365799,10749181656,10436585037,3610415956,4580408976,7769528970,2147495393,65432560172,2848377186,,1397415960,1181810312,21357489,280333821,7480648816,342694186,4857757562,15741713905,823963233623,1757285319,5908714994,16146338531,26648816384,90236314865,7550000,4058973761,962592703,411641098158,4840116019,20513825773,7445807395,14464829857,935677868,1413324658,3867189759,79696611412
7. Dự phòng phải thu ngắn hạn khó đòi137,,-17732828604,-71005300622,,-7972605595,,,-2394199927,-508354452492,-1203684953,-427330325,-1230380178,,-4391276636,,-7325825939,,-2846807169,,-9541947817,,-2229249350,-6744763619,-170107927,-3638718981,-2470297826,,-13795859417,-80527401566,-470043879,-126166865,-969922875,,-104068472225,-163395874,-1137793061,-424138474,-82892118103,-2236905866,-3041249878,-10232103577,-16920012564,,-180000000,,-24315826253
8. Tài sản thiếu chờ xử lý139,,,,,,42057247323,,,,,,,,,3632314,,,,,,,,,,,,,,,215397000,,,,,22379153,,,,,,,,,,,
IV. Hàng tồn kho140,12715783973,72780624978,1932148120147,182283268397,46421644135,187844440463,11866755877,23707645546,679784771281,15422810278,3161811633,23198741714,103878303260,87932201415,23622516431,140351833583,15989562167,5153825885,1705657298,,227903963244,192103180312,93505779005,4967806360,218749159456,64377663567,119417428962,6690482934519,17993423057164,4781018403,8428454364,5860533398,176197989059,2934885322,12198880977,26935857946,13956729794,9974345752,27706429602,553662512419,2446514916,582600204228,14990326796,6887044259,117434190750,332599835856
1. Hàng tồn kho141,18798880855,72780624978,1932148120147,182283268397,47923811963,187844440463,11866755877,23707645546,682145530219,15422810278,3161811633,27498795910,103878303260,87932201415,24164368702,147953256082,19392331320,5153825885,1705657298,5224449752,228438527915,192103180312,93505779005,5281983708,220292525225,71435470734,126901628119,6820816327463,18060600682687,4781018403,8428454364,5860533398,177784424016,2934885322,13425612653,27440243034,13956729794,9974345752,27706429602,561973732061,2446514916,582600204228,15313032499,6887044259,117434190750,332599835856
2. Dự phòng giảm giá hàng tồn kho 149,-6083096882,,,,-1502167828,,,,-2360758938,,,-4300054196,,,-541852271,-7601422499,-3402769153,,,-5224449752,-534564671,,,-314177348,-1543365769,-7057807167,-7484199157,-130333392944,-67177625523,,,,-1586434957,,-1226731676,-504385088,,,,-8311219642,,,-322705703,,,
V. Tài sản ngắn hạn khác150,142921964,4447298018,70704009785,33731068174,2551181470,28708742097,1299424288,5601689241,37451183693,771890988,379084484,693634492,6798938742,16515316159,2126589550,8752206509,760244615,4540386857,721779667,5044683,1638526701,77182600,21499417135,5103843018,45107159373,6897004947,4106519937,930035368297,692088582396,545868351,17841279252,2864298045,9639443511,5291402885,346683656,2391652982,125006780,1535314526,18985280464,11820325325,398051320,12279150656,3391455068,500386944,21960577785,122106347806
