Mã CK,PET,PFL,PGC,PGD,PGN,PGS,PGT,PGV,PHC,PHH,PHN,PHP,PHR,PIA,PIC,PIS,PIT,PIV,PJC,PJS,PJT,PLA,PLC,PLE,PLP,PLX,PMB,PMC,PMG,PMJ,PMP,PMS,PMT,PMW,PNC,PND,PNG,PNJ,PNP,PNT,POB,POM,POS,POT,POV
I. Tiền và các khoản tương đương tiền110,1766009708784,16787189289,92234971224,1384904766353,2916357009,931975641216,7690504685,618781821094,236265806425,6144706455,20039540554,493962154581,190403886202,25269180330,15070649584,13094138837,5345014892,471426136,28449127158,54078806971,88249283257,7642024905,298965403934,16028935066,16016322858,14933068792315,139841793500,60084311574,149697944432,11374162882,10203265909,20834914435,10039690048,41534307737,119000939764,5871307169,11118768127,1122712392130,75275409791,9353416248,7075389252,58763759387,517431543921,106217672636,365314552
1. Tiền111,997613225834,11287189289,92234971224,194904766353,2915771431,175175641216,7690504685,370781821094,236265806425,5336701849,15039540554,109962154581,170003886202,10135572930,570649584,12694138837,5345014892,471426136,13018186134,14777082757,8249283257,7642024905,153008853628,16028935066,16016322858,5329158367088,46805892580,14084311574,89697944432,11374162882,10203265909,17054914435,7039690048,3034307737,13100939764,5871307169,11118768127,1022712392130,5275409791,5353416248,7075389252,44922058953,377431543921,104154834798,365314552
2. Các khoản tương đương tiền112,768396482950,5500000000,,1190000000000,585578,756800000000,,248000000000,,808004606,5000000000,384000000000,20400000000,15133607400,14500000000,400000000,,,15430941024,39301724214,80000000000,,145956550306,,,9603910425227,93035900920,46000000000,60000000000,,,3780000000,3000000000,38500000000,105900000000,,,100000000000,70000000000,4000000000,,13841700434,140000000000,2062837838,
II. Đầu tư tài chính ngắn hạn120,2855834085408,36080000000,1087735468942,717765249404,15401124200,58474000000,,2880000000000,1999121501,2692664146,44000000000,1345188737502,1683003899411,3236494035,20000000000,29400000000,4029922558,,5046100184,54998470915,,43191000000,645707573826,4500000000,76328794520,15108762286646,,141000000000,277451084494,,,,2335383934,,50000000000,,43000000000,1020170000000,260000000,,,,718965000000,5145884450,6278494369
1. Chứng khoán kinh doanh121,66359223052,300000000,2610000000,,,,,,,,,,,,,,4029922558,,51100184,,,,,,,6691022742,,,,,,,,,,,,,,,,,,72900000,
2. Dự phòng giảm giá chứng khoán kinh doanh122,-989065869,,-2095304108,,,,,,,,,,,,,,,,,,,,,,,-2095304108,,,,,,,,,,,,,,,,,,,
3. Đầu tư nắm giữ đến ngày đáo hạn123,2790463928225,35780000000,1087220773050,717765249404,15401124200,58474000000,,2880000000000,1999121501,2692664146,44000000000,1345188737502,1683003899411,3236494035,20000000000,29400000000,,,4995000000,54998470915,,43191000000,645707573826,4500000000,76328794520,15104166568012,,141000000000,277451084494,,,,2335383934,,50000000000,,43000000000,1020170000000,260000000,,,,718965000000,5072984450,6278494369
III. Các khoản phải thu ngắn hạn130,2387134599368,95874760200,511252794182,1204263842352,67862984534,613914012608,33763689583,10330733524343,1688904554283,42479810298,16706365039,973070421967,208215975307,46909061211,37126533042,156803318132,76811343011,633267344,38627025704,12789140522,37352850415,19038626862,1205966310749,74962750019,998826186468,12465105480349,11056592760,62795373353,309844573110,109114724579,78001950187,117493750340,47429131532,46623122856,49001723412,34242652516,5358265562,401134922152,118758059417,93243131781,51789781721,1032143622085,695086665158,870835882277,115797386375
1. Phải thu ngắn hạn của khách hàng131,2446202025542,63570830802,455279442869,634887089793,67445628088,624550435891,42814251243,9421767236215,1191035233360,5770651482,12471362760,295747062611,82345053889,46390390448,22997272603,35934851526,96026462232,,35993113201,8231645152,35281715745,11251613313,1390452021017,60364384407,606874837258,12232902323561,8000483177,42266982055,346931131822,88142611265,70573008415,92748634627,57022621669,37402036130,31177520389,35874247909,5724345673,70851635761,117648893576,32132849227,47769336321,984838027387,580032353509,809880322552,97246912502
2. Trả trước cho người bán ngắn hạn132,79937351225,18553513504,5456574164,2249098972,304999200,32890646944,3808108206,65362247545,345506290568,14239014783,1022460725,391899673934,71414444983,1259513952,12804997261,32117910680,8851963925,566449160,1664937288,4478990310,1108674324,5899820000,40257041062,4238785255,148865426336,383629822851,2868064752,18531049059,43750987877,2644292580,3854853960,6517346256,113491521,8767052062,8823313301,9803929786,80168225386,253102611434,535455780,396242000,498197406,68913098850,18228980420,17242765228,4982858265
