Mã CK,SDP,SDT,SDU,SDV,SDY,SEA,SEB,SED,SEP,SFC,SFG,SFI,SFN,SGC,SGD,SGH,SGI,SGN,SGP,SGR,SGS,SGT,SHA,SHC,SHE,SHI,SHN,SHP,SID,SIG,SII,SIP,SIV,SJ1,SJD,SJE,SJF,SJG,SJM,SJS,SKG,SKH,SKN,SKV
I. Tiền và các khoản tương đương tiền110,1799256585,176541358555,12179172690,18323021399,4764902920,293885854062,59574987971,96240197333,11224042746,137503957987,11317434226,252466824362,44381479249,21456055094,1969710679,6667794922,323248396815,432488271127,503960924443,31619565732,17534879085,123604355065,69395860579,41629392853,3956588389,102786809902,22015726372,48963623029,209613045664,9967606471,294546348789,645596058368,8265860857,36103456196,269276037051,115234546765,39023041356,1764827369623,13889868,172907922346,165983143070,140961072575,37749176273,107665995286
1. Tiền111,1799256585,161541358555,12179172690,16798340732,4764902920,18593277181,15574987971,23240197333,11224042746,33103957987,11317434226,127868084635,44381479249,21456055094,1969710679,6667794922,121268396815,432488271127,245199019786,23937297812,17534879085,110950487833,69395860579,12629392853,3956588389,67174046340,17587311342,6963623029,37775920662,6467606471,257879111118,216324302428,8265860857,36103456196,23276037051,97670870954,39023041356,1358452369623,13889868,155271833314,18283143070,95904990383,37749176273,82062018369
2. Các khoản tương đương tiền112,,15000000000,,1524680667,,275292576881,44000000000,73000000000,,104400000000,,124598739727,,,,,201980000000,,258761904657,7682267920,,12653867232,,29000000000,,35612763562,4428415030,42000000000,171837125002,3500000000,36667237671,429271755940,,,246000000000,17563675811,,406375000000,,17636089032,147700000000,45056082192,,25603976917
II. Đầu tư tài chính ngắn hạn120,37868981,,410887743,,510000000,126197084903,94200000000,,,,391440000000,123622252922,,85000000000,1213195916,127714160000,1029571083496,597000000000,356247988384,27138000000,161000000000,187387209350,42200000000,2100000000,8180210000,386482700315,,16770363845,311978037810,,16270000000,5244379319796,,62138069664,15000000000,2275493335,,1992449429387,1757500000,18324664452,10000000000,,,39600000000
1. Chứng khoán kinh doanh121,37868981,,658855,,1000000000,2257388143,,,,,,100443510872,,,2342446821,3714160000,750049285768,,,,,,,,,,,,13859293545,,,197028806860,,,,75493335,,172618561,1757500000,17817000000,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh122,,,-520855,,-490000000,,,,,,,,,,-1129250905,,-165474312825,,,,,,,,,,,,-5011393545,,,-5276497008,,,,,,,,-10988400000,,,,
3. Đầu tư nắm giữ đến ngày đáo hạn123,,,410749743,,,123939696760,94200000000,,,,391440000000,23178742050,,85000000000,,124000000000,444996110553,597000000000,356247988384,27138000000,161000000000,187387209350,42200000000,2100000000,8180210000,386482700315,,16770363845,303130137810,,16270000000,5052627009944,,62138069664,15000000000,2200000000,,1992276810826,,11496064452,10000000000,,,39600000000
III. Các khoản phải thu ngắn hạn130,135408021230,924332884086,425667515788,127652541759,28789213581,66883139027,36153470970,152714248789,133168756357,5911881820,279983060964,176907443071,6810246669,82460145162,8553469581,3737619597,1714378355009,198821976698,586404373533,979843537860,23512168131,2322780906598,314260903011,13850352877,133003183985,5286357529154,3851123155797,237169314590,46877024918,91101898827,602538176204,4853338850460,102187916160,273091558067,781042501454,875783951530,591937249255,5262338848196,12182473283,623255756061,280323415333,82480224071,16250184889,181359405979
1. Phải thu ngắn hạn của khách hàng131,159825436110,790031533998,26774053195,125879372619,42471901899,60715000842,33506585074,157361676535,119019884804,5448103398,254732718736,139607084932,7415266494,68038671474,6848630616,2577770220,615914277258,254387980523,221204806565,164342349166,4899509221,1150444753046,281708126416,12421070157,128760483361,4408379797299,2355811761211,236061550356,15018469744,60890835343,19629737999,391629267275,118700810775,115164638686,749951515079,773907565658,72789839746,2495244435174,14392940439,213928461543,39688056050,77869128142,1650082618,170804754630
2. Trả trước cho người bán ngắn hạn132,12700850542,38256121913,97463322128,1562018747,298692145,7584211493,1012261190,534172834,11694376974,125000000,35271659981,21525000,111507000,12529859862,1438491991,111098100,5102087016,11198026164,14666398806,278822574468,1842841896,440666777127,5799988348,35100000,6404006780,453582111303,607594611084,760012409,7056117316,646164768,2193884871,50205143244,947302066,85372679534,7733410143,66515284639,3246007754,470754147199,66250000,43782834765,212997431967,2735594345,41924477,7691517985
