Mã CK,XDH,XHC,XLV,XMC,XMD,XMP,XPH,YBC,YBM,YEG,YTC,ABA
Kỳ/năm,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024
Trạng thái hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Trạng thái kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Chưa kiểm toán
Công ty kiểm toán,VAE,RSM,A&C,NVA,NVA,AASC,AVA,NVT,A&C,EY,A&C,
Ý kiến kiểm toán,Chấp nhận toàn phần - Có đoạn ghi thêm ý kiến,Chấp nhận toàn phần - Có đoạn ghi thêm ý kiến,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần - Có đoạn ghi thêm ý kiến,Chấp nhận toàn phần - Có đoạn ghi thêm ý kiến,Chấp nhận toàn phần,Chấp nhận toàn phần - Có đoạn ghi thêm ý kiến,
Ngày công bố báo cáo,03-04-2025,04-04-2025,26-03-2025,03-04-2025,14-03-2025,05-03-2025,27-02-2025,02-04-2025,29-03-2025,31-03-2025,18-03-2025,02-04-2025
Ngày ký kiểm toán,29-03-2025,02-04-2025,21-03-2025,29-03-2025,10-03-2025,24-02-2025,24-02-2025,28-03-2025,29-03-2025,31-03-2025,15-03-2025,
CÂN ĐỐI KẾ TOÁNMS,,,,,,,,,,,,
TÀI SẢN,,,,,,,,,,,,
- Giá trị hao mòn lũy kế 223,-53776899284,-262015423693,-20749386246,-459862225182,-68415301263,-117248582584,-95253096692,-450471036971,-117044707348,-5797187736,-37911568672,-330397557461
2. Tài sản cố định thuê tài chính224,,,,,,,,36748344572,57200805901,,,
- Nguyên giá225,,,,,,,,41139960382,66836193210,,,
- Giá trị hao mòn lũy kế 226,,,,,,,,-4391615810,-9635387309,,,
3. Tài sản cố định vô hình227,11969206546,897477504,2086934406,153293887,,19174113573,,66000000,369602151,198244185006,4839287900,500840614
- Nguyên giá228,12002066546,4639933998,2086934406,4813880647,709520793,21818442843,278323000,272436364,440500000,243416211684,6515040700,10001751582
- Giá trị hao mòn lũy kế 229,-32860000,-3742456494,,-4660586760,-709520793,-2644329270,-278323000,-206436364,-70897849,-45172026678,-1675752800,-9500910968
III. Bất động sản đầu tư230,241948551250,,,242702208436,,,,,,,,
- Nguyên giá231,322764153617,,,292008973646,,,,,,,,
- Giá trị hao mòn lũy kế232,-80815602367,,,-49306765210,,,,,,,,
IV. Tài sản dở dang dài hạn240,,456467675,,12653739793,,,,24361908031,,63162748821,88746735876,
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn241",,,,,,,,,,,,
2. Chi phí xây dựng cơ bản dở dang242,,456467675,,12653739793,,,,24361908031,,63162748821,88746735876,
V. Đầu tư tài chính dài hạn250,42683254750,27336701068,,89189495482,,,71250000000,4825931227,,111178423767,,
1. Đầu tư vào công ty con251,,,,,,,,,,,,
"2. Đầu tư vào công ty liên kết, liên doanh252",,27336701068,,88467345482,,,,,,103807419542,,
3. Đầu tư góp vốn vào đơn vị khác253,42683254750,,,722150000,,,71250000000,4262469000,,19715625000,,
4. Dự phòng đầu tư tài chính dài hạn254,,,,,,,,-436537773,,-12344620775,,
