Mã CK,HOM,HOT,HPB,HPD,HPG,HPH,HPI,HPP,HPW,HPX,HQC,HRB,HRC,HSG,HSL,HSM,HSP,HSV,HT1,HTC,HTE,HTG,HTI,HTL,HTM,HTN,HTP,HTT,HTV,HU1,HU3,HU4,HU6,HUB,HUG,HUT,HVA,HVH,HVN,HVT,HVX,HWS,IBD,ICC
I. Tiền và các khoản tương đương tiền110,206412400685,11277510589,7523262991,10569149029,6887646139852,11827118466,529554722972,117910928050,17332691799,1971403413,42062167302,3287661417,75015205172,602071799277,80145704798,53921202152,90111757334,33802962537,848514761917,32427842327,41948609068,467127892045,1877918437,20588578886,55312296140,95184839433,13398495644,128941963,34544484237,59847133641,1251741653,9287037839,11802514748,94723266713,61915758986,2876158716774,2562339731,97975498572,4626738463941,34088502259,25059577968,141063076907,22033297623,70525474532
1. Tiền111,56412400685,6077510589,5770262991,10569149029,2919531945908,4827118466,10054722972,32610928050,13332691799,1971403413,42062167302,3287661417,75015205172,597436771510,30645704798,7271202152,63111757334,4302962537,348010052607,25427842327,36606146286,20290892045,1877918437,20588578886,54812296140,85831278128,13398495644,128941963,17357996566,59847133641,1251741653,9287037839,102514748,10429485391,61915758986,2287981707808,2562339731,18531460238,2861943009889,34088502259,25059577968,21063076907,9167297623,10125474532
2. Các khoản tương đương tiền112,150000000000,5200000000,1753000000,,3968114193944,7000000000,519500000000,85300000000,4000000000,,,,,4635027767,49500000000,46650000000,27000000000,29500000000,500504709310,7000000000,5342462782,446837000000,,,500000000,9353561305,,,17186487671,,,,11700000000,84293781322,,588177008966,,79444038334,1764795454052,,,120000000000,12866000000,60400000000
II. Đầu tư tài chính ngắn hạn120,,4000000000,7825500000,,18974716730905,,100300000000,161708266750,539800000000,6703796538,,111509510000,,30636010069,60684193127,145441647850,25000000000,56600000000,17014852499,146555927259,96960185094,254147000000,309451676166,150000000,,40162815035,100000000,,194841267560,10780000000,,1095737708,6000000000,148125000000,198247235969,567615627606,,25579720524,1015203600683,24500000000,,81162254424,57817000000,29771814705
1. Chứng khoán kinh doanh121,,,,,,,,,,,,,,,61226670390,,,,,33835,,,,,,,,,,,,,,,,28274992543,,,,,,,,116693600
2. Dự phòng giảm giá chứng khoán kinh doanh122,,,,,,,,,,,,,,,-542477263,,,,,-5636,,,,,,,,,,,,,,,,-17170413738,,,,,,,,
3. Đầu tư nắm giữ đến ngày đáo hạn123,,4000000000,7825500000,,18974716730905,,100300000000,161708266750,539800000000,6703796538,,111509510000,,30636010069,,145441647850,25000000000,56600000000,17014852499,146555899060,96960185094,254147000000,309451676166,150000000,,40162815035,100000000,,194841267560,10780000000,,1095737708,6000000000,148125000000,198247235969,556511048801,,25579720524,1015203600683,24500000000,,81162254424,57817000000,29655121105
III. Các khoản phải thu ngắn hạn130,186591410493,3867914891,29475313292,15444608635,7647800286988,5866468042,150038840883,483294983420,34837904549,3555026920305,5236577964799,785134259,7171883951,2985396517329,106921255819,48284969832,24295744542,226725845388,342021939954,23145484550,37373598120,531304978294,26012059927,29333893127,928723842598,6416886936077,1544909100503,12220400067,134437739094,400115515948,127586618118,73086993277,22875560085,127573795297,89504669174,5493836857775,147373899187,125564109241,7322324469422,187683257093,11949203287,161812852988,11356631871,27234040839
1. Phải thu ngắn hạn của khách hàng131,166820988504,3290051485,27480571428,6104496448,4352135419872,4709703700,111542446269,331736233313,18768545334,88429160336,1463073170861,7942523,6857279466,2272400526277,23901471875,111506739072,23469511755,126191826387,240158234166,16237574900,33379388541,516827779410,20197586763,27918475427,205033282954,3690198815087,21797600000,6636713559,130596147978,137581805873,76885198606,30012242766,385898414,80010584075,61974734496,1618813796668,6580000000,103830087761,4656848501751,182880788053,17063183702,44141016232,8820428720,32431064540
2. Trả trước cho người bán ngắn hạn132,20124303816,173333262,2501193690,,2118824427004,763983611,12911847073,56122074201,6713562056,1160759858102,2034129271275,9600000,285570000,626072378471,8119861600,10190088243,177736897,95476235395,39264959715,3123738304,6819915734,4750973972,2315881859,471685313,330080873329,2108750690106,1108985698971,17693659036,533381678,68907352246,1221956259,7932423599,30000000,77664021554,15242059173,759717289768,793899187,3394480797,536076663828,3791935307,842159317,110866176442,900229423,163317301
