Mã CK,ALC,AnPhu
Kỳ/năm,Năm/2024,Năm/2024
Trạng thái hợp nhất,Hợp nhất,Công ty mẹ
Trạng thái kiểm toán,Kiểm toán,Kiểm toán
Công ty kiểm toán,EY,AASCS
Ý kiến kiểm toán,Chấp nhận toàn phần,Chấp nhận toàn phần
- LNST chưa phân phối kỳ này421b,218855743238,13918971900
12. Nguồn vốn đầu tư XDCB422,,
13. Lợi ích cổ đông không kiểm soát429,,
14. Quỹ dự phòng tài chính,,
II. Nguồn kinh phí và quỹ khác430,,
1. Nguồn kinh phí431,,
2. Nguồn kinh phí đã hình thành TSCĐ432,,
C. LỢI ÍCH CỦA CỔ ĐÔNG THIỂU SỐ,,
TỔNG CỘNG NGUỒN VỐN440,2270235953763,1171521710030
KẾT QUẢ KINH DOANHMS,,
1. Doanh thu bán hàng và cung cấp dịch vụ 01,1555505269939,7684564705
2. Các khoản giảm trừ doanh thu02,,
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ10,1555505269939,7684564705
4. Giá vốn hàng bán 11,1126936418806,5282824236
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ20,428568851133,2401740469
6. Doanh thu hoạt động tài chính21,42657210803,20785555129
7. Chi phí tài chính 22,74420240142,-6132091000
Trong đó :Chi phí lãi vay23,67093609326,
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết24",,
9. Chi phí bán hàng25,19042166950,
10. Chi phí quản lý doanh nghiệp26,50008516094,7727772759
11. Lợi nhuận thuần từ hoạt động kinh doanh30,327755138750,21591613839
12. Thu nhập khác31,3522623169,
13. Chi phí khác32,5711738569,207408
14. Lợi nhuận khác40,-2189115400,-207408
"Phần lãi/lỗ trong công ty liên doanh, liên kết",,
15. Tổng lợi nhuận kế toán trước thuế50,325566023350,21591406431
16. Chi phí thuế TNDN hiện hành51,64629854835,7672434531
17. Chi phí thuế TNDN hoãn lại52,,
18. Lợi nhuận sau thuế thu nhập doanh nghiệp60,260936168515,13918971900
Lợi ích của cổ đông thiểu số,,
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,260936168515,13918971900
19. Lãi cơ bản trên cổ phiếu,4739,114
20. Lãi suy giảm trên cổ phiếu71,4739,
LƯU CHUYỂN TIỀN TỆ GIÁN TIẾPMS,,
I. Lưu chuyển tiền từ hoạt động kinh doanh,,
1. Lợi nhuận trước thuế01,325566023350,
2. Điều chỉnh cho các khoản,,
Khấu hao TSCĐ và BĐSĐT02,322339329138,
Các khoản dự phòng03,-2810345389,
"Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệchưa thực hiện04",-1100485399,
"Lãi, lỗ từ hoạt động đầu tư05",1877528624,
Chi phí lãi vay06,67093609326,
"Lãi, lỗ do thanh lý TSCĐ",,
Thu nhập lãi vay và cổ tức,,
Phân bổ lợi thế thương mại,,
Điều chỉnh cho các khoản khác,,
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động08,712965659650,
"Tăng, giảm các khoản phải thu09",-49449256130,
"Tăng, giảm hàng tồn kho10",3896406289,
"Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập phải nộp)11",-36400544605,
"Tăng, giảm chi phí trả trước12",-10003328508,
"Tăng, giảm chứng khoán kinh doanh13",79153124666,
Tiền lãi vay đã trả13,-68668676054,
Thuế thu nhập doanh nghiệp đã nộp14,-48883804486,
Tiền thu khác từ hoạt động kinh doanh15,,
Tiền chi khác từ hoạt động kinh doanh16,-24063000000,
Lưu chuyển tiền thuần từ hoạt động kinh doanh20,558546580822,
II. Lưu chuyển tiền từ hoạt động đầu tư,,
"1. Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác21",-16254805184,
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác22",474182258343,
"3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác23",-178849510000,
"4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác24",51900000000,
5. Tiền chi đầu tư góp vốn vào đơn vị khác25,,
6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác26,490221600,
"7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia27",4137462010,
8. Tăng giảm tiền gửi ngân hàng có kỳ hạn,,
9. Mua lại khoản góp vốn của cổ đông thiểu số trong công ty con,,
10. Tiền thu khác từ hoạt động đầu tư,,
11. Tiền chi khác cho hoat động đầu tư,,
Lưu chuyển tiền thuần từ hoạt động đầu tư30,335605626769,
III. Lưu chuyển tiền từ hoạt động tài chính,,
"1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu31",,
"2. Tiền chi trả vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành32",,
3. Tiền thu từ đi vay33,388118278842,
4. Tiền chi trả nợ gốc vay34,-719256585647,
5. Tiền trả nợ gốc thuê tài chính35,,
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu 36",-40314994000,
7. Tiền thu khác từ hoạt động tài chính,,
8. Tiền chi khác cho hoạt động tài chính,,
Lưu chuyển tiền thuần từ hoạt động tài chính40,-371453300805,
Lưu chuyển tiền thuần trong kỳ50,522698906786,
Tiền và tương đương tiền đầu kỳ60,262699754528,
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ61,152907238,
Tiền và tương đương tiền cuối kỳ (70 = 50 +60 + 61)70,785551568552,
LƯU CHUYỂN TIỀN TỆ TRỰC TIẾPMS,,
I. Lưu chuyển tiền từ hoạt động kinh doanh,,
"1. Tiền thu từ bán hàng, cung cấp dịch vụ và doanh thu khác01",,8383633291
2. Tiền chi trả cho người cung cấp hàng hoá và dịch vụ02,,-35847400
3. Tiền chi trả cho người lao động03,,-4757680852
4. Tiền chi trả lãi vay04,,
5. Tiền chi nộp thuế thu nhập doanh nghiệp05,,-7672434531
6. Tiền thu khác từ hoạt động kinh doanh06,,466637995
7. Tiền chi khác cho hoạt động kinh doanh07,,-9041482608
Lưu chuyển tiền thuần từ hoạt động kinh doanh20,,-12657174105
II. Lưu chuyển tiền từ hoạt động đầu tư,,
"1. Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác21",,
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác22",,
"3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác23",,-24000000000
"4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác24",,24000000000
5. Tiền chi đầu tư góp vốn vào đơn vị khác25,,-11985209205
6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác26,,3310329913
"7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia27",,22842879169
8. Tiền thu khác từ hoạt động đầu tư,,
9. Tiền chi khác cho hoat động đầu tư,,
Lưu chuyển tiền thuần từ hoạt động đầu tư30,,14167999877
III. Lưu chuyển tiền từ hoạt động tài chính,,
"1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu31",,
"2. Tiền chi trả vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành32",,
3. Tiền thu từ đi vay33,,
4. Tiền chi trả nợ gốc vay34,,
5. Tiền trả nợ gốc thuê tài chính35,,
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu36",,
7. Tiền thu khác từ hoạt động tài chính,,
8. Tiền chi khác cho hoạt động tài chính,,
Lưu chuyển tiền thuần từ hoạt động tài chính40,,
Lưu chuyển tiền thuần trong kỳ (50=20+30+40)50,,1510825772
Tiền và tương đương tiền đầu kỳ60,,1726982299
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ61,,1189610
Tiền và tương đương tiền cuối kỳ (70 = 50+60+61)70,,3238997681
Kỳ/năm,,
