Ngày ký kiểm toán,05-03-2025,29-03-2025,26-03-2025,28-02-2025,27-03-2025,27-03-2025,26-03-2025,24-03-2025,28-03-2025,26-02-2025,20-03-2025,28-02-2025,29-03-2025,22-03-2025,18-03-2025,25-03-2025,18-03-2025,22-03-2025,18-03-2025,24-03-2025,29-03-2025,28-02-2025,28-02-2025,28-03-2025,25-03-2025,25-03-2025,01-03-2025,20-03-2025,18-03-2025,21-03-2025,27-02-2025,03-03-2025,20-03-2025,27-03-2025,28-02-2025,12-03-2025,03-03-2025,24-03-2025,29-03-2025,06-03-2025,31-03-2025,26-03-2025,10-02-2025,17-02-2025,28-03-2025
CÂN ĐỐI KẾ TOÁNMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TÀI SẢN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I. Tiền và các khoản tương đương tiền110,5211467115,198259182140,2875238795,1863090848,16662396109,2843387751,65798590433,173723141505,15174991167,38167689097,16884200579,190478925633,337374653162,1635982846,519780134885,50144066,16698329780,3462868547,58978379725,5456919380,886350410790,18617866000000,1468795621000,3225028300,99902019376,448517625,2177971480,33587045748,40542540184,3715625024,18218584195,24622294699,33170355268,1324618308,327949309104,61776743450,3255012146283,4897331540730,68998554866,42185376935,54365245778,71646409892,12413338128,44819101585,4322694385
1. Tiền111,5211467115,198259182140,2875238795,1863090848,16662396109,1943387751,41298590433,108723141505,7174991167,7167689097,16884200579,45255925633,227724566712,1635982846,157280134885,50144066,11488329780,1962868547,20978379725,5456919380,210360392258,6064564000000,1468795621000,3225028300,78432146314,448517625,2177971480,13439131276,30542540184,515625024,18218584195,24622294699,6170355268,1324618308,102949309104,41799022831,1867525795383,4697331540730,21949182510,42185376935,22210527515,21646409892,7413338128,36819101585,4322694385
2. Các khoản tương đương tiền112,,,,,,900000000,24500000000,65000000000,8000000000,31000000000,,145223000000,109650086450,,362500000000,,5210000000,1500000000,38000000000,,675990018532,12553302000000,,,21469873062,,,20147914472,10000000000,3200000000,,,27000000000,,225000000000,19977720619,1387486350900,200000000000,47049372356,,32154718263,50000000000,5000000000,8000000000,
II. Đầu tư tài chính ngắn hạn120,,20000000000,,810200000000,442777938588,2770000000,141106758810,55946711100,6000000000,,,,105290613569,21200000000,15313291784,,11855580000,38500000000,3356287525,,653102618812,607993000000,,31020259927,169265014331,,1000000000,32093745857,15000000000,25390367562,45400000000,,18000000000,,100500000000,222125644540,5138580323941,29324441756320,455970971891,12500000000,95801452333,326625754419,4000000000,22738231506,13401050298
1. Chứng khoán kinh doanh121,,,,,450174243856,,1467690500,10946711100,,,,,,,8806789411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh122,,,,,-7396305268,,,,,,,,,,-5580753017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. Đầu tư nắm giữ đến ngày đáo hạn123,,20000000000,,810200000000,,2770000000,139639068310,45000000000,6000000000,,,,105290613569,21200000000,12087255390,,11855580000,38500000000,3356287525,,653102618812,607993000000,,31020259927,169265014331,,1000000000,32093745857,15000000000,25390367562,45400000000,,18000000000,,100500000000,222125644540,5138580323941,29324441756320,455970971891,12500000000,95801452333,326625754419,4000000000,22738231506,13401050298
III. Các khoản phải thu ngắn hạn130,163866598730,447533342870,46576672771,23717049036,340281104695,42565156121,795830661921,55649542440,38541119225,54474246463,14638467777,538205635081,1049196192341,4162305760,1516366465372,145410729582,39927742503,16666902360,160135558466,27238575536,991662262409,21864602000000,1873471973000,857924177091,144813095281,21246890202,1199724240,101413171831,45737983736,15862715942,419024229977,338764164866,20254473164,7627431974,481576819426,186139464520,3607375668277,8825896224771,1328287832773,53874388919,571734030786,486437626352,27062537644,60034115992,30656885571
1. Phải thu ngắn hạn của khách hàng131,92993229538,258694622136,5908607540,22957633514,69473964795,36870456308,747831400735,51199264078,38006047821,54134882649,4499887618,515749964679,925205629217,3613875259,1414743711022,14907641966,40036907975,19972047742,117969497699,24399681792,975783599992,1302889000000,789719771000,10545632469,146591458041,17524867997,1546443535,103067245174,34727519434,11851386948,417735178962,337489507103,19634988381,7562767821,462446757251,69091569999,1744869889828,241405396887,946704924383,64959494884,334749142656,410181287521,24286016300,51256571945,19879653240
2. Trả trước cho người bán ngắn hạn132,72010533,27878359314,35001641280,938582676,17564304118,5904659591,53298423687,14743358205,54442500,77827755,1224403913,9584565051,30655200461,90742943,133162375527,5465592502,1578734000,47728000,14072691077,6654884735,44784078726,484488000000,99262520000,410040559772,17262863764,57750000,19300000,578506731,715532483,191514680,20325566738,141100905,59030568,24107455,6037432631,4201114692,904476701248,115888383111,291986680633,1576475085,79534577962,32794597855,2336312900,6831273148,105718640
