Mã CK,S99,SAB,SAC,SAF,SAL,SAM,SAP,SAS,SAV,SB1,SBA,SBB,SBD,SBG,SBH,SBL,SBM,SBR,SBV,SC5,SCC,SCD,SCG,SCI,SCJ,SCL,SCO,SCR,SCS,SCY,SD2,SD3,SD4,SD5,SD6,SD7,SD9,SDA,SDC,SDD,SDG,SDJ,SDK,SDN
I. Tiền và các khoản tương đương tiền110,139204839719,4477501667326,18220118638,64762103989,16775931371,547305862333,1014896740,217245829384,93082953859,74475171483,14396756870,146777742691,12083450672,38578300533,6935299208,57738492583,76884185640,69987341020,13907537440,200623989615,5833344,65872295390,78072128418,69154588844,851151695,47440866194,653053080,175042635149,317288629554,143321176563,1140793563,26493898846,3719452422,174964451136,3132290681,5230061584,71439885723,268548805,8318581664,495736423,20242553498,23335543,7586398443,4588484559
1. Tiền111,64904839719,1337761330143,6720118638,36762103989,16775931371,487883934873,1014896740,163245829384,43082953859,11799834300,9396756870,96777742691,9398350672,38578300533,6935299208,278492583,16884185640,9987341020,13748974287,196738795480,5833344,15872295390,78072128418,19154588844,851151695,42440866194,653053080,151439112928,125288629554,28321176563,1140793563,26493898846,3719452422,132964451136,3132290681,5230061584,69439885723,268548805,8318581664,495736423,20242553498,23335543,7586398443,4588484559
2. Các khoản tương đương tiền112,74300000000,3139740337183,11500000000,28000000000,,59421927460,,54000000000,50000000000,62675337183,5000000000,50000000000,2685100000,,,57460000000,60000000000,60000000000,158563153,3885194135,,50000000000,,50000000000,,5000000000,,23603522221,192000000000,115000000000,,,,42000000000,,,2000000000,,,,,,,
II. Đầu tư tài chính ngắn hạn120,44413798402,16566239177101,24000000000,55002150000,57000000000,29603718147,,537200000000,80000000000,565642740,,132400335911,,,761000000000,,,372803692692,375000,7310007576,,,,6300334480,,,,98362754011,954000000000,571500000000,,,,,,,115500000000,5600100000,5039656357,2161200,76000000000,,,
1. Chứng khoán kinh doanh121,499351237,,,2150000,,29612080737,,28644000000,,,,,,,,,,,573500,,,,,175656,,,,2863432,,,,,,,,,,,,2161200,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh122,-385715415,,,,,-3008362590,,-28644000000,,,,,,,,,,,-198500,,,,,-3756,,,,,,,,,,,,,,,,,,,,
3. Đầu tư nắm giữ đến ngày đáo hạn123,44300162580,16566239177101,24000000000,55000000000,57000000000,3000000000,,537200000000,80000000000,565642740,,132400335911,,,761000000000,,,372803692692,,7310007576,,,,6300162580,,,,98359890579,954000000000,571500000000,,,,,,,115500000000,5600100000,5039656357,,76000000000,,,
III. Các khoản phải thu ngắn hạn130,749214647570,1818472380110,11453688649,43041400462,13313688210,1075587900879,78181182,403951183384,65142982655,12194550742,72369139521,167513543888,231212038696,484425502513,302328669124,13032954188,28893740427,40442325024,245767216221,862493847175,29975016409,7038215450,6162443058134,744739574288,110299913395,92417417293,938165171,3187064947172,111448088987,33916240795,214728756749,183812580368,423291314605,644559496503,388768251151,28859493937,321282870387,77446411135,37969949608,1612597235,217089484445,17619128724,47854330274,27869367682
1. Phải thu ngắn hạn của khách hàng131,635319322847,433141431799,13143941038,41147354446,16758502530,401975302635,75315940,191105433218,65507832182,11417114163,71541220261,400186715142,158415528399,321261503464,292883406348,15938630012,25501428912,15733800000,212622230677,535635139616,25783363538,8041275144,2846453370349,687315946576,96965219956,78072868218,101697959169,251856406232,89430541706,19541589987,216858747310,120111781838,361130573046,400241828267,414606218468,13206689028,293579689245,40166831327,54601276984,2269867112,206518718183,24606388555,47840724190,29225045261
2. Trả trước cho người bán ngắn hạn132,65208551791,48390695221,48600000,103292592,449400000,108033034393,516484,14319482607,4019255237,681898100,59085238,13275455888,5619430182,59409198932,1211192488,93602237,2641894181,,17530512125,121740872823,1005836980,342617853,2240901665306,56132674840,14282891375,15250513028,,550359936010,2809526806,22298161451,13632934209,24039856074,28788047390,278865162051,700096419,2159533391,27425321871,2324750616,139510435,599000000,10429973923,,255880216,45232960
3. Phải thu nội bộ ngắn hạn133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7100000000,,,,,,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. Phải thu về cho vay ngắn hạn135,7500000000,,,,,18841300000,,,,,,,5000000000,,,,,10000000000,252000000,,,,950845000000,,,,,1700033232475,,,,,,9427372246,,,,42894948196,,,,,,
6. Phải thu ngắn hạn khác136,54295971774,1646477947637,861078451,1790753424,1569732026,548065049493,77664698,325608045701,8724713362,95538479,768834022,1220332453,75949464838,105216713815,8234070288,80892939,750417334,14708525024,30859031451,205117834736,9528190397,717414776,124243022479,14047200714,901050044,3415124612,19083974105,697134695950,23523813074,6139402557,59733913390,79321953206,41040541726,4236783172,7975430772,25858063139,54256714547,13572668599,8647754865,32431002,19060595345,9097223295,102101768,869308893
7. Dự phòng phải thu ngắn hạn khó đòi137,-13610118891,-309537694547,-2599930840,,-5463946346,-1326785642,-75315940,-127081778142,-13108818126,,,-247168959595,-13772384723,-1461913698,,-3080171000,,,-15496558032,,-6342374506,-2063092323,,-13257167891,-1849247980,-4321088565,-119843768103,-12319323495,-4315792599,-14062913200,-77588641189,-39661010750,-7667847557,-48211649233,-34513494508,-19464791621,-53978855276,-21512787603,-25418592676,-1288700879,-18919803006,-16084483126,-344375900,-2270219432
8. Tài sản thiếu chờ xử lý139,500920049,,,,,,,,,,,,,,,,,,,,,,,500920049,,,,,,,2091803029,,,,,,,,,,,,,
IV. Hàng tồn kho140,504052293889,1978543927286,555175257,63737825695,7806964242,502693308797,165086059,219537441613,171871969959,35901564189,1449809149,290652395286,156892679874,198844189254,7042374845,13357325168,43218016,52594881000,191512986625,883916501489,77472033,40854156051,731440974940,501436320267,123860293571,24222975062,613955330,3337206353146,,372260786854,66703590966,155486520507,130398370981,421384514456,391347879583,,228630113871,47896364,10825146648,,101177518738,,26213107536,20600257706
1. Hàng tồn kho141,504052293889,2042852750470,555175257,63737825695,7806964242,502693308797,165086059,219537441613,175503559916,41818800010,1449809149,290652395286,156900117672,201718463708,7042374845,13357325168,43218016,52594881000,204257012864,883916501489,77472033,41811889154,742727856135,501436320267,123860293571,24222975062,4051970466,3338186767794,,372260786854,66703590966,155486520507,130398370981,421384514456,391347879583,,228630113871,47896364,10825146648,,101177518738,,26213107536,20665775006
2. Dự phòng giảm giá hàng tồn kho 149,,-64308823184,,,,,,,-3631589957,-5917235821,,,-7437798,-2874274454,,,,,-12744026239,,,-957733103,-11286881195,,,,-3438015136,-980414648,,,,,,,,,,,,,,,,-65517300
V. Tài sản ngắn hạn khác150,196870718268,225975652283,,8257668145,113797935,48799686203,27224543,161278222819,44414524081,1227393332,2099769042,1808476458,408358517,20837598505,1163151345,149416482,40721457,69100039,106753814787,108976883101,149952283,16446969446,16852366841,188880128509,602268207,19614109830,559421689,172638498999,5647361222,49244499632,3828517691,382032392,30055661215,63837690046,8919694524,2355201680,20306307959,77270417,571319496,117647670,16723112644,47454486,974065199,
1. Chi phí trả trước ngắn hạn151,1886177551,145660411600,,161587572,,6167337042,27224543,7711413762,2139625918,1186556916,553798706,801921612,333223051,1177733093,1163151345,149416482,40721457,69100039,3087384279,388334384,,751515340,155482597,155717055,602268207,3665674667,545226995,12290668571,5647361222,,1017571979,222962940,,4696885668,4907090460,40780000,3252255599,9526221,92753770,117647670,11050728628,,46264000,
2. Thuế GTGT còn được khấu trừ152,194461318375,72112190350,,8096080573,,42250064383,,150584060355,40372364201,,810301803,,70178344,19659865412,,,,,103666430508,108456424708,,15442003290,16696884244,188231189112,,15500244781,,156637350337,,34803840340,2810945712,81402281,30055661215,35296174715,4012604064,920259519,16384613026,59785593,478565726,,5672384016,23288685,900880370,
3. Thuế và các khoản khác phải thu của nhà nước153,523222342,8203050333,,,113797935,382284778,,2982748702,1902533962,40836416,735668533,1006554846,4957122,,,,,,,132124009,149952283,253450816,,493222342,,448190382,14194694,3710480091,,14440659292,,77667171,,23844629663,,1394162161,669439334,7958603,,,,24165801,26920829,
4. Giao dịch mua bán lại trái phiếu Chính phủ (TS)154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. Tài sản ngắn hạn khác155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B. TÀI SẢN DÀI HẠN200,2767770055112,8372673560545,6236103751,24293996947,13476028432,4171576926190,10321727393,830465776424,294394375601,74680427184,1007395726315,1368005467295,152986629000,279676027150,702715106735,172961146693,559893313795,506823153771,304310064363,78078526348,1856353467,516921702765,1512741375763,95656305380,1421116551425,440013332700,8210408927,4876575466833,509141031419,550664394805,10375513438,631460664086,71844026758,292046273612,67825987459,155169162021,968798673989,172067945008,21151668101,209014642250,385809684594,5529426133,19298511287,56274647758
I. Các khoản phải thu dài hạn210,1464838583,33965243693,684099549,48100000,,120459899926,1974838718,244967847806,519300000,,20000000,20440000,29461032803,9295008470,,,10000000,5000000000,3911422924,,,7001000000,1500000000000,1244838583,,,,1987712226980,23000000,,1032242816,2254959045,70400000,182246717271,30667016335,,,11024600000,11993862096,,,,,
1. Phải thu dài hạn của khách hàng211,,5948610516,,,,8895728632,,,,,,,19155005465,,,,,,,,,,,,,,,,,,,,,178976077271,30667016335,,,,11932862096,,,,,
2. Trả trước cho người bán dài hạn212,,,,,,,,,,,,,,,,,,,,,,,1500000000000,,,,,397367546202,,,,,,,,,,,,,,,,
3. Vốn kinh doanh ở các đơn vị trực thuộc213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. Phải thu nội bộ dài hạn214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. Phải thu về cho vay dài hạn215,,,,,,100000000000,,,,,,,,,,,,,467663309,,,,,,,,,8580000000,,,,,,,,,,,,,,,,
6. Phải thu dài hạn khác216,1464838583,34416343693,684099549,48100000,,11564171294,1974838718,487386735129,519300000,,20000000,20440000,10306027338,9295008470,,,10000000,5000000000,3443759615,,,7001000000,,1244838583,,,,1581764680778,23000000,,1032242816,2254959045,70400000,3270640000,,,,11024600000,61000000,,,,,
7. Dự phòng phải thu dài hạn khó đòi219,,-6399710516,,,,,,-242418887323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II. Tài sản cố định220,2516314544341,3593253846771,4932004202,24085896947,7016233146,612721326189,535952304,164573265507,92785402684,52573191445,981519913120,1087413784317,104448442595,184587693265,680791221802,171807200677,546543431316,295221014380,210554066113,10380184495,1006058922,201907434402,6351897498,90376648843,1267391308406,259376176858,3293121015,99222545004,374451539371,203470557357,7848364611,519613839388,62336630196,70956993991,35702853695,3624393991,933416945825,14400161420,6841824890,208359209875,336703439827,5457977270,19298511287,1165944996
1. Tài sản cố định hữu hình221,2494378823555,2484109823637,4932004202,4346860947,7016233146,581577998549,535952304,143306141064,88988399914,52497322277,976031438140,1022723676468,60942840483,173479858231,676435750587,171807200677,546543431316,295221014380,147984775569,10380184495,1006058922,50121069803,6109493213,68450302980,1267391308406,259376176858,2428121015,808218156,374306545775,140794775067,7848364611,519613839388,62336630196,25418906760,23249670657,3624393991,928804445825,14400161420,6841824890,208359209875,336703439827,2864369863,19298511287,1165944996
- Nguyên giá222,3728184061375,11567831953084,57907826673,153399036701,89003933751,1289702991659,6320943283,605483279568,241605298704,436198602934,1694448092964,3854216188484,141210585287,211195152327,4307462200747,491430816022,1313189278143,506237604242,496453373480,30142842960,15492144017,114990874725,15170964562,554542520201,2047428101447,410548206557,48529748284,13945490888,934460202112,628077089975,92382003735,864123307699,330951377217,1086856339860,355270075456,7426687980,2370623974410,25324832174,24400745322,253507347901,822670034994,15031743938,115037572761,31743783133
- Giá trị hao mòn lũy kế 223,-1233805237820,-9083722129447,-52975822471,-149052175754,-81987700605,-708124993110,-5784990979,-462177138504,-152616898790,-383701280657,-718416654824,-2831492512016,-80267744804,-37715294096,-3631026450160,-319623615345,-766645846827,-211016589862,-348468597911,-19762658465,-14486085095,-64869804922,-9061471349,-486092217221,-780036793041,-151172029699,-46101627269,-13137272732,-560153656337,-487282314908,-84533639124,-344509468311,-268614747021,-1061437433100,-332020404799,-3802293989,-1441819528585,-10924670754,-17558920432,-45148138026,-485966595167,-12167374075,-95739061474,-30577838137
2. Tài sản cố định thuê tài chính224,20042663819,151786364599,,,,,,,,,,,33671069841,1184304334,,,,,50750572770,,,151786364599,,20042663819,,,,1509579008,,,,,,45538087231,12453183038,,,,,,,,,
- Nguyên giá225,31439369895,173582726065,,,,,,,,,,,50445669206,1589074408,,,,,54779175580,,,173582726065,,31439369895,,,,2536092728,,,,,,62105737827,26073470907,,,,,,,,,
- Giá trị hao mòn lũy kế 226,-11396706076,-21796361466,,,,,,,,,,,-16774599365,-404770074,,,,,-4028602810,,,-21796361466,,-11396706076,,,,-1026513720,,,,,,-16567650596,-13620287869,,,,,,,,,
3. Tài sản cố định vô hình227,1893056967,957357658535,,19739036000,,31143327640,,21267124443,3797002770,75869168,5488474980,64690107849,9834532271,9923530700,4355471215,,,,11818717774,,,,242404285,1883682044,,,865000000,96904747840,144993596,62675782290,,,,,,,4612500000,,,,,2593607407,,
- Nguyên giá228,2632500000,1173833999845,426000000,19889036000,,51942300349,,36307263601,4479575500,376445034,6021967408,89074087377,15606260414,11674742000,6776510046,211446165,,,20402647061,863931250,,1300192426,1824000000,2290000000,152715000,,865000000,141433771297,22137685194,63965628290,,404750000,,3165913000,,,4692500000,244160000,,100000000,244856000,2593607407,2350199700,
- Giá trị hao mòn lũy kế 229,-739443033,-216476341310,-426000000,-150000000,,-20798972709,,-15040139158,-682572730,-300575866,-533492428,-24383979528,-5771728143,-1751211300,-2421038831,-211446165,,,-8583929287,-863931250,,-1300192426,-1581595715,-406317956,-152715000,,,-44529023457,-21992691598,-1289846000,,-404750000,,-3165913000,,,-80000000,-244160000,,-100000000,-244856000,,-2350199700,
III. Bất động sản đầu tư230,,268304664076,,,,122596050898,,32243749055,11544085778,3109856977,,,,,,,,,36718098042,46140586642,,241306813811,,,,,,710110727757,71367706997,,,,,,,,,9659620812,,,,,,
- Nguyên giá231,,311715130165,,,,190101542163,,37252913794,20153227987,4258643532,,,,,,,,,43378125925,84040418920,,257975775291,,,,,,865371722010,162762009132,,,,,,,,,15969920460,,,,,,
- Giá trị hao mòn lũy kế232,,-43410466089,,,,-67505491265,,-5009164739,-8609142209,-1148786555,,,,,,,,,-6660027883,-37899832278,,-16668961480,,,,,,-155260994253,-91394302135,,,,,,,,,-6310299648,,,,,,
IV. Tài sản dở dang dài hạn240,9348496021,122014021082,,,362539376,1113230833612,1252495865,107965522813,33313037581,,77431995,424297740,1679284300,72301687956,6738210572,,7433256569,32134463708,2936368562,,350294545,2240671822,780588778,,,173377630254,,612337067231,56350000,98284072612,,76958044149,,1749133737,,64619450000,20003862675,80701112441,,,25257022207,,,
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn241",,,,,,789090203476,,,19771673801,,,,,,,,,,,,,,,,,,,612337067231,,,,,,,,,,75902112441,,,,,,
2. Chi phí xây dựng cơ bản dở dang242,9348496021,122014021082,,,362539376,324140630136,1252495865,107965522813,13541363780,,77431995,424297740,1679284300,72301687956,6738210572,,7433256569,32134463708,2936368562,,350294545,2240671822,780588778,,,173377630254,,,56350000,98284072612,,76958044149,,1749133737,,64619450000,20003862675,4799000000,,,25257022207,,,
