Mã CK,BTH,BTN,BTP,BTS,BTT,BTU,BTV,BTW,BVG,BVL,BVN,BWA,BWE,BWS,BXH,C21,C22,C32,C47,C4G,C69,C92,CAD,CAG,CAN,CAP,CAR,CAT,CBI,CC1,CC4,CCA,CCC,CCI,CCL,CCM,CCP,CCR,CCT,CCV,CDC,CDG,CDH,CDN,CDO
I. Tiền và các khoản tương đương tiền110,380642090,78782731,89293046945,100187314397,73533142843,28788215426,21802858876,85407192689,3927195765,19775486881,2675288257,3493227636,1006668267497,152568157770,12127263193,82423251675,39099193216,49051184329,161673884096,225390039246,38860091232,184255507168,917632882,10824353350,22143304133,94467547790,12649502081,20405436038,1132409108,2624815427021,95449174123,23610628185,257554863200,26342650459,10973779139,57694501989,1020186949,34003114204,36371971943,24395230361,23693652340,3229175291,14402067420,52257397680,1886361957
1. Tiền111,380642090,78782731,1293046945,100187314397,53510606872,11288215426,21802858876,80407192689,127195765,10775486881,2675288257,3493227636,227648130510,8268157770,12127263193,69382418028,39099193216,19051184329,159135884096,97941137111,13860091232,179255507168,917632882,10824353350,22143304133,64467547790,12649502081,20405436038,1132409108,1685975337147,35314803735,23610628185,257554863200,15362452166,10973779139,57694501989,1020186949,11003114204,15642645058,15895230361,12743652340,3229175291,658888114,8814878870,1886361957
2. Các khoản tương đương tiền112,,,88000000000,,20022535971,17500000000,,5000000000,3800000000,9000000000,,,779020136987,144300000000,,13040833647,,30000000000,2538000000,127448902135,25000000000,5000000000,,,,30000000000,,,,938840089874,60134370388,,,10980198293,,,,23000000000,20729326885,8500000000,10950000000,,13743179306,43442518810,
II. Đầu tư tài chính ngắn hạn120,979511601647,,200000000000,,37100000000,6000000000,39500000000,46100000000,30500000000,45707636946,24109370466,,404532270375,152135000000,,40724802032,,50667277546,113150000000,37458202959,213351000000,12947000000,,52000000000,7501725000,,,42928944263,,91122453973,24800000000,98500000000,53000000000,454772798600,22042849,20001650000,50000000000,1500000000,24891034137,58650000000,368964722794,,261000000,594705389668,
1. Chứng khoán kinh doanh121,,,,,,,,,,47744778365,27309060717,,,,,55989200000,,54981548758,,,,,,,,,,,,,,,,75364375129,,1650000,,,,,908159855,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh122,,,,,,,,,,-2037141419,-3199690251,,,,,-37480720000,,-4314271212,,,,,,,,,,,,,,,,-14571576529,,,,,,,-189059630,,,,
3. Đầu tư nắm giữ đến ngày đáo hạn123,979511601647,,200000000000,,37100000000,6000000000,39500000000,46100000000,30500000000,,,,404532270375,152135000000,,22216322032,,,113150000000,37458202959,213351000000,12947000000,,52000000000,7501725000,,,42928944263,,91122453973,24800000000,98500000000,53000000000,393980000000,22042849,20000000000,50000000000,1500000000,24891034137,58650000000,368245622569,,261000000,594705389668,
III. Các khoản phải thu ngắn hạn130,121027028216,2767093526,64499354142,86230335085,8870010260,58935776965,199046693450,9214343899,2682093424,723042522487,4759252431,7228919106,1711965558718,13647449247,66402250883,124281732473,58569957820,103832984401,390220728476,4210839614547,241582402234,213341687168,1991601426,21943987613,61948160378,33862902087,12504651184,96390810620,7457221252,5799520697819,967065024782,360077930429,1042665109971,16483519314,662276350934,213874445122,472520026,13124798373,37978367956,72945720562,865338817827,5450418992,46462608656,200516045459,61647474542
1. Phải thu ngắn hạn của khách hàng131,99008377314,1664713189,48639089087,34969257149,1533715035,65198648477,132030246676,11460895440,,220251366927,16813203684,3110041963,459162727832,8777559002,64444719394,779650902,59209635152,110790087803,257064886702,1003828810189,56681243912,90837684578,171405725640,10495861227,55263743196,28457078662,4644448750,90270869734,,1926390184783,581170079787,317777815940,930896095948,12125161140,167118672863,159903759533,247948040,11674489541,41791138725,67140403487,218765602312,3909872124,45767744342,157969922252,42879160699
2. Trả trước cho người bán ngắn hạn132,1241383478,1116859760,,1621483217,364062316,1699109677,57777025624,425076088,21180000,13553357688,5995271751,4838300000,85120075000,2035029460,53611680,118618108256,83220450,17535782771,100642672541,715351198646,38865372588,31404282022,14513084256,422435000,7482289214,4395329964,3327711000,2739815600,3088701798,3519675378150,215943419822,39241837042,109378667097,6029850723,389618235147,51809156686,,1837955000,2941699320,458656736,427013317539,1771877102,60000000,35846621728,28183586910
3. Phải thu nội bộ ngắn hạn133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. Phải thu về cho vay ngắn hạn135,,,,,13140000000,,,,,472649000000,,,120140000000,,,,,,,2107463400998,58000000000,,,,,,,,,24762012331,124700000000,,,,,,,,,,56352000000,,,,
6. Phải thu ngắn hạn khác136,20777267424,14394218,15860265055,49639594719,1881732909,2095982235,21202021458,482323508,2660913424,28714648808,5283356765,393260786,1091564448719,3238327035,1903919809,11252222381,178099881,9627802181,55511092034,456938763598,88035785734,115630425350,14433111382,12610212540,8160391793,1122683436,4505488582,3380125286,6105642171,551084542015,49663724183,3058277447,3849971568,5443232143,105539442924,14007639860,224571986,868112960,6705565028,7293033730,198130107000,148537043,634864314,9470468458,15557779601
7. Dự phòng phải thu ngắn hạn khó đòi137,,-28873641,,,-8049500000,-10057963424,-11962600308,-3153951137,,-12125850936,-23604359477,-1112683643,-44021692833,-403466250,,-6368249066,-900997663,-34120688354,-22997922801,-72742558884,,-24530704782,-198774652473,-1584521154,-8958263825,-112189975,,,-1737122717,-222391419460,-4412199010,,-1459624642,-7114724692,,-11846110957,,-1255759128,-13460035117,-1946373391,-34995980387,-379867277,,-2770966979,-24973052668
8. Tài sản thiếu chờ xử lý139,,,,,,,,,,,271779708,,,,,,,,,,,,414332621,,,,27002852,,,,,,,,,,,,,,73771363,,,,
IV. Hàng tồn kho140,140438316866,2056818109,151006330357,477009129470,48762233800,6344633502,40514306363,25064720944,,649599226224,578217375,1780065998,1233109787901,45047924181,15181984080,981805677,49104309721,85600206905,693297966711,850791776728,560561959791,112819850217,177191596,2568144454,145314363141,115588167636,993134322,198805820349,893248572777,1494570076154,161269615893,217973697623,541626825319,6176180893,254587711466,84147303487,,1507976918,561760776,114792658013,337990318787,10505519764,,17975621388,
1. Hàng tồn kho141,140438316866,2556705752,151006330357,477009129470,48762233800,6344633502,40514306363,25064720944,,649599226224,578217375,1780065998,1233109787901,45047924181,15401328592,981805677,49104309721,94713135959,693297966711,850791776728,560561959791,112819850217,40245566597,2568144454,148254305812,115588167636,993134322,203840150769,903165045966,1495012581159,161269615893,217973697623,541626825319,6176180893,254587711466,84147303487,,1507976918,561760776,114813729503,337990318787,10623011774,,17975621388,
2. Dự phòng giảm giá hàng tồn kho 149,,-499887643,,,,,,,,,,,,,-219344512,,,-9112929054,,,,,-40068375001,,-2939942671,,,-5034330420,-9916473189,-442505005,,,,,,,,,,-21071490,,-117492010,,,
V. Tài sản ngắn hạn khác150,47953622,1602574328,20941397895,26479896290,3278544635,501244090,4479249249,12311228765,,46089329089,21207617,950284500,117297692928,3965936467,293182534,899977671,,4298472496,129517562,19527740503,1775304291,1086249567,1138474479,3297109057,5092602456,58984640,3223970084,5550490140,42350208287,372301591121,1512942648,21641181241,350493619,84450000,,11488793151,21603189,510022267,326366437,1589948753,10709492929,8185810,,74890571483,10891562102
1. Chi phí trả trước ngắn hạn151,47953622,116407405,801898734,12434605253,1599057050,381253885,4403966613,6990225337,,29293725043,14001665,,30018931474,,69307802,213639215,,743960234,30197256,2404276950,358939353,,810491776,358905285,2436289663,58984640,2193567334,1252676494,23739313886,49646055836,690988376,4468735565,298938871,84450000,,11358310138,,447022889,326366437,1299212315,1018273240,,,11386915953,11385044
2. Thuế GTGT còn được khấu trừ152,,1486166923,12463860379,13915158586,1679487585,,282636,3968957750,,14836371284,132300,950284500,86840345975,,223874732,683893887,,10169666,88962319,14046958007,1415880638,1086249567,,,2175140266,,1030402750,4297813646,17354287043,138520229027,821483160,17172445676,51554748,,,130483013,21603189,,,2718299,6108598832,,,63503655530,10880177058
3. Thuế và các khoản khác phải thu của nhà nước153,,,7675638782,130132451,,119990205,75000000,1352045678,,1959232762,7073652,,438415479,3965936467,,2444569,,3544342596,10357987,3076505546,484300,,327982703,2938203772,481172527,,,,1256607358,184135306258,471112,,,,,,,62999378,,288018139,3582620857,8185810,,,
4. Giao dịch mua bán lại trái phiếu Chính phủ (TS)154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. Tài sản ngắn hạn khác155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B. TÀI SẢN DÀI HẠN200,82297010296,50391005183,745874584045,2404333210212,334032659128,12443775071,176223857132,202597603726,17911850871,303832997109,91068781585,38898201920,9725951766009,893663140246,3668857660,739917638093,31254040423,495142314123,514737798713,4065208869317,135458520920,40475565113,7218759823,57485236423,44657838419,25985903798,33711708555,83313774882,1022074395559,6345680276060,575205375772,83977035491,188654803167,290956591438,203748555551,374757828155,1317469697,264084729617,260946426647,8302296060,399335567232,33497578944,20792021351,1519829679804,157495811217
