Mã CK,BTH,BTN,BTP,BTS,BTT,BTU,BTV,BTW,BVG,BVL,BVN,BWA,BWE,BWS,BXH,C21,C22,C32,C47,C4G,C69,C92,CAD,CAG,CAN,CAP,CAR,CAT,CBI,CC1,CC4,CCA,CCC,CCI,CCL,CCM,CCP,CCR,CCT,CCV,CDC,CDG,CDH,CDN,CDO
"Lãi, lỗ do thanh lý TSCĐ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thu nhập lãi vay và cổ tức,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phân bổ lợi thế thương mại,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Điều chỉnh cho các khoản khác,,,,,,,,,,,,51271594,,,,1250137947,,,,,,,,,,,,,,,,,,,,,,3421826,,,,,,,-365588487
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động08,,,33208971188,102324049218,71738135767,20187906264,35050459154,95279971429,-272439594,44933554859,,4907188337,1660506227043,357983583372,2343357197,-20701348092,,33433914588,103530885060,493629585135,41874657446,,,3232321232,14380843187,54038637500,8353441707,52126340068,26187443637,326822372249,78553224103,,66957305890,,,,4863006229,42717304330,24920916314,14345400232,58435906300,3153129101,7114686034,507551480676,-5059261497
"Tăng, giảm các khoản phải thu09",,,11120252314,32588340235,1046976456,-25265025527,-3438788802,-2104355671,4618829312,177173664650,,-1512416713,-70221383130,8001861732,9154894427,9574452394,,39799004691,-13129853240,19781740475,283373549929,,,-2680580364,-1240121979,-6369271399,-564690138,-36528881990,-17469769197,-1613027950184,-226292814831,,-285292917705,,,,170223693,6516107475,2333899298,-7306158219,-803377958454,-2614539685,-4038580528,-21637427114,3142288940
"Tăng, giảm hàng tồn kho10",,,15753726211,178443862270,-12190867437,4494341456,4951138367,-1346663072,,-113476856986,,1337846045,-309889463530,10897661109,10105151309,-747892215,,9273800715,162334092525,-54456356519,-88115213686,,,34590890,129614241439,-84093846038,-333077322,37805961503,-109176089594,-534120944627,55643169106,,-12336227154,,,,2842105,-779555829,363350023,-1981072980,-160471584649,2564857894,,3166901245,157689161
"Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập phải nộp)11",,,35186921364,-89277169180,-4238660952,14820469210,-34970395715,-1530691281,10442556164,208379450634,,-617947193,24155553372,14010536009,-6241169174,-117763756444,,-6165322038,94312698368,-304375048677,-77391777747,,,-235134133,2893137863,1235900270,-2217342809,-3252381987,206351848467,-290936910783,209341280355,,317495401587,,,,1746700226,327429417,2817238785,16464566303,315693156428,26824992,5424978485,64443758198,-2400000000
"Tăng, giảm chi phí trả trước12",,,5611026395,-7524533091,-2792324343,762549289,2779495519,-3665199115,-4014276,-1915739981,,357484582,-25406441044,-23766005009,422515879,564977213,,2891927661,1924376632,-39364686821,878438810,,,-499733708,-346282923,-774112033,-2260344917,500449095,4640479736,-19324133777,12545108554,,1311781306,,,,383489394,-1068696358,2183132442,-468077303,3392550807,-1721598275,,9476715321,23148901
"Tăng, giảm chứng khoán kinh doanh13",,,,,,,,,,-31390575032,,,,,,46373640000,,-5080312392,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tiền lãi vay đã trả13,,,-4143452269,-69767895199,,,-4255918995,-854478973,,-12305381815,,,-351620150845,,-406938679,,,-11813303904,-52915725592,-189635493288,-16877681781,,,,-5638571571,-1425148781,-167333513,-9761172464,-43145479049,-253953136216,-8992918813,,-16927226993,,,,,-778333322,,,-58062417225,-152860943,,-19938199234,
Thuế thu nhập doanh nghiệp đã nộp14,,,,,-12427427300,-1060701325,,-14134867462,,-15276245858,,-422567695,-69307304832,-23028365553,-254957343,-5133227867,,,-9272844530,-27970770253,-5082246793,,,,-3338694137,-8730678373,-1001129404,-2827128928,-214172328,-71443627406,-15071865595,,-11358148831,,,,-3408000000,-4272223934,-1914305012,-4070601057,-5918147206,-213057552,-1021995014,-91463757654,-28515306
Tiền thu khác từ hoạt động kinh doanh15,,,89500000,,,94353833,35820000,100366667,,,,,,,,,,,,,,,,,,,,,1103000000,,,,,,,,,,,,,,,,
Tiền chi khác từ hoạt động kinh doanh16,,,-11791729110,-1059935728,,-1327689498,,-12755099141,,-2794090992,,-306231851,-113191802413,-26695933867,-537551000,,,-911480585,-464858000,-4565197994,-350860000,,,-578321622,-2912200000,-4902360000,,-3154144754,-3344109262,-2552878689,-720000000,,,,,,-69435000,-209928098,,-2908479054,-2524850000,-269403526,-1523299000,-21721724511,
Lưu chuyển tiền thuần từ hoạt động kinh doanh20,,,85035216093,145726718525,41135832191,12706203702,151809528,58988983381,14784931606,253327779479,,3743355512,745025234621,317403337793,14585302616,-87833155011,,61428228736,286318771223,-106956227942,138308866178,,,-726857705,133412351879,-51020878854,1809523604,34909040543,64933152410,-2458537209433,105005182879,,59849968100,,,,3688826647,42452103681,30704231850,14075577922,-652833343999,773352006,5955789977,429877746927,-4164649801
II. Lưu chuyển tiền từ hoạt động đầu tư,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1. Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác21",,,-308518519,-171489850414,-684300000,-6216347074,-160650000,-45060538884,,-3047134004,,-19558495936,-639065368576,-93858411938,-61550000,,,-6443931631,-10458144378,-31945474355,-7406171976,,,,-1174331648,-7313963156,-4072579123,-3414070457,-36769322548,-244781401677,-14640767573,,-1712044787,,,,-212800000,-12371975579,-335115740,-206512727,-469217273,-341120931,-730000000,-537394285447,-152727273
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác22",,,45455,,23181818,,3750000,,,,,,1345136449,,306818,,,269432611,1713989899,16001497483,699090909,,,,,,,502709091,,2855947238,,,8400000,,,,22599591698,444444445,,,,3136235567,,1657500001,
"3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác23",,,-335000000000,,-72250000000,-6000000000,-19240000000,-27000000000,-26550000000,-590135778000,,,-444434377335,-334900000000,,-12800000000,,,-113150000000,-1725758240197,-369745000000,,,-52000000000,-16542042810,,,-21755301761,,-116601453973,-82053790333,,-104953678631,,,,-87500000000,-2500000000,-11320000000,-18150000000,-244420153708,,-261000000,-168750000000,
"4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác24",,,390000000000,,103163000000,,11740000000,23000000000,25930126729,377880000000,,7956156553,70800000000,310000000000,,15400000000,,1270000000,2000000000,1392663092659,342342935000,,,52000000000,9040317810,117400000000,,,,71978081274,24553790333,,255269744336,,,,59500000000,3000000000,,15000000000,206487785619,3000000000,,203564778991,
5. Tiền chi đầu tư góp vốn vào đơn vị khác25,,,,,,,-31949895541,,-12500000000,-162969953704,,,-894237662020,,,-227935000000,,,,-57420000000,-86450000000,,,,,,,,,-216000000000,,,-66500000000,,,,,,,,-44946728322,,,,
6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác26,,,,,,,,,,4500000000,,,,,,231421250000,,,,22860000000,65362375000,,,,,,,,,973966619000,6279624679,,,,,,,,,,25700000002,,,91800000,5000000000
"7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia27",,,67506400533,434730145,6424646745,530357082,6482487637,2021032726,2186769067,14566896085,,56760769,124423951489,23092417247,74251590,113154783983,,6059563038,17007547528,93898646055,9967688049,,,4317364384,29147343,5504155724,15363661,1655420798,34349859,178300741154,10160717800,,22354941637,,,,2513840734,1170675255,1267637450,3879757154,23236138637,236549023,241062847,30398174889,36166
8. Tăng giảm tiền gửi ngân hàng có kỳ hạn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9. Mua lại khoản góp vốn của cổ đông thiểu số trong công ty con,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10. Tiền thu khác từ hoạt động đầu tư,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11. Tiền chi khác cho hoat động đầu tư,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lưu chuyển tiền thuần từ hoạt động đầu tư30,,,122197927469,-171055120269,36676528563,-11685989992,-33124307904,-47039506158,-10933104204,-359205969623,,-11545578614,-1781168319993,-95665994691,13008408,119241033983,,1155064018,-102886606951,-289700478355,-45229083018,,,4317364384,-8646909305,115590192568,-4057215462,-23011242329,-36734972689,649718533016,-55700425094,,104467362555,,,,-3099367568,-10256855879,-10387478290,523244427,-34412175045,6031663659,-749937153,-470432031566,4847308893
III. Lưu chuyển tiền từ hoạt động tài chính,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu31",,,,,,,,,,200261570776,,,,,,,,,,,,,,,,,11880090000,,,113000000000,,,70875000000,,,,,,,,148700000000,,,,
"2. Tiền chi trả vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. Tiền thu từ đi vay33,,,,2266482212557,,,407660757590,,,342472610660,,9800000000,5284781291631,,28043950144,10600000000,,593514032105,420423280591,1734402102360,968409091396,,,,471771414379,83528774154,6975758187,710477627584,1217365760309,7300746607642,275024178639,,1043652309192,,,,,,,,1539951278033,7496282373,,186374840261,
4. Tiền chi trả nợ gốc vay34,,,-43868373950,-2270435556407,,-64545455,-371034264287,-4031443468,,-424612599432,,,-3887791663511,,-37296950144,-9200000000,,-670261376360,-433545700762,-1793727234131,-1051078168642,,,,-581882572168,-83528774154,-6975758187,-715549482909,-1263528070730,-5687248238510,-288554162935,,-1110427725311,,,,,-1620000000,-6716000000,,-1093863644405,-8472953132,,-80161600000,
5. Tiền trả nợ gốc thuê tài chính35,,,,,,,,,,,,,,,,,,,-30702266645,-27398388556,,,,,,,,,-1136724000,-14128099392,,,,,,,,,,,-448875000,,,,
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu 36",,,-196884024933,-5475488250,-45182245399,-3597910000,,-20783814516,,-22626067862,,-1204212750,-9648780000,-99437326400,-753010000,,,,,-446885901,,,,-2312409080,-5991916200,-50242835500,,-10107264300,,-43099800,-37963878500,,-8050000000,,,,,-11378314187,,-5641971103,-4633873200,-3291665450,-1000000000,-138600000000,
7. Tiền thu khác từ hoạt động tài chính,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8. Tiền chi khác cho hoạt động tài chính,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lưu chuyển tiền thuần từ hoạt động tài chính40,,,-240752398883,-9428832100,-45182245399,-3662455455,36626493303,-24815257984,,95495514142,,8595787250,1387340848120,-99437326400,-10006010000,1400000000,,-76747344255,-43824686816,-87170406228,-82669077246,,,-2312409080,-116103073989,-50242835500,11880090000,-15179119625,-47299034421,1712327169940,-51493862796,,-3950416119,,,,,-12998314187,-6716000000,-5641971103,589704885428,-4268336209,-1000000000,-32386759739,
Lưu chuyển tiền thuần trong kỳ50,,,-33519255321,-34757233844,32630115355,-2642241745,3653994927,-12865780761,3851827402,-10382676002,,793564148,351197762748,122300016702,4592301024,32807878972,,-14164051501,139607477456,-483827112525,10410705914,,,1278097599,8662368585,14326478214,9632398142,-3281321411,-19100854700,-96491506477,-2189105011,,160366914536,,,,589459079,19196933615,13600753560,8956851246,-97540633616,2536679456,4205852824,-72941044378,682659092
Tiền và tương đương tiền đầu kỳ60,,,122812302266,134944548241,40897975301,31430457171,18156061696,98272973450,75368363,30158162883,,2699663488,655358928798,30268141068,7534962169,49615372703,,63215235830,13954166449,709218094444,28449161922,,,9546241903,13399202616,80955321149,3017103939,23509688734,20233263808,2721289783761,97638279134,,97187948664,,,,429538195,14806180589,22769228997,15298121124,121234285956,692238256,10196214596,125130822803,1203702865
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ61,,,,,5052187,,-7197747,,,,,,111575951,,,,,,8112240191,-942673,223396,,,13848,81732932,-814251573,,177068715,,17149737,,,,,,,1189675,,1989386,140257991,,257579,,67619255,
Tiền và tương đương tiền cuối kỳ (70 = 50 +60 + 61)70,,,89293046945,100187314397,73533142843,28788215426,21802858876,85407192689,3927195765,19775486881,,3493227636,1006668267497,152568157770,12127263193,82423251675,,49051184329,161673884096,225390039246,38860091232,,,10824353350,22143304133,94467547790,12649502081,20405436038,1132409108,2624815427021,95449174123,,257554863200,,,,1020186949,34003114204,36371971943,24395230361,23693652340,3229175291,14402067420,52257397680,1886361957
LƯU CHUYỂN TIỀN TỆ TRỰC TIẾPMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I. Lưu chuyển tiền từ hoạt động kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1. Tiền thu từ bán hàng, cung cấp dịch vụ và doanh thu khác01",1078720846968,20600376866,,,,,,,,,87903287454,,,,,,360127453531,,,,,487502536635,16353386173,,,,,,,,,1263316953680,,431662568203,263219797236,1054376502488,,,,,,,,,
2. Tiền chi trả cho người cung cấp hàng hoá và dịch vụ02,-215926783657,-14392633173,,,,,,,,,-65740101772,,,,,,-299902852052,,,,,-301815874986,-6629773871,,,,,,,,,-1032175233887,,-378329623715,-255845559090,-874090117110,,,,,,,,,
3. Tiền chi trả cho người lao động03,-2893051701,-2848698807,,,,,,,,,-3746341752,,,,,,-38351353861,,,,,-30728364078,-6877762987,,,,,,,,,-138427781255,,-12682261106,-9448695900,-70571601034,,,,,,,,,
4. Tiền chi trả lãi vay04,-16496075576,-199676153,,,,,,,,,-76486600,,,,,,-8957852,,,,,-8645084041,,,,,,,,,,-22299893305,,,-35759423027,-12832947334,,,,,,,,,
5. Tiền chi nộp thuế thu nhập doanh nghiệp05,-94391662008,,,,,,,,,,-3542763395,,,,,,-2548652013,,,,,-1348511302,,,,,,,,,,-323222754,,-10090455112,-15321673390,-6416898559,,,,,,,,,
6. Tiền thu khác từ hoạt động kinh doanh06,60931523460,458209132,,,,,,,,,10237226560,,,,,,1803155514,,,,,29686530179,3234994684,,,,,,,,,11323690425,,49397708114,173426511026,11003414016,,,,,,,,,
7. Tiền chi khác cho hoạt động kinh doanh07,-99059460471,-1690497267,,,,,,,,,-14576921640,,,,,,-28405434763,,,,,-108975173759,-5894466353,,,,,,,,,-49460821737,,-55236363981,-137793584454,-19445804232,,,,,,,,,
Lưu chuyển tiền thuần từ hoạt động kinh doanh20,710885337015,1927080598,,,,,,,,,10457898855,,,,,,-7286641496,,,,,65676058648,186377646,,,,,,,,,31953691167,,24721572403,-17522627599,82022548235,,,,,,,,,
II. Lưu chuyển tiền từ hoạt động đầu tư,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1. Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác21",-43611111,,,,,,,,,,-8185639626,,,,,,-3495509054,,,,,-4346781818,,,,,,,,,,-2563192891,,-6442756292,,-24525925251,,,,,,,,,
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác22",,,,,,,,,,,,,,,,,,,,,,2018265995,,,,,,,,,,258000000,,70000000,,277441078,,,,,,,,,
"3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác23",-1016828083291,,,,,,,,,,,,,,,,,,,,,-21896000000,,,,,,,,,,-20000000000,,-744180000000,-1000000,-30000000000,,,,,,,,,
"4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác24",230911481644,,,,,,,,,,,,,,,,,,,,,42846000000,,,,,,,,,,,,713500000000,43596800000,30000000000,,,,,,,,,
5. Tiền chi đầu tư góp vốn vào đơn vị khác25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4266000000,,,,,,,,,
"7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia27",7713236388,175097,,,,,,,,,39396034,,,,,,253122416,,,,,1334242268,154256,,,,,,,,,5482553426,,25307838990,335386862,7378727397,,,,,,,,,
8. Tiền thu khác từ hoạt động đầu tư,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9. Tiền chi khác cho hoat động đầu tư,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lưu chuyển tiền thuần từ hoạt động đầu tư30,-778246976370,175097,,,,,,,,,-8146243592,,,,,,-3242386638,,,,,19955726445,154256,,,,,,,,,-16822639465,,-11744917302,43931186862,-12603756776,,,,,,,,,
III. Lưu chuyển tiền từ hoạt động tài chính,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18066837982,,,,,,,,,,,,,
"2. Tiền chi trả vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. Tiền thu từ đi vay33,256377548595,1650000000,,,,,,,,,,,,,,,,,,,,133117400380,,,,,,,,,,981088196600,,,215507600891,750108965748,,,,,,,,,
4. Tiền chi trả nợ gốc vay34,-153885416365,-3650434161,,,,,,,,,-1173502124,,,,,,-6287722764,,,,,-124166311470,,,,,,,,,,-1001240316600,,,-233116822966,-788234978182,,,,,,,,,
5. Tiền trả nợ gốc thuê tài chính35,,,,,,,,,,,,,,,,,,,,,,-2106976412,,,,,,,,,,,,,,,,,,,,,,,
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu36",-42492263300,,,,,,,,,,,,,,,,-3550000000,,,,,,,,,,,,,,,-12219665550,,-22991410150,,-12399782500,,,,,,,,,
7. Tiền thu khác từ hoạt động tài chính,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8. Tiền chi khác cho hoạt động tài chính,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lưu chuyển tiền thuần từ hoạt động tài chính40,59999868930,-2000434161,,,,,,,,,-1173502124,,,,,,-9837722764,,,,,6844112498,,,,,,,,,,-14304947568,,-22991410150,-17609222075,-50525794934,,,,,,,,,
Lưu chuyển tiền thuần trong kỳ (50=20+30+40)50,-7361770425,-73178466,,,,,,,,,1138153139,,,,,,-20366750898,,,,,92475897591,186531902,,,,,,,,,826104134,,-10014755049,8799337188,18892996525,,,,,,,,,
Tiền và tương đương tiền đầu kỳ60,7742412515,151961197,,,,,,,,,1537555118,,,,,,59465077756,,,,,91779609577,728185703,,,,,,,,,22303845905,,36357405508,2174441951,38801505464,,,,,,,,,
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ61,,,,,,,,,,,-420000,,,,,,866358,,,,,,2915277,,,,,,,,,480678146,,,,,,,,,,,,,
Tiền và tương đương tiền cuối kỳ (70 = 50+60+61)70,380642090,78782731,,,,,,,,,2675288257,,,,,,39099193216,,,,,184255507168,917632882,,,,,,,,,23610628185,,26342650459,10973779139,57694501989,,,,,,,,,
Kỳ/năm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
