Mã CK,DNM,DNN,DNP,DNT,DNW,DOC,DOP,DP1,DP2,DP3,DPC,DPG,DPH,DPM,DPP,DPR,DQC,DRC,DRG,DRH,DRI,DRL,DS3,DSD,DSG,DSH,DSN,DSP,DST,DTA,DTB,DTC,DTD,DTE,DTG,DTH,DTI,DTK,DTL,DTP,DTT,DUS,DVC,DVG,DVM,DVN,DVP
II. Tài sản cố định220,75051039935,1002883388396,7280658796375,24287235387,2457823713725,254075078,54941278630,88386399387,132236602153,139826921768,36873050110,2199511918819,13664891509,2711222351120,11599658256,1380599187540,306890539499,1212844160341,1395977643618,312469657,375452097992,36853487147,1296556428,518079391533,49854923098,11758129433,21540889983,101368325633,,18842851007,4996259351,105803710222,353472347551,,97526831759,77375037933,699172956,8327158905784,305718365709,372804359218,80217618755,31981891143,33089363007,77725199077,369926562095,281174501833,218212559233
1. Tài sản cố định hữu hình221,49496390122,1000790221728,5710514270634,20868617387,2162478110704,254075078,54575278630,60521166587,132236602153,119625437011,36873050110,2156574203965,13105167229,1852113498553,11492158257,1379293885186,216166407250,1210473546507,1370922129988,312469657,370055797147,36853487147,1296556428,517801752637,49854923098,11758129433,21492566183,101098377053,,10568211007,4996259351,105803710222,353472347551,,96976831759,72877383320,699172956,8271515006763,289341389027,358103670008,65024611779,31892057786,33089363007,48840351119,137783362447,174474438246,217477397938
- Nguyên giá222,154905522747,2575899715202,11513561992434,104438444592,5504244096915,27186129977,133932166427,214315145753,289655763230,236284459332,70845216342,3319215970107,90091262715,11632992941593,50581886796,2549109889918,458076208567,3738658215972,2576969002419,1886306317,752260910267,159888973928,15222691967,711670029795,404048121090,21696459007,106100790292,614899401102,,18551966711,15344324599,363802177476,497272370965,,202174138982,318924555762,1124723637,34121247015038,607244785074,670397525616,170083104617,93437566475,71067642753,73557107520,210955566678,518506151736,1354486939050
- Giá trị hao mòn lũy kế 223,-105409132625,-1575109493474,-5803047721800,-83569827205,-3341765986211,-26932054899,-79356887797,-153793979166,-157419161077,-116659022321,-33972166232,-1162641766142,-76986095486,-9780879443040,-39089728539,-1169816004732,-241909801317,-2528184669465,-1206046872431,-1573836660,-382205113120,-123035486781,-13926135539,-193868277158,-354193197992,-9938329574,-84608224109,-513801024049,,-7983755704,-10348065248,-257998467254,-143800023414,,-105197307223,-246047172442,-425550681,-25849732008275,-317903396047,-312293855608,-105058492838,-61545508689,-37978279746,-24716756401,-73172204231,-344031713490,-1137009541112
2. Tài sản cố định thuê tài chính224,7155517814,,245290186438,,,,,,,,,,,,,,,1578975274,,,,,,,,,,,,,,,,,,,,,16376976682,,,,,,25151899997,,
- Nguyên giá225,73583613113,,283128920688,,,,,,,,,,,,,,,2370081818,,,,,,,,,,,,,,,,,,,,,30730344077,,,,,,42326474802,,
- Giá trị hao mòn lũy kế 226,-66428095299,,-37838734250,,,,,,,,,,,,,,,-791106544,,,,,,,,,,,,,,,,,,,,,-14353367395,,,,,,-17174574805,,
3. Tài sản cố định vô hình227,18399131999,2093166668,1324854339303,3418618000,295345603021,,366000000,27865232800,,20201484757,,42937714854,559724280,859108852567,107499999,1305302354,90724132249,791638560,25055513630,,5396300845,,,277638896,,,48323800,269948580,,8274640000,,,,,550000000,4497654613,,55643899021,,14700689210,15193006976,89833357,,28884847958,206991299651,106700063587,735161295
- Nguyên giá228,19499985221,11738575951,1540976977310,3742097750,375463534291,,366000000,30571666000,810751750,20461484770,,47324143575,906972000,1220829677992,480000000,3588635471,106848644907,9593841631,28092770358,2217956190,5909403812,234818182,,929175000,,58300000,20522931962,30619998950,,8274640000,,39000000,,,550000000,5336782665,,75511076961,574800000,21759934763,25937611509,461000000,53520000,29661500000,210320174528,129518873145,7095104700
- Giá trị hao mòn lũy kế 229,-1100853222,-9645409283,-216122638007,-323479750,-80117931270,,,-2706433200,-810751750,-260000013,,-4386428721,-347247720,-361720825425,-372500001,-2283333117,-16124512658,-8802203071,-3037256728,-2217956190,-513102967,-234818182,,-651536104,,-58300000,-20474608162,-30350050370,,,,-39000000,,,,-839128052,,-19867177940,-574800000,-7059245553,-10744604533,-371166643,-53520000,-776652042,-3328874877,-22818809558,-6359943405
III. Bất động sản đầu tư230,,,,,,,,,,,,,,180772898610,,128661336707,,,,86568595648,,,56086798054,,,,,,,17035052222,,,2002405737,,,,,,9583798466,,,,257257530205,,,35759475749,
- Nguyên giá231,340000000,,,,,,,,,,,,,317953542202,,227885834152,,,,94797990060,,,56841914721,,,,,,,17521768000,,,1196822065208,,,,,,19927510391,,,,348483171122,,,45821328558,
- Giá trị hao mòn lũy kế232,-340000000,,,,,,,,,,,,,-137180643592,,-99224497445,,,,-8229394412,,,-755116667,,,,,,,-486715778,,,-1194819659471,,,,,,-10343711925,,,,-91225640917,,,-10061852809,
IV. Tài sản dở dang dài hạn240,,33241663169,672524877351,143463011,168437411003,,,362866667,76805661,120000000,,493825670962,19094989116,89432287256,143322223,222471535990,3193378542,132014121535,718043206433,,36765882701,63466667,,102734345675,,,,10629550444,,351986719371,182012179,,368447695018,,,4677849928,,171818380099,248930615159,17120938691,,4089905059,,,207741675127,800200000,1141754630
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn241",,,,,,,,,,,,,,,,2791085316,,,40768437004,,,,,,,,,,,351986719371,,,,,,,,1996312053,,,,,,,,,
2. Chi phí xây dựng cơ bản dở dang242,,33241663169,672524877351,143463011,168437411003,,,362866667,76805661,120000000,,493825670962,19094989116,89432287256,143322223,219680450674,3193378542,132014121535,677274769429,,36765882701,63466667,,102734345675,,,,10629550444,,,182012179,,368447695018,,,4677849928,,169822068046,248930615159,17120938691,,4089905059,,,207741675127,800200000,1141754630
V. Đầu tư tài chính dài hạn250,100000000,,472945067211,2827363196,54845648605,,8698726352,31632167739,93960000000,,,11049000000,,34189383462,,170038255747,131074131136,5122456329,24343506476,810681733142,3000000000,,980000000,,1326401344,247755066241,,441268274857,365257295743,10450000000,,110000000,17727083512,500478880000,,1261000000,62700000000,1224938734159,,,,608015024,,30031297731,20000000000,1738533518151,103027411229
1. Đầu tư vào công ty con251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500478880000,,,,,,,,,,,,,
