Mã CK,VPW,VQC,VRC,VRE,VRG,VSA,VSC,VSE,VSF,VSG,VSH,VSI,VSM,VSN,VST,VTA,VTB,VTC,VTD,VTE,VTG,VTH,VTI,VTJ,VTK,VTL,VTM,VTO,VTP,VTQ,VTR,VTS,VTV,VTX,VTZ,VVN,VVS,VW3,VWS,VXP,VXT,WCS,WSB,WTC,X20,X26,X77
I. Tiền và các khoản tương đương tiền110,26165373851,23981327749,11881927257,2884680000000,126784068194,220057534001,546631384396,8551117592,268051911018,863599174,368164660113,102820256263,35025898191,869310775392,32588671927,5125413559,13195920709,24874223157,13072413662,38156622259,5554772212,14903058723,268342720,291993112,24944805823,4609558462,6028331590,890556025885,389553167519,6286019414,116856560614,569919353,7170421863,12158294343,328779652177,185820876553,111698069734,2703725964,12820392341,17084911557,4270495418,131447991915,69803995008,2169292383,231086174686,175420769406,40821152
1. Tiền111,26165373851,1781327749,11881927257,2884680000000,13384068194,94835534001,340111384396,2851117592,240051911018,863599174,14864660113,21795383453,18025898191,65835269913,32588671927,5125413559,6195920709,24874223157,13072413662,38156622259,3551759469,4405915118,268342720,291993112,24944805823,4609558462,6028331590,100556025885,373553167519,6286019414,100052879913,569919353,7170421863,3058294343,24312652177,180331086766,37439069734,2703725964,6820392341,17084911557,4270495418,13447991915,138995008,2169292383,231086174686,42819516114,40821152
2. Các khoản tương đương tiền112,,22200000000,,,113400000000,125222000000,206520000000,5700000000,28000000000,,353300000000,81024872810,17000000000,803475505479,,,7000000000,,,,2003012743,10497143605,,,,,,790000000000,16000000000,,16803680701,,,9100000000,304467000000,5489789787,74259000000,,6000000000,,,118000000000,69665000000,,,132601253292,
II. Đầu tư tài chính ngắn hạn120,18231784847,9000000000,,125918000000,150018633929,27820000000,806333297341,21897032998,55002150000,,39000000000,,,298100000000,,,65502301286,309650000,7700000000,7000000000,40225858438,41490000000,,,55000000000,,,,1430476324460,,15703119966,4200000000,,,437081902633,11125871694,,,5600000000,,11550000000,130580000000,329160000000,15000000000,400000000,,
1. Chứng khoán kinh doanh121,,,,,18633929,,546648172508,,2150000,,,,,,,,287396250,,,,,,,,,,,,,,,,,,,584000000,,,,,,,,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh122,,,,,,,-26064875167,,,,,,,,,,-85094964,,,,,,,,,,,,,,,,,,,-476000000,,,,,,,,,,,
3. Đầu tư nắm giữ đến ngày đáo hạn123,18231784847,9000000000,,125918000000,150000000000,27820000000,285750000000,21897032998,55000000000,,39000000000,,,298100000000,,,65300000000,309650000,7700000000,7000000000,40225858438,41490000000,,,55000000000,,,,1430476324460,,15703119966,4200000000,,,437081902633,11017871694,,,5600000000,,11550000000,130580000000,329160000000,15000000000,400000000,,
III. Các khoản phải thu ngắn hạn130,22155809720,49460032221,37634924326,2016405000000,103539911060,217564849222,354874936762,57098907430,686169072504,81654408581,584865386015,96185677996,37932791427,142400358299,134506197465,2227881440,14019939869,128563271741,129127424157,156417888808,72500090050,103338081517,74381527,14607702751,61249975181,13923511168,39029539114,101908297705,2157317142073,15423271688,2048313627545,673416790,708135095038,39971127485,583490969476,1429226838921,1405926672286,89527195706,47168198666,12882955092,42058507962,8841543357,73269045633,143114436862,75129916643,177990714344,21600000
1. Phải thu ngắn hạn của khách hàng131,19894899867,48023952658,39414992259,1674317000000,70015966148,147980263768,236744183566,40171147614,768805987211,208155059100,579658365958,71343015091,35849914748,130972862795,2303696422,1709978050,11327691298,104127540673,63576799607,149508071219,21349579779,99423613764,231845861922,1170000000,50500781987,3960981061,36647983189,66592211884,1617447246458,14951881292,251502242966,2203140560,706000141860,95567265949,572328788300,1201624039660,183009767534,79729704180,33688393733,11492892383,28860859634,5414083209,64154604812,85723862377,54984146617,136192173998,8967559344
2. Trả trước cho người bán ngắn hạn132,1453327813,1027000,1717149468,94909000000,29950052241,9567699446,18808589913,4103731158,374686371950,1133576258,10677333646,38113565166,260408419,2234243227,2095832181,755320009,1613686695,5084638910,32393179792,7065425213,1378633761,5109187507,501643155,13437702751,6757447813,264051537,361918004,5514408572,110014215870,479013714,745053559884,174202365,314902739,2175350148,2473619579,226789658650,30499520949,7845434386,1396175898,817163684,2529987739,497203336,1032196722,55332303695,20496135640,226208892,395116192
