Mã CK,NTC,NTF,NTH,NTL,NTP,NTT,NTW,NUE,NVL,NVP,NVT,NWT,NXT,OCH,ODE,OGC,OIL,ONE,ONW,OPC,PAC,PAI,PAN,PAP,PAS,PAT,PBC,PBP,PBT,PC1,PCC,PCE,PCF,PCH,PCM,PCT,PDB,PDC,PDN,PDR,PDV,PEG,PEN,PEQ
I. Tiền và các khoản tương đương tiền110,20206110831,12177682808,21156348340,577047733383,532864832803,34093204093,10512766553,54259557560,4607601921683,1781747267,85445878059,13074564076,452925960,169749007919,5106918240,190735461868,4123668695965,76029793987,96960599,175594075576,200617830195,8865491154,2958874263351,276599012946,19058250921,7285796455,228457616692,3121473191,77499885437,2277327707879,89362796812,164497235561,825952170,22777042455,5974547992,23172556710,16310248936,3177207205,278055890865,343676133736,220877351697,50049163511,15432467054,17828837160
1. Tiền111,20206110831,5177682808,15656348340,18047733383,291883664188,15020204093,10512766553,54259557560,3343715161772,1781747267,43406010411,7074564076,452925960,66949007919,5106918240,73435461868,2757928959997,76029793987,96960599,108192528527,170617830195,7865491154,1658773809652,2659617192,19058250921,7285796455,228457616692,3121473191,26627203987,734582707879,89362796812,74497235561,223072170,22777042455,2474547992,23172556710,16310248936,3177207205,50055890865,343676133736,40877351697,46246283511,15432467054,17828837160
2. Các khoản tương đương tiền112,,7000000000,5500000000,559000000000,240981168615,19073000000,,,1263886759911,,42039867648,6000000000,,102800000000,,117300000000,1365739735968,,,67401547049,30000000000,1000000000,1300100453699,273939395754,,,,,50872681450,1542745000000,,90000000000,602880000,,3500000000,,,,228000000000,,180000000000,3802880000,,
II. Đầu tư tài chính ngắn hạn120,1779105234914,,,934926236453,2492000000000,67570000000,66500000000,,31258216194,29000000000,4504900000,38343990192,324771219,26034992071,,32738333738,10852966805960,,,71068954572,555000000000,29800000000,10604459386429,,,424123068493,,35000000000,70266010000,1016759191654,17538236983,,,29963627338,3800000000,,8009137100,,412700000000,115370299200,190000000000,410000000,9161178700,
1. Chứng khoán kinh doanh121,,,,143181862000,,,,,,,,,,172559,,21755664092,168047,,,68954572,,,9895137468977,,,,,,,,,,,6974688533,,,20530730,,,,,,8794059900,
2. Dự phòng giảm giá chứng khoán kinh doanh122,,,,-11261105000,,,,,,,,,,-79359,,-15052229225,-148247,,,,,,-2001476829,,,,,,,,,,,-11061195,,,-11393630,,,,,,-382881200,
3. Đầu tư nắm giữ đến ngày đáo hạn123,1779105234914,,,803005479453,2492000000000,67570000000,66500000000,,31258216194,29000000000,4504900000,38343990192,324771219,26034898871,,26034898871,10852966786160,,,71000000000,555000000000,29800000000,711323394281,,,424123068493,,35000000000,70266010000,1016759191654,17538236983,,,23000000000,3800000000,,8000000000,,412700000000,115370299200,190000000000,410000000,750000000,
III. Các khoản phải thu ngắn hạn130,88802206920,36929551948,15856202173,104865591430,428249651492,221765407615,10703196743,40276293574,54813392824915,4974912424,70651071868,39503863771,7282001182,185581624762,129400915058,197129141591,16488183407266,192684530091,7169451208,261211292358,191740806102,21929066473,1462819354764,445759213874,441193065398,101859411092,206668011494,7658818917,65970420852,3112002764045,509394035016,126689677805,293302359,1641802751,23267207617,253009326139,127495702159,97634358182,150061265750,6860591641612,119382879882,255126217164,197719272079,112064842942
1. Phải thu ngắn hạn của khách hàng131,27658038832,31597192947,15675933930,29610673026,388318659135,215527975102,10465832675,38436335522,2996106511118,3467398146,6892138576,29314173175,7240287423,21691223141,48274027894,27957315328,10257657924743,207996223908,7305692257,282304793685,154936408793,19208955868,1268515958096,178743240,196022758111,89658173144,211124937554,7198122077,63569456700,2015189876899,400351556757,21761341272,1811158652,168394410,29910747920,52304305824,131699876357,111821792683,144099677525,2806270912856,66065320579,699154728965,110547069869,88671765412
2. Trả trước cho người bán ngắn hạn132,21372342881,5497726906,151819627,7418605296,66751850700,7175025129,362345022,1356155700,7857833385978,1685341500,13126657228,9213429136,41713759,66637766798,1466767655,66872330619,210200439931,11134442648,86500000,8340814916,25979920439,4950865600,116554048138,442443427139,142080937892,2181620952,50768678408,228316050,761818,456269424703,55606460584,103905340072,20730200,459976969,8551862,225494324253,200385949,28323165465,1541963093,3060448061894,6711072999,5622497250,9972398547,21382991173
3. Phải thu nội bộ ngắn hạn133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9187149775,,,,,,,,,,,,,,
5. Phải thu về cho vay ngắn hạn135,,,,,,,,,6050897395010,,230000000,,,10400000000,66790000000,5900000000,,,,,,,43016521247,,,,,,,309543410051,428000000,,,,,,11000000000,,,,,,,
6. Phải thu ngắn hạn khác136,62654867150,1344380663,28448616,67836313108,28721429057,341353498,413408808,983446552,37982680530513,12061107648,61450934599,1002261460,,264547268098,12870119509,274516712466,6851993590990,6532822699,12100000,7114357182,11720885063,2070470133,102068576601,3137043495,138667727472,10019616996,5184498356,363501370,2400202334,416873034466,106561896215,1022996461,111069589,1013431372,2784387779,9778438760,1411442791,3018271043,6943741356,1012414211237,56938843719,209734892677,97697198431,2434689401
7. Dự phòng phải thu ngắn hạn khó đòi137,-22883041943,-1509748568,,,-55542287400,-1278946114,-538389762,-499644200,-74124997704,-12238934870,-11048658535,-26000000,,-179687028788,,-180109612335,-838062610461,-32978959164,-234841049,-36548673425,-896408193,-4301225128,-67342308603,,-35578358077,,-60410102824,-131120580,,-95060131849,-53682759525,,-1650571634,,-9436479944,-34567742698,-16816002938,-45528871009,-2524116224,-18541544375,-10332357415,-659425953623,-20497394768,-424603044
8. Tài sản thiếu chờ xử lý139,,,,,,,,,,,,,,1992395513,,1992395513,6394062063,,,,,,6559285,,,,,,,,128880985,,915552,,,,,,,,,40051895,,
IV. Hàng tồn kho140,790112410,24484554411,727970107,500380669404,1005126876948,389790016266,5263096561,10198791894,146607440687432,14110211870,12442074240,990485209,18310115652,228885001731,3952884362,233301649588,3540185208884,57564598612,,383110032676,696245897537,945071611,3107471529126,141046120,305128470913,84699844431,181198323077,58166939145,29151382921,1587602430478,141318148337,980381541,230024426,48751919914,14522930051,11734878250,14214395276,87597962,1740744011,14077663631758,34200705229,51353262159,25708501090,59925892481
1. Hàng tồn kho141,790112410,24622253897,727970107,500380669404,1005160488222,389790016266,5517895469,10198791894,147027941663523,16901499376,12442074240,990485209,18310115652,331138228504,3952884362,335554876361,3540400938532,59518805681,,390298973550,701548787054,945071611,3151592134375,141046120,308177605099,84699844431,181307079046,58166939145,29151382921,1587734464304,141687139620,980381541,230024426,48751919914,17120440027,11734878250,14214395276,87597962,1740744011,14077663631758,34200705229,51353262159,25708501090,63297979562
2. Dự phòng giảm giá hàng tồn kho 149,,-137699486,,,-33611274,,-254798908,,-420500976091,-2791287506,,,,-102253226773,,-102253226773,-215729648,-1954207069,,-7188940874,-5302889517,,-44120605249,,-3049134186,,-108755969,,,-132033826,-368991283,,,,-2597509976,,,,,,,,,-3372087081
V. Tài sản ngắn hạn khác150,15682709563,308634194,127181595,627450511,14641061811,26507740232,760606796,840336144,1771385148460,1168552499,7618519285,328960883,836302667,18362547455,31455667,22332270631,538074446616,485496993,,12850969715,188657252016,494034654,149460709583,21779304169,1365947820,1482399970,161376098956,953983153,1706666532,92287997168,1525454772,674438912,7675311837,1812212789,143624315,115139891261,887408863,2281751324,427960525,85222234920,72440727740,12296356049,6347521052,256443238
1. Chi phí trả trước ngắn hạn151,,114683213,127181595,,12467355826,1923249180,,128547253,432530802027,188750201,4071534489,328960883,803134451,4647983605,31455667,3121996508,48244067966,189440950,,1126232928,5646799672,493154104,34759382207,4727501,363673048,995790133,3635354640,284592989,1706666532,17708787217,527414329,674438912,20384331,413545561,,11035304003,572839527,2281751324,397724725,3351554104,15961733613,3626464466,364530652,256443238
