Mã CK,HDP,HDS,HDW,HEC,HEJ,HEP,HES,HEV,HFB,HFC,HFX,HGM,HGT,HHC,HHG,HHN,HHP,HHS,HHV,HID,HIG,HII,HIO,HJC,HJS,HKB,HKT,HLB,HLC,HLD,HLO,HLS,HLY,HMC,HMD,HMG,HMH,HMR,HMS,HNA,HNB,HND,HNF,HNG,HNI,HNM,HNP,HNR
I. Tiền và các khoản tương đương tiền110,4145024857,622356121,10192762023,121742607159,9011755788,51048573941,3600966579,4771133329,65668309997,6916691929,4110279742,105181201313,53983761869,64834713056,117241835,7743931347,16524916087,72978921652,308933876437,28350969293,43735912093,281731130349,32285088317,3790736889,13637721804,208506049,2214960125,339944226067,14781126080,28483991638,25792400876,21408112785,191229600,96583891064,2380457394,13516440299,28591896238,120159113,207466099489,416932431896,34151894727,18153039882,154366119933,69818682000,323365091248,11533359957,24988311934,11872898650
1. Tiền111,4145024857,622356121,10192762023,21442607159,9011755788,51048573941,3600966579,1291133329,35085660044,6416691929,4110279742,82181201313,40483761869,19234713056,117241835,5743931347,16524916087,72978921652,187371329025,28023969293,43735912093,146731130349,32285088317,3790736889,11637721804,208506049,2214960125,14826356877,14781126080,12113991638,8792400876,21408112785,191229600,96583891064,2380457394,13516440299,22091896238,120159113,177466099489,136932431896,34151894727,18153039882,72811373048,69818682000,131465091248,11533359957,24988311934,8872898650
2. Các khoản tương đương tiền112,,,,100300000000,,,,3480000000,30582649953,500000000,,23000000000,13500000000,45600000000,,2000000000,,,121562547412,327000000,,135000000000,,,2000000000,,,325117869190,,16370000000,17000000000,,,,,,6500000000,,30000000000,280000000000,,,81554746885,,191900000000,,,3000000000
II. Đầu tư tài chính ngắn hạn120,,,,57311276216,3956398184,,63500000000,6568000000,,,,202699870000,45000000000,,,6000655579,207081538034,914259232246,6432529990,18800000000,128676200517,50550000000,,,115500000000,,,226751515317,,,24000000000,42514909589,,172500000000,,10000000000,66122990685,,,,54600000000,15000000000,372845678500,,,10800000,,117261000000
1. Chứng khoán kinh doanh121,,,,38811276216,,,,,,,,,,,,,,,,,162745042640,,,,,,,,,,,,,,,,66122990685,,,,,,,,,132600000,,
2. Dự phòng giảm giá chứng khoán kinh doanh122,,,,,,,,,,,,,,,,,,,,,-37280039023,,,,,,,,,,,,,,,,,,,,,,,,,-121800000,,
3. Đầu tư nắm giữ đến ngày đáo hạn123,,,,18500000000,3956398184,,63500000000,6568000000,,,,202699870000,45000000000,,,6000655579,207081538034,914259232246,6432529990,18800000000,3211196900,50550000000,,,115500000000,,,226751515317,,,24000000000,42514909589,,172500000000,,10000000000,,,,,54600000000,15000000000,372845678500,,,,,117261000000
III. Các khoản phải thu ngắn hạn130,60321389316,3502745307,20579056505,117940290519,95591553730,21265499158,4381015123,3435711460,246812620089,147759305270,2841306055,12117057609,27288349258,573981539486,2974128281,4210223471,536869515306,93593310760,878312475722,217433244236,238288894181,734942436240,58065335289,71486004519,12618987397,53507407588,58612417544,68887323377,334228276904,53285569488,19099376597,15738219519,2122472900,443661953202,39056819770,346653462505,15574132260,54193818894,482500083792,131901447943,3412747869,2553524703195,513893627911,364823159000,197592954462,76580165300,64358399184,11894320156
1. Phải thu ngắn hạn của khách hàng131,55037884130,2834129950,16281850329,92797730710,51482352482,16103284812,2009932335,3295457449,169017489952,136912679291,8598816890,4586780997,4531605117,127567217147,1581387062,3379494392,276521995795,77374863191,629018879802,67279619036,222037476112,593338408655,42101975734,83753096703,10182953462,78634561492,1892571466,105864076,324756659805,9371226959,16719607480,13336206179,370019085,470553527419,23406182828,383590637365,12299664650,28576208456,225809298483,126868777106,1775665484,2541473107916,448811065887,115083863000,179303686240,63282304102,77554402781,12060633383
2. Trả trước cho người bán ngắn hạn132,5588557176,,1733869651,3162326814,10079638642,3663073800,951066761,160500000,35422393482,792754606,104369844644,2416493974,91800000,9314991162,738097573,370906274,197574781138,1184633454,57462034796,90726495865,10325984150,150849830116,1733424554,1742924720,392202106,2187224449,57830030,8540378684,9455156706,39961307154,3273700046,1618423160,561649860,8477703355,19185701387,560569528,55533040,26353791551,194425093138,4012072120,153900000,7049291107,7703327562,128250447000,324708326,21366633990,703243321,1256455310
