Mã CK,PVO,PVP,PVR,PVS,PVT,PVV,PVX,PVY,PWA,PWS,PXA,PXI,PXL,PXM,PXS,PXT,QBS,QCC,QCG,QHD,QHW,QNC,QNP,QNS,QNT,QNU,QNW,QPH,QSP,QST,QTC,QTP,RAL,RAT,RBC,RCC,RCL,REE,RIC,RTB,RYG,S12,S4A,S55,S72,S74
I. Tiền và các khoản tương đương tiền110,36400154437,280519536988,93430404,11421530345030,1152030770539,552695210,433474223994,32215710892,27896046592,6384416442,998645992,257882027,213250012,213582831,51555579663,1688102378,10224908453,8949440259,114845142800,24412914593,106034570914,14329098036,93717709684,539202757999,156569273,15072544009,68664721196,15794100584,4566187553,14280610441,7648492919,35536335809,1572970195920,27413052208,23485745056,11626302864,5585903564,5635908856765,36892998801,284310568907,42242862847,979814140,167623331472,24894117408,2736395841,4636580562
1. Tiền111,15700154437,93439536988,93430404,7137281291449,557510770539,552695210,255791531076,28338360892,2896046592,6384416442,998645992,257882027,213250012,213582831,35582886745,1688102378,224908453,2938379707,114845142800,24412914593,534570914,14329098036,22017709684,539202757999,156569273,7072544009,6350520093,15794100584,66187553,14280610441,7648492919,35536335809,1572970195920,27413052208,20458703103,9956133329,2459902744,274412751197,36892998801,193535061483,42242862847,979814140,84623331472,21094117408,2736395841,4636580562
2. Các khoản tương đương tiền112,20700000000,187080000000,,4284249053581,594520000000,,177682692918,3877350000,25000000000,,,,,,15972692918,,10000000000,6011060552,,,105500000000,,71700000000,,,8000000000,62314201103,,4500000000,,,,,,3027041953,1670169535,3126000820,5361496105568,,90775507424,,,83000000000,3800000000,,
II. Đầu tư tài chính ngắn hạn120,11152872300,720810000000,,3886136152000,3357277835242,97811005639,254505326478,51746174781,25486005743,104500000000,,45316000000,4540000000,,,,,,,,97500000000,2500000000,267800000000,7299000000000,11010000,32214227814,71562588381,,79404792076,,10828000000,521500000000,,10370375634,80675000000,,,1060073372989,,224325804456,158435580071,3114380500,57487573702,149264991426,,
1. Chứng khoán kinh doanh121,,,,,,7187399890,14900000000,,,,,,,,,,,,,,,,,,18569491,,,,,,,1500000000,,,,,,733142581787,,,,4326078364,,193296552,,
2. Dự phòng giảm giá chứng khoán kinh doanh122,,,,,,-1003670508,-13885000000,,,,,,,,,,,,,,,,,,-7559491,,,,,,,,,,,,,-823208798,,,,-1211697864,,-158016552,,
3. Đầu tư nắm giữ đến ngày đáo hạn123,11152872300,720810000000,,3886136152000,3357277835242,91627276257,253490326478,51746174781,25486005743,104500000000,,45316000000,4540000000,,,,,,,,97500000000,2500000000,267800000000,7299000000000,,32214227814,71562588381,,79404792076,,10828000000,520000000000,,10370375634,80675000000,,,327754000000,,224325804456,158435580071,,57487573702,149229711426,,
III. Các khoản phải thu ngắn hạn130,30342329070,300150143115,22988313513,6243893215927,1311639971868,323991067644,1957524578173,281742306342,37267499157,10028148895,21599447891,85484166110,72294574630,24949935643,173544227313,199496501735,315848224252,13146755840,634711195158,56145394020,60211477063,539499135764,241993853004,810251740031,2280968271,47396323639,30286429017,476017655639,5143279775,17146555730,21268584531,2961555888752,4363922063460,161157168808,55429620071,524820488614,207943051965,3129681988376,11891024163,30494253177,598536744324,2623691956,46132862362,102896886646,8322633257,8757125521
1. Phải thu ngắn hạn của khách hàng131,33208274602,288077960710,92300000,4706373473651,1079926463852,143395368635,1663260397192,317329214548,27515255705,7521190469,17093248228,125682089591,25394265254,57203470067,155488021382,193745051933,525791380280,11835620849,302929438610,52179066300,55191732986,290481756362,159712002309,344494692566,1480271290,28181800676,11435903490,11911177835,4028779037,7789259678,20445894594,2952467185964,4295914750720,151165582959,41653411374,329729503172,78380841855,2611501498723,8353131804,20224534435,479337975915,25368997911,41904166791,139174142981,2030270622,18453843201
2. Trả trước cho người bán ngắn hạn132,111500000,49846320,22303240738,503153960633,43962274251,130495060273,570160345945,4883243181,1927490455,3696954195,6968511146,2117086965,31824198408,20591949763,7618107710,3508029025,131543268893,87277000,161718806181,10459928347,3235453666,266061228336,79625654396,429953442576,308700000,285005281,22172184360,7752834095,105000000,8429179899,108563390,666927961,112526275931,3018630595,28524379049,197214050617,,243554086604,3659703183,3998429919,80307254618,5963863430,2189995300,7169701072,6440001224,673476478
