STT,Mã CK▲,Tên công ty,Ngành,Sàn,Khối lượng NY/ĐKGD
1813,CotecAnpha,CTCP Kỹ thuật Xây dựng Anpha,,OTC,0
1814,COXANO,CTCP Cơ khí Xây dựng Công trình Thừa Thiên Huế,,OTC,1556240
1815,CPGC,CTCP Tập đoàn Casper Việt Nam,,Khác,0
1816,CPHACO,CTCP Đầu tư Xây dựng Chánh Phú Hòa,,Khác,0
1817,CPLC,Công ty TNHH Capitaland Tower,,Khác,0
1818,CPSC,Công ty TNHH Mặt trời Cẩm Phả,,Khác,0
1819,CPT,CTCP Xây lắp Bưu điện,,OTC,0
1820,CPTC,CTCP Đầu Tư và Xây dựng Giao thông Vận tải,,Khác,0
1821,CPW,CTCP Công trình Giao thông Công chánh,Tư liệu sản xuất,OTC,26875000
1822,CQNC,CTCP Capella Quảng Nam,,Khác,0
1823,CRV,CTCP Tập đoàn Bất động sản CRV,,Khác,0
1824,CSG,CTCP Cáp Sài Gòn,Dịch vụ viễn thông,Khác,29742020
1825,CSLC,CTCP Hải Phát Retail,,Khác,0
1826,CST124,CTCP Xây dựng Giao thông và Thương mại 124,,OTC,0
1827,CT185,CTCP Trường Sơn 185,,Khác,0
1828,CT5,CTCP 319.5,Tư liệu sản xuất,OTC,4400000
1829,CTAC,CTCP Du lịch và Đầu Tư Xây dựng Châu Á,,Khác,0
1830,CTC,CTCP Tập đoàn Hoàng Kim Tây Nguyên,Dịch vụ tiêu dùng,OTC,15799926
1831,CTCCorp,CTCP Đô thị Du lịch Cần Giờ,,OTC,0
1832,CTE,CTCP Hạ Tầng Viễn Thông CMC,,OTC,0
1833,CTEC,CTCP Xây dựng và Trang trí Nội thất Cát Tường,,Khác,0
1834,CTGT,CTCP Công trình Giao thông Tỉnh Bà Rịa - Vũng Tàu,,OTC,6000000
1835,CTLC,Công ty TNHH CITYLAB,,Khác,0
1836,CTM,CTCP Đầu tư Xây dựng và Khai thác mỏ Vinavico,Tư liệu sản xuất,OTC,4399996
1837,CTRC,Công ty TNHH Đầu tư Cao su Cường Thịnh,,Khác,0
1838,CTV,CTCP Đầu tư - Sản xuất và Thương mại Việt Nam,Phân phối và bán lẻ hàng lâu bền,OTC,2000000
1839,CTVC,Tập đoàn Cá tầm Việt Nam,,Khác,0
1840,Cty479,CTCP 479,,OTC,0
1841,CTYCN2,Công ty TNHH MTV Cấp nước số 2,,Khác,0
1842,CVC,CTCP Cơ điện Vật tư,Tư liệu sản xuất,OTC,2200000
1843,CVDC,CTCP Đầu tư và Phát triển Du lịch Vân Đồn,,Khác,0
1844,CVH,"CTCP Công viên, Cây xanh Hải Phòng",Dịch vụ chuyên biệt và thương mại,OTC,1280000
1845,CVP,CTCP Cảng Cửa Việt,Vận tải,OTC,3425980
1846,CVSC,CTCP CVS Holding,,Khác,0
1847,CXC,CTCP Cầu Xây,,OTC,0
1848,CXH,CTCP Xe khách Hà Nội,Vận tải,OTC,1885306
1849,CZC,CTCP Than Miền Trung,Năng lượng,OTC,5602590
1850,D17,CTCP Đồng Tân,Nguyên vật liệu,OTC,5259700
