STT,Mã CK▲,Tên công ty,Ngành,Sàn,Khối lượng NY/ĐKGD
1,A32,CTCP 32,Hàng tiêu dùng và trang trí,UPCoM,6800000
2,AAA,CTCP Nhựa An Phát Xanh,Nguyên vật liệu,HOSE,382274496
3,AAH,CTCP Hợp Nhất,Năng lượng,UPCoM,117900000
4,AAM,CTCP Thủy sản MeKong,"Thực phẩm, đồ uống và thuốc lá",HOSE,12346411
5,AAS,CTCP Chứng khoán SmartInvest,Dịch vụ tài chính,UPCoM,229999521
6,AAT,CTCP Tập Đoàn Tiên Sơn Thanh Hóa,Hàng tiêu dùng và trang trí,HOSE,70819103
7,AAV,CTCP AAV Group,Phát triển và quản lý bất động sản,HNX,68987661
8,ABB,Ngân hàng TMCP An Bình,Tổ chức tín dụng,UPCoM,1035036762
9,ABC,CTCP Truyền thông VMG,Dịch vụ viễn thông,UPCoM,20393000
10,ABI,CTCP Bảo hiểm Ngân hàng Nông nghiệp Việt Nam,Bảo hiểm,UPCoM,72391750
11,ABR,CTCP Đầu tư Nhãn hiệu Việt,Dịch vụ viễn thông,HOSE,20000000
12,ABS,CTCP Dịch vụ Nông nghiệp Bình Thuận,Nguyên vật liệu,HOSE,80000000
13,ABT,CTCP Xuất nhập khẩu Thủy sản Bến Tre,"Thực phẩm, đồ uống và thuốc lá",HOSE,14387207
14,ABW,CTCP Chứng khoán An Bình,Dịch vụ tài chính,UPCoM,101150000
15,ACB,Ngân hàng TMCP Á Châu,Tổ chức tín dụng,HOSE,4466657912
16,ACC,CTCP Đầu tư và Xây dựng Bình Dương ACC,Tư liệu sản xuất,HOSE,104999993
17,ACE,CTCP Bê tông Ly tâm An Giang,Nguyên vật liệu,UPCoM,3050781
18,ACG,CTCP Gỗ An Cường,Nguyên vật liệu,HOSE,150787946
19,ACL,CTCP Xuất nhập khẩu Thủy sản Cửu Long An Giang,"Thực phẩm, đồ uống và thuốc lá",HOSE,50159019
20,ACM,CTCP Tập đoàn Khoáng sản Á Cường,Nguyên vật liệu,UPCoM,51000000
21,ACS,CTCP Xây lắp Thương mại 2,Tư liệu sản xuất,UPCoM,4000000
22,ACV,Tổng Công ty Cảng Hàng không Việt Nam - CTCP,Vận tải,UPCoM,2177173236
23,ADC,CTCP Mỹ thuật và Truyền thông,Truyền thông và giải trí,HNX,3977936
24,ADG,CTCP Clever Group,Truyền thông và giải trí,HOSE,21380521
25,ADP,CTCP Sơn Á Đông,Nguyên vật liệu,HOSE,23039850
26,ADS,CTCP Damsan,Hàng tiêu dùng và trang trí,HOSE,76394727
27,AFX,CTCP Xuất nhập khẩu Nông sản Thực phẩm An Giang,"Thực phẩm, đồ uống và thuốc lá",UPCoM,35000000
28,AG1,CTCP 28.1,Hàng tiêu dùng và trang trí,UPCoM,4863386
29,AGF,CTCP Xuất nhập khẩu Thủy sản An Giang,"Thực phẩm, đồ uống và thuốc lá",UPCoM,28109743
30,AGG,CTCP Đầu tư và Phát triển Bất động sản An Gia,Phát triển và quản lý bất động sản,HOSE,162528081
31,AGM,CTCP Xuất Nhập khẩu An Giang,"Thực phẩm, đồ uống và thuốc lá",HOSE,18200000
32,AGP,CTCP Dược phẩm Agimexpharm,"Dược phẩm, Công nghệ sinh học và Khoa học thường thức",UPCoM,23143941
33,AGR,CTCP Chứng khoán Agribank,Dịch vụ tài chính,HOSE,215391309
34,AGX,CTCP Thực phẩm Nông Sản xuất khẩu Sài Gòn,"Thực phẩm, đồ uống và thuốc lá",UPCoM,10800000
