STT,Mã CK▲,Tên công ty,Ngành,Sàn,Khối lượng NY/ĐKGD
519,HAG,CTCP Hoàng Anh Gia Lai,"Thực phẩm, đồ uống và thuốc lá",HOSE,1057467947
520,HAH,CTCP Vận tải và Xếp dỡ Hải An,Vận tải,HOSE,121343091
521,HAI,CTCP Nông dược H.A.I,Phân phối và bán lẻ hàng lâu bền,UPCoM,182682799
522,HAM,CTCP Vật tư Hậu Giang,Phân phối và bán lẻ hàng lâu bền,UPCoM,9638061
523,HAN,Tổng Công ty Xây dựng Hà Nội - CTCP,Tư liệu sản xuất,UPCoM,141048000
524,HAP,CTCP Tập đoàn Hapaco,Nguyên vật liệu,HOSE,111097772
525,HAR,CTCP Đầu tư Thương mại Bất động sản An Dương Thảo Điền,Phát triển và quản lý bất động sản,HOSE,101350100
526,HAS,CTCP Hacisco,Tư liệu sản xuất,HOSE,8000000
527,HAT,CTCP Thương mại Bia Hà Nội,"Thực phẩm, đồ uống và thuốc lá",HNX,3123000
528,HAV,CTCP Rượu Hapro,Phát triển và quản lý bất động sản,UPCoM,3297860
529,HAX,CTCP Dịch vụ Ô tô Hàng Xanh,Phân phối và bán lẻ hàng lâu bền,HOSE,107439681
530,HBC,CTCP Tập đoàn Xây dựng Hòa Bình,Tư liệu sản xuất,UPCoM,347213270
531,HBD,CTCP Bao Bì PP Bình Dương,Nguyên vật liệu,UPCoM,2011100
532,HBH,CTCP Habeco - Hải Phòng,"Thực phẩm, đồ uống và thuốc lá",UPCoM,16000000
533,HBS,CTCP Chứng khoán Hòa Bình,Dịch vụ tài chính,HNX,32999980
534,HC1,CTCP Xây dựng Số 1 Hà Nội,Tư liệu sản xuất,UPCoM,8000000
535,HC3,CTCP Xây dựng Số 3 Hải Phòng,Phát triển và quản lý bất động sản,UPCoM,20685717
536,HCB,CTCP Dệt may 29/3,Hàng tiêu dùng và trang trí,UPCoM,5199274
537,HCC,CTCP Bê tông Hòa Cầm - Intimex,Nguyên vật liệu,HNX,6518586
538,HCD,CTCP Đầu tư Sản xuất và Thương mại HCD,Tư liệu sản xuất,HOSE,36958816
539,HCI,CTCP Đầu tư Xây dựng Hà Nội,Phát triển và quản lý bất động sản,UPCoM,5232000
540,HCM,CTCP Chứng khoán Thành phố Hồ Chí Minh,Dịch vụ tài chính,HOSE,720811532
541,HCT,CTCP Thương mại Dịch vụ Vận tải Xi măng Hải Phòng,Vận tải,HNX,2016385
542,HD2,CTCP Đầu tư Phát triển Nhà HUD2,Hàng tiêu dùng và trang trí,UPCoM,8962353
543,HD6,CTCP Đầu tư và Phát triển Nhà Số 6 Hà Nội,Phát triển và quản lý bất động sản,UPCoM,15120000
544,HD8,CTCP Đầu tư Phát triển Nhà và Đô thị HUD8,Phát triển và quản lý bất động sản,UPCoM,10000000
545,HDA,CTCP Hãng sơn Đông Á,Nguyên vật liệu,HNX,27599967
546,HDB,Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh,Tổ chức tín dụng,HOSE,3510142254
547,HDC,CTCP Phát triển Nhà Bà Rịa - Vũng Tàu,Phát triển và quản lý bất động sản,HOSE,178354966
548,HDG,CTCP Tập đoàn Hà Đô,Dịch vụ tiện ích,HOSE,336331529
549,HDM,CTCP Dệt may Huế,Hàng tiêu dùng và trang trí,UPCoM,20096259
550,HDO,CTCP Hưng Đạo Container,Tư liệu sản xuất,UPCoM,16959879
551,HDP,CTCP Dược Hà Tĩnh,"Dược phẩm, Công nghệ sinh học và Khoa học thường thức",UPCoM,9934418
552,HDS,CTCP Giống cây trồng Hải Dương,"Thực phẩm, đồ uống và thuốc lá",UPCoM,5162924
553,HDW,CTCP Kinh doanh Nước sạch Hải Dương,Dịch vụ tiện ích,UPCoM,31882470
554,HEC,CTCP Tư vấn Xây dựng Thủy Lợi II,Tư liệu sản xuất,UPCoM,6000000
555,HEJ,Tổng Công ty Tư vấn Xây dựng Thủy lợi Việt Nam - CTCP,Dịch vụ chuyên biệt và thương mại,UPCoM,4400000
556,HEP,CTCP Môi trường và Công trình Đô thị Huế,Dịch vụ tiện ích,UPCoM,6000000
557,HES,CTCP Dịch vụ Giải trí Hà Nội,Dịch vụ tiêu dùng,UPCoM,9297450
558,HEV,CTCP Sách Đại học - Dạy nghề,Truyền thông và giải trí,HNX,1000000
559,HFB,CTCP Công trình Cầu phà Thành phố Hồ Chí Minh,Tư liệu sản xuất,UPCoM,9100000
560,HFC,CTCP Xăng dầu HFC,Phân phối và bán lẻ hàng lâu bền,UPCoM,10198105
561,HFX,CTCP Sản xuất - Xuất nhập khẩu Thanh Hà,Phân phối và bán lẻ hàng lâu bền,UPCoM,1270000
562,HGM,CTCP Cơ khí và Khoáng sản Hà Giang,Nguyên vật liệu,HNX,12600000
563,HGT,CTCP Du lịch Hương Giang,Dịch vụ tiêu dùng,UPCoM,20000000
564,HHC,CTCP Bánh kẹo Hải Hà,"Thực phẩm, đồ uống và thuốc lá",HNX,16425000
565,HHG,CTCP Hoàng Hà,Vận tải,UPCoM,34896354
566,HHN,CTCP Vận tải và Dịch vụ Hàng hóa Hà Nội,Dịch vụ chuyên biệt và thương mại,UPCoM,1440000
567,HHP,CTCP HHP Global,Nguyên vật liệu,HOSE,86554343
568,HHS,CTCP Đầu tư Dịch vụ Hoàng Huy,Phân phối và bán lẻ hàng lâu bền,HOSE,367985968
569,HHV,CTCP Đầu tư Hạ tầng Giao thông Đèo Cả,Tư liệu sản xuất,HOSE,432255528
570,HID,CTCP Halcom Việt Nam,Tư liệu sản xuất,HOSE,76765032
571,HIG,CTCP Tập đoàn HIPT,Phần mềm và dịch vụ,UPCoM,22559030
572,HII,CTCP An Tiến Industries,Nguyên vật liệu,HOSE,73663016
573,HIO,CTCP Helio Energy,Dịch vụ tiện ích,UPCoM,21000000
574,HJC,CTCP Hòa Việt,"Thực phẩm, đồ uống và thuốc lá",UPCoM,12853052
575,HJS,CTCP Thủy điện Nậm Mu,Dịch vụ tiện ích,HNX,20999900
576,HKB,CTCP Nông nghiệp và Thực phẩm Hà Nội - Kinh Bắc,"Thực phẩm, đồ uống và thuốc lá",UPCoM,51599999
577,HKT,CTCP Đầu tư QP Xanh,"Thực phẩm, đồ uống và thuốc lá",HNX,6135029
578,HLA,CTCP Hữu Liên Á Châu,Nguyên vật liệu,UPCoM,34459293
579,HLB,CTCP Bia và Nước giải khát Hạ Long,"Thực phẩm, đồ uống và thuốc lá",UPCoM,3000000
580,HLC,CTCP Than Hà Lầm - Vinacomin,Năng lượng,HNX,25415199
581,HLD,CTCP Đầu tư và Phát triển Bất động sản HUDLAND,Phát triển và quản lý bất động sản,HNX,31599961
582,HLO,CTCP Công nghệ Ha Lô,Tư liệu sản xuất,UPCoM,8000000
583,HLS,CTCP Sứ Kỹ thuật Hoàng Liên Sơn,Tư liệu sản xuất,UPCoM,11169125
584,HLT,CTCP Dệt may Hoàng Thị Loan,Hàng tiêu dùng và trang trí,UPCoM,5500000
585,HLY,CTCP Gốm Xây Dựng Yên Hưng,Nguyên vật liệu,UPCoM,1000000
586,HMC,CTCP Kim khí Thành phố Hồ Chí Minh - VNSTEEL,Nguyên vật liệu,HOSE,27299999
587,HMD,CTCP Hóa chất Minh Đức,Nguyên vật liệu,UPCoM,4974450
588,HMG,CTCP Kim khí Hà Nội - VNSTEEL,Nguyên vật liệu,UPCoM,9000000
589,HMH,CTCP Hải Minh,Vận tải,HNX,13199847
590,HMR,CTCP Đá Hoàng Mai,Nguyên vật liệu,HNX,5612444
591,HMS,CTCP Xây dựng Bảo tàng Hồ Chí Minh,Tư liệu sản xuất,UPCoM,10919846
592,HNA,CTCP Thủy điện Hủa Na,Dịch vụ tiện ích,HOSE,235232210
593,HNB,CTCP Bến xe Hà Nội,Vận tải,UPCoM,9500000
594,HND,CTCP Nhiệt điện Hải Phòng,Dịch vụ tiện ích,UPCoM,500000000
595,HNF,CTCP Thực phẩm Hữu Nghị,"Thực phẩm, đồ uống và thuốc lá",UPCoM,30000000
596,HNG,CTCP Nông nghiệp Quốc tế Hoàng Anh Gia Lai,"Thực phẩm, đồ uống và thuốc lá",UPCoM,1108553895
597,HNI,CTCP May Hữu Nghị,Hàng tiêu dùng và trang trí,UPCoM,23778900
598,HNM,CTCP Sữa Hà Nội,"Thực phẩm, đồ uống và thuốc lá",UPCoM,44400000
599,HNP,CTCP Hanel Xốp nhựa,Nguyên vật liệu,UPCoM,5000000
600,HNR,CTCP Rượu và Nước giải khát Hà Nội,"Thực phẩm, đồ uống và thuốc lá",UPCoM,20000000
601,HOM,CTCP Xi măng VICEM Hoàng Mai,Nguyên vật liệu,HNX,74769131
602,HOT,CTCP Du lịch Dịch vụ Hội An,Dịch vụ tiêu dùng,UPCoM,8000000
603,HPB,CTCP Bao bì PP,Nguyên vật liệu,UPCoM,3880000
604,HPD,CTCP Thủy điện ĐăK Đoa,Dịch vụ tiện ích,UPCoM,8306590
605,HPG,CTCP Tập đoàn Hòa Phát,Nguyên vật liệu,HOSE,6396250200
606,HPH,CTCP Hóa Chất Hưng Phát Hà Bắc,Đồ gia dụng và cá nhân,UPCoM,8400000
607,HPI,CTCP Khu công nghiệp Hiệp Phước,Phát triển và quản lý bất động sản,UPCoM,60000000
608,HPM,CTCP Xây dựng Thương mại và Khoáng Sản Hoàng Phúc,Nguyên vật liệu,UPCoM,3800000
609,HPP,CTCP Sơn Hải Phòng,Nguyên vật liệu,UPCoM,8007177
610,HPT,CTCP Dịch vụ Công nghệ Tin học HPT,Phần mềm và dịch vụ,UPCoM,10507382
611,HPW,CTCP Cấp nước Hải Phòng,Dịch vụ tiện ích,UPCoM,74206940
612,HPX,CTCP Đầu tư Hải Phát,Phát triển và quản lý bất động sản,HOSE,304168581
613,HQC,CTCP Tư vấn Thương mại Dịch vụ Địa Ốc Hoàng Quân,Phát triển và quản lý bất động sản,HOSE,576600000
614,HRB,CTCP Harec Đầu tư và Thương mại,Phát triển và quản lý bất động sản,UPCoM,6338400
615,HRC,CTCP Cao su Hòa Bình,Nguyên vật liệu,HOSE,30206622
616,HSA,CTCP Hestia,Dịch vụ chuyên biệt và thương mại,UPCoM,7872727
617,HSG,CTCP Tập đoàn Hoa Sen,Nguyên vật liệu,HOSE,620982309
618,HSI,CTCP Vật tư Tổng hợp và Phân bón Hóa Sinh,Nguyên vật liệu,UPCoM,10000000
619,HSL,CTCP Đầu tư Phát triển Thực phẩm Hồng Hà,"Thực phẩm, đồ uống và thuốc lá",HOSE,38567363
620,HSM,Tổng Công ty cổ phần Dệt may Hà Nội,Hàng tiêu dùng và trang trí,UPCoM,20500000
621,HSP,CTCP Sơn Tổng hợp Hà Nội,Nguyên vật liệu,UPCoM,12027086
622,HSV,CTCP Tập đoàn HSV Việt Nam,Phân phối và bán lẻ hàng lâu bền,UPCoM,15749994
623,HT1,CTCP Xi Măng Vicem Hà Tiên,Nguyên vật liệu,HOSE,381589911
624,HTC,CTCP Thương mại Hóc Môn,Phân phối và bán lẻ hàng lâu bền,HNX,16499993
625,HTE,CTCP Đầu tư Kinh doanh Điện lực Thành phố Hồ Chí Minh,Tư liệu sản xuất,UPCoM,23608165
626,HTG,Tổng Công ty cổ phần Dệt may Hòa Thọ,Hàng tiêu dùng và trang trí,HOSE,36002708
627,HTI,CTCP Đầu tư Phát triển Hạ tầng IDICO,Tư liệu sản xuất,HOSE,24949200
628,HTL,CTCP Kỹ thuật và Ô tô Trường Long,Phân phối và bán lẻ hàng lâu bền,HOSE,12000000
629,HTM,Tổng Công ty Thương mại Hà Nội - CTCP,Phân phối và bán lẻ hàng lâu bền,UPCoM,220000000
630,HTN,CTCP Hưng Thịnh Incons,Tư liệu sản xuất,HOSE,89116411
631,HTP,CTCP In Sách Giáo khoa Hòa Phát,Dịch vụ chuyên biệt và thương mại,UPCoM,91804980
632,HTT,CTCP Thương mại Hà Tây,Phát triển và quản lý bất động sản,UPCoM,20000000
633,HTV,CTCP Logistics Vicem,Vận tải,HOSE,13104000
634,HU1,CTCP Đầu tư và Xây dựng HUD1,Tư liệu sản xuất,HOSE,10000000
635,HU3,CTCP Đầu tư và Xây dựng HUD3,Tư liệu sản xuất,UPCoM,9999944
636,HU4,CTCP Đầu tư và Xây dựng HUD4,Phát triển và quản lý bất động sản,UPCoM,15000000
637,HU6,CTCP Đầu tư Phát triển Nhà và Đô thị HUD6,Phát triển và quản lý bất động sản,UPCoM,7500000
638,HUB,CTCP Xây lắp Thừa Thiên Huế,Nguyên vật liệu,HOSE,26298437
639,HUG,Tổng Công ty May Hưng Yên - CTCP,Hàng tiêu dùng và trang trí,UPCoM,19511389
640,HUT,CTCP Tasco,Phân phối và bán lẻ hàng lâu bền,HNX,892511965
641,HVA,CTCP Đầu tư HVA,Dịch vụ tài chính,UPCoM,13650000
642,HVG,CTCP Hùng Vương,"Thực phẩm, đồ uống và thuốc lá",UPCoM,227038291
643,HVH,CTCP Đầu tư và Công nghệ HVC,Tư liệu sản xuất,HOSE,40644830
644,HVN,Tổng Công ty Hàng không Việt Nam - CTCP,Vận tải,HOSE,2214394174
645,HVT,CTCP Hóa chất Việt Trì,Nguyên vật liệu,HNX,27470046
646,HVX,CTCP Xi măng VICEM Hải Vân,Nguyên vật liệu,HOSE,38525250
647,HWS,CTCP Cấp nước Huế,Dịch vụ tiện ích,UPCoM,87600000
648,IBC,CTCP Đầu tư Apax Holdings,Dịch vụ tiêu dùng,UPCoM,83150661
649,IBD,CTCP In Tổng hợp Bình Dương,Dịch vụ chuyên biệt và thương mại,UPCoM,9000000
650,ICC,CTCP Xây dựng Công nghiệp (ICC),Hàng tiêu dùng và trang trí,UPCoM,3800000
651,ICF,CTCP Đầu tư Thương mại Thủy sản,"Thực phẩm, đồ uống và thuốc lá",UPCoM,12807000
652,ICG,CTCP Xây dựng Sông Hồng,Tư liệu sản xuất,HNX,20000000
653,ICI,CTCP Đầu tư và Xây dựng Công nghiệp,Tư liệu sản xuất,UPCoM,4000000
654,ICN,CTCP Đầu tư Xây dựng Dầu khí IDICO,Tư liệu sản xuất,UPCoM,20399960
655,ICT,CTCP Viễn thông - Tin học Bưu điện,Dịch vụ viễn thông,HOSE,32185000
656,IDC,Tổng Công ty IDICO – CTCP,Phát triển và quản lý bất động sản,HNX,329999929
657,IDI,CTCP Đầu tư và Phát triển Đa Quốc Gia - IDI,"Thực phẩm, đồ uống và thuốc lá",HOSE,273172668
658,IDJ,CTCP Đầu tư IDJ Việt Nam,Phát triển và quản lý bất động sản,HNX,173490193
659,IDP,CTCP Sữa Quốc tế Lof,"Thực phẩm, đồ uống và thuốc lá",UPCoM,61804472
660,IDV,CTCP Phát triển Hạ tầng Vĩnh Phúc,Phát triển và quản lý bất động sản,HNX,35858385
661,IFS,CTCP Thực phẩm Quốc tế,"Thực phẩm, đồ uống và thuốc lá",UPCoM,87140984
662,IHK,CTCP In Hàng Không,Dịch vụ chuyên biệt và thương mại,UPCoM,2141928
663,IJC,CTCP Phát triển Hạ tầng Kỹ thuật,Phát triển và quản lý bất động sản,HOSE,377748384
664,ILA,CTCP ILA,Nguyên vật liệu,UPCoM,19641431
665,ILB,CTCP ICD Tân Cảng - Long Bình,Dịch vụ chuyên biệt và thương mại,HOSE,25849492
666,ILC,CTCP Hợp tác Lao động với nước ngoài,Dịch vụ chuyên biệt và thương mại,UPCoM,6100391
667,ILS,CTCP Đầu tư Thương mại và Dịch vụ Quốc tế,Vận tải,UPCoM,36000000
668,IME,CTCP Cơ khí và Xây lắp Công nghiệp,Tư liệu sản xuất,UPCoM,3599948
669,IMP,CTCP Dược phẩm Imexpharm,"Dược phẩm, Công nghệ sinh học và Khoa học thường thức",HOSE,154042762
670,IN4,CTCP In Số 4,Dịch vụ chuyên biệt và thương mại,UPCoM,1200000
671,INC,CTCP Tư vấn Đầu tư IDICO,Dịch vụ chuyên biệt và thương mại,HNX,1800000
672,ING,CTCP Đầu tư và Phát triển Xây dựng,Phát triển và quản lý bất động sản,UPCoM,20809702
673,INN,CTCP Bao bì và In Nông nghiệp,Nguyên vật liệu,HNX,18000000
674,IPA,CTCP Tập đoàn Đầu tư I.P.A,Tư liệu sản xuất,HNX,213835775
675,IRC,CTCP Cao su Công nghiệp,Nguyên vật liệu,UPCoM,17500000
676,ISG,CTCP Vận tải biển và Hợp tác Lao động Quốc tế,Vận tải,UPCoM,8800000
677,ISH,CTCP Thủy điện Srok Phu Miêng IDICO,Dịch vụ tiện ích,UPCoM,45000000
678,IST,CTCP ICD Tân Cảng Sóng Thần,Vận tải,UPCoM,15008492
679,ITA,CTCP Đầu tư và Công nghiệp Tân Tạo,Phát triển và quản lý bất động sản,UPCoM,938463607
680,ITC,CTCP Đầu tư và Kinh doanh Nhà,Phát triển và quản lý bất động sản,HOSE,96375409
681,ITD,CTCP Công nghệ Tiên Phong,Phần mềm và dịch vụ,HOSE,24533591
682,ITQ,CTCP Tập đoàn Thiên Quang,Nguyên vật liệu,HNX,31843305
683,ITS,CTCP Đầu tư Thương mại và Dịch vụ - Vinacomin,Năng lượng,UPCoM,26459924
684,IVS,CTCP Chứng khoán Guotai Junan (Việt Nam),Dịch vụ tài chính,HNX,104923336
685,JOS,CTCP Chế biến Thủy sản xuất khẩu Minh Hải,"Thực phẩm, đồ uống và thuốc lá",UPCoM,15322723
686,JVC,CTCP Thiết bị Y tế Việt Nhật,Dịch vụ và thiết bị chăm sóc sức khỏe,HOSE,112500171
687,KAC,CTCP Đầu tư Địa ốc Khang An,Phát triển và quản lý bất động sản,UPCoM,23999999
688,KBC,Tổng Công ty Phát triển Đô thị Kinh Bắc - CTCP,Phát triển và quản lý bất động sản,HOSE,767604759
689,KCB,CTCP khoáng Sản và Luyện Kim Cao Bằng,Nguyên vật liệu,UPCoM,8000000
690,KCE,CTCP Bê tông Ly tâm Điện Lực Khánh Hòa,Nguyên vật liệu,UPCoM,1500000
691,KDC,CTCP Tập đoàn KIDO,"Thực phẩm, đồ uống và thuốc lá",HOSE,289806316
692,KDH,CTCP Đầu tư và Kinh doanh Nhà Khang Điền,Phát triển và quản lý bất động sản,HOSE,1011142565
693,KDM,CTCP Tập Đoàn GCL,Phân phối và bán lẻ hàng lâu bền,HNX,7596981
694,KGM,CTCP Xuất nhập khẩu Kiên Giang,"Thực phẩm, đồ uống và thuốc lá",UPCoM,25430000
695,KHD,CTCP Khai thác Chế biến Khoáng sản Hải Dương,Nguyên vật liệu,UPCoM,3262818
696,KHG,CTCP Tập đoàn Khải Hoàn Land,Phát triển và quản lý bất động sản,HOSE,449435205
697,KHL,CTCP Khoáng Sản Và Vật Liệu Xây Dựng Hưng Long,Nguyên vật liệu,UPCoM,12000000
698,KHP,CTCP Điện lực Khánh Hòa,Dịch vụ tiện ích,HOSE,60405967
699,KHS,CTCP Kiên Hùng,"Thực phẩm, đồ uống và thuốc lá",HNX,12090969
700,KHW,CTCP Cấp thoát nước Khánh Hòa,Dịch vụ tiện ích,UPCoM,28599996
701,KIP,CTCP K.I.P Việt Nam,Tư liệu sản xuất,UPCoM,9800000
702,KKC,CTCP Tập Đoàn Thành Thái,Nguyên vật liệu,HNX,5200000
703,KLB,Ngân hàng TMCP Kiên Long,Tổ chức tín dụng,UPCoM,365281878
704,KLF,CTCP Đầu tư Thương mại và Xuất nhập khẩu CFS,Phân phối và bán lẻ hàng lâu bền,UPCoM,165352561
705,KMR,CTCP Mirae,Hàng tiêu dùng và trang trí,HOSE,56881443
706,KMT,CTCP Kim khí Miền Trung,Phân phối và bán lẻ hàng lâu bền,HNX,9846562
707,KOS,CTCP KOSY,Dịch vụ tiện ích,HOSE,216481335
708,KPF,CTCP Đầu tư tài sản Koji,Phát triển và quản lý bất động sản,HOSE,60867241
709,KSB,CTCP Khoáng sản và Xây dựng Bình Dương,Nguyên vật liệu,HOSE,114779103
710,KSD,CTCP Đầu tư DNA,Hàng tiêu dùng và trang trí,HNX,12000000
711,KSF,CTCP Tập đoàn Sunshine,Phát triển và quản lý bất động sản,HNX,300000000
712,KSH,CTCP DAMAC GLS,Nguyên vật liệu,UPCoM,57509675
713,KSQ,CTCP CNC Capital Việt Nam,Nguyên vật liệu,HNX,30000000
714,KST,CTCP KASATI,Dịch vụ viễn thông,HNX,5992020
715,KSV,Tổng Công ty Khoáng sản TKV - CTCP,Nguyên vật liệu,HNX,200000000
716,KTC,CTCP Thương mại Kiên Giang,"Thực phẩm, đồ uống và thuốc lá",UPCoM,36473833
717,KTL,CTCP Kim Khí Thăng Long,Xe và linh kiện,UPCoM,6519500
718,KTS,CTCP Đường Kon Tum,"Thực phẩm, đồ uống và thuốc lá",HNX,5070000
719,KTT,CTCP Tập đoàn Đầu tư KTT,Nguyên vật liệu,UPCoM,2955000
720,KVC,CTCP Sản xuất Xuất nhập khẩu Inox Kim Vĩ,Nguyên vật liệu,UPCoM,49500000
721,KWA,CTCP Cấp thoát nước và Môi trường Kiến Tường,Dịch vụ tiện ích,UPCoM,3800000
722,L10,CTCP Lilama 10,Tư liệu sản xuất,HOSE,9890000
723,L12,CTCP Licogi 12,Tư liệu sản xuất,UPCoM,7000000
724,L14,CTCP Licogi 14,Hàng tiêu dùng và trang trí,HNX,30859515
725,L18,CTCP Đầu tư và Xây dựng Số 18,Tư liệu sản xuất,HNX,38116528
726,L35,CTCP Cơ khí Lắp máy Lilama,Tư liệu sản xuất,UPCoM,3265155
727,L40,CTCP Đầu Tư và Xây dựng 40,Tư liệu sản xuất,HNX,3600000
728,L43,CTCP Lilama 45.3,Tư liệu sản xuất,UPCoM,3500000
729,L44,CTCP Lilama 45.4,Tư liệu sản xuất,UPCoM,4000000
730,L45,CTCP Lilama 45.1,Tư liệu sản xuất,UPCoM,4800000
731,L61,CTCP Lilama 69-1,Tư liệu sản xuất,UPCoM,7576200
732,L62,CTCP Lilama 69-2,Tư liệu sản xuất,UPCoM,8298243
733,L63,CTCP Lilama 69-3,Tư liệu sản xuất,UPCoM,8279361
734,LAF,CTCP Chế biến hàng Xuất khẩu Long An,"Thực phẩm, đồ uống và thuốc lá",HOSE,15228019
735,LAI,CTCP Đầu Tư Xây dựng Long An IDICO,Phát triển và quản lý bất động sản,UPCoM,17100000
736,LAS,CTCP Supe Phốt phát và Hóa chất Lâm Thao,Nguyên vật liệu,HNX,112856400
737,LAW,CTCP Cấp thoát nước Long An,Dịch vụ tiện ích,UPCoM,12200000
738,LBE,CTCP Thương mại và Dịch vụ LVA,Truyền thông và giải trí,HNX,1999934
739,LBM,CTCP Khoáng sản và Vật liệu Xây dựng Lâm Đồng,Nguyên vật liệu,HOSE,40000000
740,LCC,CTCP Xi măng Hồng Phong,Nguyên vật liệu,UPCoM,5838999
741,LCD,CTCP Lắp máy - Thí nghiệm Cơ điện,Tư liệu sản xuất,HNX,1474000
742,LCG,CTCP Lizen,Tư liệu sản xuất,HOSE,195091170
743,LCM,CTCP Khai thác và Chế biến khoáng sản Lào Cai,Nguyên vật liệu,UPCoM,24633000
744,LCS,CTCP Licogi 166,Tư liệu sản xuất,UPCoM,7600000
745,LDG,CTCP Đầu tư LDG,Phát triển và quản lý bất động sản,HOSE,256972585
746,LDP,CTCP Dược Lâm Đồng (Ladophar),"Dược phẩm, Công nghệ sinh học và Khoa học thường thức",HNX,12703167
747,LDW,CTCP Cấp thoát nước Lâm Đồng,Dịch vụ tiện ích,UPCoM,78800000
748,LG9,CTCP Cơ giới và Xây lắp Số 9,Tư liệu sản xuất,UPCoM,5026600
749,LGC,CTCP Đầu tư Cầu đường CII,Tư liệu sản xuất,HOSE,192854765
750,LGL,CTCP Đầu tư và Phát triển Đô thị Long Giang,Phát triển và quản lý bất động sản,HOSE,51500000
751,LGM,CTCP Giày da và May mặc Xuất khẩu,Hàng tiêu dùng và trang trí,UPCoM,11840000
752,LHC,CTCP Đầu tư và Xây dựng Thủy lợi Lâm Đồng,Tư liệu sản xuất,HNX,14400000
753,LHG,CTCP Long Hậu,Phát triển và quản lý bất động sản,HOSE,50012010
754,LIC,Tổng Công ty LICOGI - CTCP,Nguyên vật liệu,UPCoM,90000000
755,LIG,CTCP Licogi 13,Tư liệu sản xuất,HNX,95084569
756,LIX,CTCP Bột Giặt Lix,Đồ gia dụng và cá nhân,HOSE,64800000
757,LKW,CTCP Cấp nước Long Khánh,Dịch vụ tiện ích,UPCoM,2500000
758,LLM,Tổng Công ty Lắp máy Việt Nam - CTCP,Tư liệu sản xuất,UPCoM,79726104
759,LM3,CTCP Lilama 3,Tư liệu sản xuất,UPCoM,5150000
760,LM7,CTCP Lilama 7,Tư liệu sản xuất,UPCoM,5000000
761,LM8,CTCP Lilama 18,Tư liệu sản xuất,HOSE,9388682
762,LMC,CTCP Long Beach LMC,Nguyên vật liệu,UPCoM,1500000
763,LMH,CTCP Quốc Tế Holding,Phân phối và bán lẻ hàng lâu bền,UPCoM,25629995
764,LMI,CTCP Đầu tư Xây dựng Lắp máy IDICO,Tư liệu sản xuất,UPCoM,5500000
765,LNC,CTCP Lệ Ninh,Nguyên vật liệu,UPCoM,8230067
766,LO5,CTCP Lilama 5,Tư liệu sản xuất,UPCoM,5149791
767,LPB,Ngân hàng TMCP Lộc Phát Việt Nam,Tổ chức tín dụng,HOSE,2987282100
768,LPT,CTCP Thương mại và Sản xuất Lập Phương Thành,Phân phối và bán lẻ hàng lâu bền,UPCoM,12000000
769,LQN,CTCP Licogi Quảng Ngãi,Nguyên vật liệu,UPCoM,1893540
770,LSG,CTCP Bất động sản Sài Gòn Vina,Phát triển và quản lý bất động sản,UPCoM,90000000
771,LSS,CTCP Mía Đường Lam Sơn,"Thực phẩm, đồ uống và thuốc lá",HOSE,80135051
772,LTC,CTCP Điện nhẹ Viễn Thông,Tư liệu sản xuất,UPCoM,4586000
773,LTG,CTCP Tập đoàn Lộc Trời,"Thực phẩm, đồ uống và thuốc lá",UPCoM,100741465
774,LUT,CTCP Đầu tư Xây dựng Lương Tài,Tư liệu sản xuất,UPCoM,15000000
775,M10,Tổng Công ty May 10 - CTCP,Hàng tiêu dùng và trang trí,UPCoM,31751000
776,MA1,CTCP Thiết bị,Phát triển và quản lý bất động sản,UPCoM,10050392
777,MAC,CTCP Tập đoàn Macstar,Vận tải,HNX,15139745
778,MAS,CTCP Dịch vụ Hàng không Sân bay Đà Nẵng,Vận tải,HNX,4267683
779,MBB,Ngân hàng TMCP Quân Đội,Tổ chức tín dụng,HOSE,6102272659
780,MBG,CTCP Tập đoàn MBG,Hàng tiêu dùng và trang trí,HNX,120218540
781,MBN,CTCP Môi trường và Công trình đô thị Bắc Ninh,Dịch vụ tiện ích,UPCoM,5750000
782,MBS,CTCP Chứng khoán MB,Dịch vụ tài chính,HNX,572812981
783,MBT,CTCP Bất động sản cho thuê Minh Bảo Tín,Phát triển và quản lý bất động sản,UPCoM,3800000
784,MCC,CTCP Gạch ngói Cao cấp,Nguyên vật liệu,HNX,5016124
785,MCF,CTCP Xây lắp Cơ khí và Lương thực Thực phẩm,"Thực phẩm, đồ uống và thuốc lá",HNX,10777838
786,MCG,CTCP Năng lượng và Bất động sản MCG,Tư liệu sản xuất,UPCoM,57510000
787,MCH,CTCP Hàng tiêu dùng Masan,"Thực phẩm, đồ uống và thuốc lá",UPCoM,1062364822
788,MCM,CTCP Giống Bò sữa Mộc Châu,"Thực phẩm, đồ uống và thuốc lá",HOSE,110000000
789,MCO,CTCP Đầu tư và Xây dựng BDC Việt Nam,Tư liệu sản xuất,HNX,4103929
790,MCP,CTCP In và Bao bì Mỹ Châu,Nguyên vật liệu,HOSE,18081053
791,MDA,CTCP Môi trường Đô thị Đông Anh,Dịch vụ tiện ích,UPCoM,1200000
792,MDC,CTCP Than Mông Dương - Vinacomin,Năng lượng,HNX,21418346
793,MDF,CTCP Gỗ MDF VRG - Quảng Trị,Nguyên vật liệu,UPCoM,55113595
